T[s];D1-Rate[Hz];E1-Rate[Hz];F1-Rate[Hz];G1-Rate[Hz];H1-Rate[Hz];J1-Rate[Hz];D2-Rate[Hz];E2-Rate[Hz];F2-Rate[Hz];G2-Rate[Hz];H2-Rate[Hz];J2-Rate[Hz];K2-Rate[Hz];B3-Rate[Hz];C3-Rate[Hz];D3-Rate[Hz];E3-Rate[Hz];F3-Rate[Hz];G3-Rate[Hz];H3-Rate[Hz];A4-Rate[Hz];B4-Rate[Hz];C4-Rate[Hz];D4-Rate[Hz];F4-Rate[Hz];G4-Rate[Hz];H4-Rate[Hz];A5-Rate[Hz];B5-Rate[Hz];C5-Rate[Hz];D5-Rate[Hz];E5-Rate[Hz];F5-Rate[Hz];G5-Rate[Hz];A6-Rate[Hz];B6-Rate[Hz];C6-Rate[Hz];D6-Rate[Hz];E6-Rate[Hz];F6-Rate[Hz];G6-Rate[Hz];A7-Rate[Hz];B7-Rate[Hz];D7-Rate[Hz];F7-Rate[Hz];G7-Rate[Hz];A8-Rate[Hz];B8-Rate[Hz];C8-Rate[Hz];D8-Rate[Hz];E8-Rate[Hz];G8-Rate[Hz];A9-Rate[Hz];B9-Rate[Hz];C9-Rate[Hz];D9-Rate[Hz];E9-Rate[Hz];F9-Rate[Hz];G9-Rate[Hz];B10-Rate[Hz];C10-Rate[Hz];D10-Rate[Hz];E10-Rate[Hz];F10-Rate[Hz];G10-Rate[Hz];C11-Rate[Hz];D11-Rate[Hz];E11-Rate[Hz];F11-Rate[Hz];G11-Rate[Hz];D12-Rate[Hz];E12-Rate[Hz];F12-Rate[Hz];G12-Rate[Hz]
160;0,6;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170;0,1;0;0;0;0;0;0,1;0;0;0,9;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;0;0,6;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;6,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
190;0;1,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0;0
210;0;0,1;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
220;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0,2;0;0;0;0;0
230;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
240;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0
250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0
260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0
270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,2;0;0;0;0;0
290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0
310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0
320;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0
330;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,1;0;0;0
340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
370;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0
380;0,1;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;0;0;0;0;0;0;0;0,1;0;0;0;0;0
390;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400;0;0,2;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;2,4;0;0;0;0;0;0;0;0;0;0;0;0;0
410;0;0;0,1;0,4;0,1;0;0;0;0;0;0;1;0;0;0;0;0;0;0,6;0,1;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;1,9;0;0;0;0;0;0;0;0,1;0;0;0;0;0
420;0;0;0;0,4;2,2;2,4;0;0;0,1;0;0,1;0,4;0;0;0;0;0;0;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;2,6;0;3,3;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0,1;0;0;0;0;0,1;6,3;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0
430;0;0,1;0,2;0,2;3,8;9,2;0,1;0,9;0,2;0,3;2,8;0,1;0;0;0;0;0;0;0,5;1,7;0;0;0;0;0,1;1;0,8;0;0;0;0;0;0,4;0,5;0;0;0;2;0;5,1;0;0;0;0,2;0,3;0,2;0;0;1,5;0;0;0;0;0;0,3;0,1;0;0;0;0;5,5;0;0;0;0;0;0;0;0,1;0;0;0;0;0
440;0;0,1;0,7;0,4;3,3;4,5;0,1;2,3;0,1;0,4;6,2;1,2;0;0;0;0;0,1;0,1;0,6;3;0;0;0;0,1;0,7;3;2,7;0;0;0,1;0;0;1,5;2,8;0;0;0,3;0,4;0,4;2;2,2;0;0;0,3;6,5;0,5;0;0,1;0,7;0,1;0;0;0;0;0,2;0;0,1;0;0,1;0;3,3;0;0;0;0;0;0;0;0;0;0;0;0;0
450;0;0,2;0,6;0,7;2,1;1,4;0,2;0,9;0,2;0,4;2,5;4,4;0;0,2;0;0,1;0,7;0,7;2,6;3,4;0;0;0;0,4;2,5;4,1;2,4;0;0;0,6;0;0,2;4,4;7,4;0;0;0,2;3,2;1,6;2,9;4,4;0;0,2;0,3;0,4;1,5;0;0;0,5;0,5;0;0;0;0;0,2;0,1;0;0;0;0,1;6,1;0;0;0;0;0;0;0;0;0;0;0;0;0
460;0;0,5;0,1;0,3;0;0,4;0;0,2;0,5;0,2;0,4;5,1;0;1,1;0;0,4;0,6;0,1;1,4;1,1;0;0;0,1;0,2;4,2;3;2,5;0;0,1;2,4;0,1;0,6;3,9;8,8;0;0;1,1;3,3;1,2;2,8;4,5;0;0;0,1;0;3,4;0;0;0,4;0,2;0;0;0;0;0,2;0;0;0;0;0,1;8,4;0;0;0;0;0;0;0;0,3;0;0,1;0;0;0
470;0;0,5;0;0;0;0;0;0;0;0;0;0,9;0;0,8;0,1;0,1;0,1;0,1;0,1;0,4;0;0,4;0,8;0,1;3;0,5;1,7;0;0;7;0;0,4;2,6;4,8;0;0;0,7;4,9;0,3;1,7;3,1;0;0,6;0;0;3,4;0;0;0,2;0,4;0;0;0,1;0;0,1;0,3;0;0;0;0,1;3,4;0;0;0;0;0;0;0;0,2;0;0;0;0;0
480;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0,5;0,1;0;0;0;0;0,2;0;0,3;0,4;0,2;0,2;0,1;0,8;0;0,1;1,9;0;0,1;0,9;2,7;0;0;0,8;2,4;0,1;0,7;3,1;0;0,1;0,2;0,1;1;0;0,1;7,2;0,3;0;0;0;0,1;6,6;0,5;0;0;0;0;3,4;0;0;0;0;0;0;0;0,4;0;0;0;0;0
490;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0,1;0,1;0;0;0;0;0;0,3;0,2;0,2;0,1;0;0,6;0;0;0,5;0,1;0;0,5;1,6;0;0;0,3;1,1;0;0,2;4,4;0;0;0,1;0;0,4;0,1;0;3,1;0,1;0;0;0;0;5,6;0,1;0;0;0;0;4,2;0;0;0;0;0;0;0;0;0;0;0;0;0
500;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0,3;0;0;0,2;0,2;0;0;2,5;0;0,1;0,3;0;0,6;0;0;0,3;0;0;0;0;0,1;4;0,2;0;0;0;0;1,1;0;0;0;0;0;0;0;0,3;0;0;0;0;0
510;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0,3;0,7;0;0;0;0;0,4;0;0;0,1;0,1;0;0;0;0;8,8;0;0;0;0;0;1,9;0;0;0;0;0;0;0;0,1;0;0;0;0;0
520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0,1;0;0,5;0;0;0,1;0;0;0;0;0;3,7;0;0;0;0;0;4,4;0;0;0;0;0;0;0;0,1;0;0;0;0;0
530;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,8;0;0;0;0,1;0;2,5;0;0;0;0;0;0;0;0,4;0;0;0;0;0
540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0,2;0,4;0;0;0;0;0;5,8;0;0;0;0;0;0;0;0,1;0;0;0;0;0
550;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0,1;0;0;0;0;0;1,3;0,1;0;0;0;0;5,3;0;0;0;0;0;0;0;0,1;0;0;0;0;0
560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;3,6;0;0;0;0;0;0;0;0;0;0;0;0;0
570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;1,7;0;0;0;0;0;0;0;0,2;0;0;0;0;0
580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,2;0;0;0;0;0
590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0
610;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,2;0;0;0;0;0
620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0
630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0
640;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
650;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0
660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
680;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0
690;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0
700;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0
710;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0,1;0;0
720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0
730;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0
740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0
750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0,1;0;0
