T[s];D1-Rate[Hz];E1-Rate[Hz];F1-Rate[Hz];G1-Rate[Hz];H1-Rate[Hz];J1-Rate[Hz];C2-Rate[Hz];D2-Rate[Hz];E2-Rate[Hz];F2-Rate[Hz];G2-Rate[Hz];H2-Rate[Hz];J2-Rate[Hz];K2-Rate[Hz];B3-Rate[Hz];C3-Rate[Hz];D3-Rate[Hz];E3-Rate[Hz];F3-Rate[Hz];G3-Rate[Hz];H3-Rate[Hz];J3-Rate[Hz];K3-Rate[Hz];L3-Rate[Hz];C4-Rate[Hz];D4-Rate[Hz];E4-Rate[Hz];F4-Rate[Hz];G4-Rate[Hz];H4-Rate[Hz];J4-Rate[Hz];K4-Rate[Hz];L4-Rate[Hz];M4-Rate[Hz];C5-Rate[Hz];D5-Rate[Hz];E5-Rate[Hz];F5-Rate[Hz];G5-Rate[Hz];H5-Rate[Hz];J5-Rate[Hz];K5-Rate[Hz];L5-Rate[Hz];M5-Rate[Hz];C6-Rate[Hz];D6-Rate[Hz];E6-Rate[Hz];F6-Rate[Hz];G6-Rate[Hz];H6-Rate[Hz];J6-Rate[Hz];K6-Rate[Hz];L6-Rate[Hz];M6-Rate[Hz];C7-Rate[Hz];D7-Rate[Hz];E7-Rate[Hz];F7-Rate[Hz];G7-Rate[Hz];H7-Rate[Hz];J7-Rate[Hz];K7-Rate[Hz];L7-Rate[Hz];M7-Rate[Hz];D8-Rate[Hz];E8-Rate[Hz];F8-Rate[Hz];G8-Rate[Hz];H8-Rate[Hz];J8-Rate[Hz];K8-Rate[Hz];L8-Rate[Hz];M8-Rate[Hz];D9-Rate[Hz];E9-Rate[Hz];F9-Rate[Hz];G9-Rate[Hz];H9-Rate[Hz];J9-Rate[Hz];K9-Rate[Hz];L9-Rate[Hz];M9-Rate[Hz];B10-Rate[Hz];C10-Rate[Hz];D10-Rate[Hz];E10-Rate[Hz];F10-Rate[Hz];G10-Rate[Hz];H10-Rate[Hz];J10-Rate[Hz];K10-Rate[Hz];L10-Rate[Hz];C11-Rate[Hz];D11-Rate[Hz];E11-Rate[Hz];F11-Rate[Hz];G11-Rate[Hz];H11-Rate[Hz];J11-Rate[Hz];K11-Rate[Hz];D12-Rate[Hz];E12-Rate[Hz];F12-Rate[Hz];G12-Rate[Hz];H12-Rate[Hz];J12-Rate[Hz]
110;0;0;0;0,1;0;0;0;0;2,7;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;0;0;0;0;0;0;0,3;0;5,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;0;0;0;0;0;0;0;0;3,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140;0;0;0;0;0;0;0;0;2,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0,1;0;0;0;0
150;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160;0,6;0;0;0;0;0;0;0;1,4;0,1;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170;0;0;0;0;0;0;0;0;0,5;0,3;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;0;0;0;0;0;0;0;0;0,4;0,2;0;0;0;0;0;0;0,3;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
190;0;0;0;0;0;0;0;0;1,7;0,2;0;0;0;0;0;0;0;0,7;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,2;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0
200;0;0;0,1;0;0;0;0;0;2,1;0,1;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
210;0;0;0;0;0;0;0,1;0;2,8;0;0,1;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
220;0;0;0;0;0;0;0,3;0;4,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
230;0;0;0;0;0;0;0;0;5,1;0;0;0;0;0;0;0;0,4;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
240;0;0;0;0;0;0;0;0;4,7;0;0;0;0;0;0;0;0,3;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250;0;0;0;0,3;0;0;0;0;2,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
260;0;0;0;0,1;0;0,1;0;0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270;0;0,1;0;0;0;0;0;0;1,7;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280;0;0;0;0;0,1;0;0;0;2,7;0;0,1;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
290;0;0;0;0;0;0;0;0;2,2;0;0;0,3;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300;0;0;0;0;0,1;0;1,9;0;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310;0;0;0;0;0,1;0;0,1;0;3,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0
320;0;0;0;0;0;0;0,1;0;3;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
330;0,1;0;0;0;0;0,4;0;0;4,8;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0
340;0;0;0;0,1;0;0;0;0;5,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
350;0;0;0;0;0;0;0,4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
360;0;0;0;0;0;0;0,1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0
380;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0
390;0;0;0;0,1;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;0;0;0;0;0;0,2;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0
400;0,1;0;0;0;0;0;0;0,6;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;3,8;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410;1,1;7,7;0,1;0;0;0;0;0;0,2;0;0;0;0;0;0;0,9;1,5;0;0;0;0;0;0;0;1,1;0;0;0,1;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0,7;0;0;6,2;0;0;0;0;0;0;0;0;0;0;0,5;0,1;0;0;0;0;0,2;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;1,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0,1;0;0;0;0;0;0;0
420;5,3;13,3;0,1;0;0;0;0;0;0,8;0;0;0;0;0;0;4;3,5;0,3;0,2;0;0;0;0;0;10,1;0,8;0;0;0,3;0,1;0;0;0;0;4,6;0,2;0,2;0,1;0;0;0;0;0;0;0,6;0;0,1;5,4;0;0;0;0;0;0;0,3;0,2;0;0,5;1,6;0,4;0;0;0;0;0;0;0;0;0,1;0,4;0;0;0;4,5;0;0;0;0,1;0;1;0;0;0;0;0,4;0;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0,3;0;0;0;0;0;0;0
430;7,5;6,1;0,1;0,3;0;0;0;3,3;0,4;0;0;0;0;0;0,8;7,7;7,3;0,4;0;0;0;0;0;0;8,4;4,5;0;0,4;0,1;0;0;0;0;0;20,3;5,2;0,1;2;0,1;0;0;0;0;0;3,7;0,3;0;2,8;0,4;0,2;0,2;0,1;0;0;0,7;1,2;0;0;0,9;0,6;0;0;0;0;0,1;0;0;0;0;5,6;2,2;0;0;10,7;0;0;0;0,7;0,4;5,5;0;0;0;0,2;0,2;0;0;0;0;0,2;0;0;0;1,4;0;0;0;0;1;0;0;0;0;0;0;0
440;11,8;4,5;0;0;0;0,5;0;11,7;0,9;0;0;0,9;0;0;0,9;13,2;14,1;0,2;0,4;0,3;0,1;0;1,2;0;20,9;5;0;0;0,1;0,5;0;0;0;0;17,2;18,5;1,5;1,9;0,5;0,2;0;0;0;0;14,1;5,9;0,4;1,6;0,1;0;0,2;0,1;0;0;0,4;4,7;0;0;0,6;0,6;0,1;0,1;0;0;0,7;0;0;0;0,4;6,1;1,9;0;0;11,1;0;0;0;0,6;0,7;5;0;0;0;0,7;1;0;0;0;0,1;0,2;0;0;1,8;6;0;0;0;0,1;1;0;0;0,1;0;0;0;0
450;15,1;2,9;1,2;0,1;0;1,5;0,1;10,4;4,4;1,1;0,4;0,3;0,1;0;1,2;26,6;10,2;0,5;0,5;0,1;0,3;0;2,6;0;22,6;11,3;0;0,2;0,1;6,1;0;0;0;0;23,9;23,3;2,4;0,4;0,8;0,2;0;0;0;0;24,7;18,9;0,3;1,2;3,4;0,2;1,4;0;0;0;2,6;8,5;0;0;0,4;0,1;0,1;0;0;0;0,8;0,2;0,1;0,1;0,5;4,8;0,6;0;0;1,6;0,5;0;0,1;0,7;2,1;5,3;0;0;0,2;0,7;0,9;0,1;0;0;0;0;0,1;0;5,2;1;0;0;0;0;0,5;0;0;0;0;0;0;0
460;21,7;24;0,8;0,8;0,1;0,5;0;8,3;12,3;5,4;1,9;10,9;0;0,1;2,4;28,3;12,5;0,5;0,6;2;1,1;0;0,2;0;11;10,2;0;1,7;0,7;3,8;0;0;0;0;24,2;12,9;2,7;2;1,4;0,9;0;0;0;0;22,5;20,1;0,3;2,5;8;0,2;2,9;1,3;0;0;6,1;8,4;0;0;0,5;0,3;0,4;0;0;0;1,3;0,2;0;0;1,8;3,4;0,1;0;0;0,8;1,8;0;0;0,8;1,4;4,7;0;0;0,8;3;1;0,1;0;0;0,1;0,1;0,1;0;3,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0
470;9,1;9,2;0,1;0,5;0,4;1,3;0;6,3;4,1;2,1;1,1;13,1;1,9;0,1;2,7;13;21,8;0,7;6,1;2,4;1,2;0;0;0;8,3;5,9;0;1,7;0,8;2,3;0;0;0;0;20,3;7,9;1,7;2,1;2,3;2;2,1;0;0;0;12;13,4;0,1;0,7;0,8;1,9;1,5;1,2;0;0;6,2;6,9;0;0,2;0,1;0,5;0,4;0;0;0;1,4;0,1;0;0;0,7;2,4;0,3;0;0;0,7;1,7;0,1;0;0,7;5,3;3,2;0;0;1;5,7;0,9;0;0;0;0,1;0;0,1;0;1,7;2,1;0;0;0;0;0,4;0,1;0,5;0;0;0;0;0
480;5,2;2,3;0;0,7;2,8;4,5;0;2,3;1;0,2;1,1;4,3;3,6;0;2,8;5,2;8,4;0;4,8;0,9;0,9;0,5;0;0;2,4;1,6;0;0,3;1,8;1,6;0;0;0;0;11,1;2,7;7,3;0,4;0,6;2,3;2,3;0;0;0;3,9;5,2;0,2;0,2;0,3;1,5;2,5;0,3;0;0;2,9;5,6;0;0;0,1;0,3;0,3;0,2;0;0;0,7;0,1;0;0;2,9;1,2;0,1;0;0;0,2;1,2;0;0;0,1;3,6;4,7;0;0;0,4;8,5;0,3;0;0;0;0,1;0,2;0;0;1,1;1,7;0;0;0;0,1;1,2;0;0,3;0,2;0;0;0;0
