T[s];D1-Rate[Hz];E1-Rate[Hz];F1-Rate[Hz];G1-Rate[Hz];H1-Rate[Hz];J1-Rate[Hz];D2-Rate[Hz];E2-Rate[Hz];F2-Rate[Hz];G2-Rate[Hz];H2-Rate[Hz];J2-Rate[Hz];K2-Rate[Hz];B3-Rate[Hz];C3-Rate[Hz];D3-Rate[Hz];E3-Rate[Hz];F3-Rate[Hz];G3-Rate[Hz];H3-Rate[Hz];J3-Rate[Hz];K3-Rate[Hz];L3-Rate[Hz];A4-Rate[Hz];B4-Rate[Hz];C4-Rate[Hz];D4-Rate[Hz];E4-Rate[Hz];F4-Rate[Hz];G4-Rate[Hz];H4-Rate[Hz];A5-Rate[Hz];B5-Rate[Hz];C5-Rate[Hz];D5-Rate[Hz];E5-Rate[Hz];F5-Rate[Hz];G5-Rate[Hz];H5-Rate[Hz];J5-Rate[Hz];A6-Rate[Hz];B6-Rate[Hz];C6-Rate[Hz];D6-Rate[Hz];E6-Rate[Hz];F6-Rate[Hz];G6-Rate[Hz];H6-Rate[Hz];J6-Rate[Hz];A7-Rate[Hz];B7-Rate[Hz];C7-Rate[Hz];D7-Rate[Hz];F7-Rate[Hz];G7-Rate[Hz];H7-Rate[Hz];J7-Rate[Hz];A8-Rate[Hz];B8-Rate[Hz];C8-Rate[Hz];D8-Rate[Hz];E8-Rate[Hz];G8-Rate[Hz];H8-Rate[Hz];J8-Rate[Hz];A9-Rate[Hz];B9-Rate[Hz];C9-Rate[Hz];D9-Rate[Hz];E9-Rate[Hz];F9-Rate[Hz];G9-Rate[Hz];H9-Rate[Hz];J9-Rate[Hz];B10-Rate[Hz];C10-Rate[Hz];D10-Rate[Hz];E10-Rate[Hz];F10-Rate[Hz];G10-Rate[Hz];H10-Rate[Hz];J10-Rate[Hz];C11-Rate[Hz];D11-Rate[Hz];E11-Rate[Hz];F11-Rate[Hz];G11-Rate[Hz];H11-Rate[Hz];J11-Rate[Hz];D12-Rate[Hz];E12-Rate[Hz];F12-Rate[Hz];G12-Rate[Hz];H12-Rate[Hz];J12-Rate[Hz]
110;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0
130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160;0;0;0,1;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0
200;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
210;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0
310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,8;0;0;0;0;0;0,4;0;0;0;0;0
410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;1,8;0,1;0,1;0,3;0;0;0;0;0;0;0,1;0,3;0;0;0;0;0,4;2,6;0;0;0,1;0;0;0,7;0;0;0;0;0
420;0;0;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;1,2;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0,1;0,7;0;0;0;0;0;0;0;0;0;0;3,9;0,1;0,7;0,7;0,2;0;0,1;0,1;0;0;0,6;0,3;0;0;0;0;0,4;0,8;0;0;0,1;0;0;0,8;0,2;0;0;0,1;0
430;0;0;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0,2;0;0,4;0,2;0;0;0;0;0,1;0;0,1;2,2;0;0;0;0;0,1;1,5;0;0,4;0;0;2,9;0,2;4,6;0,8;0;0;0,4;0,1;0;0;1,4;0,8;0,1;0;0;0;0,3;2,2;0,2;0;0,3;0;0;0,7;0;0;0;0;0,1
440;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,1;0,3;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,2;0;0;0;0;0;0,1;0;0;0,4;0;0;0;0;0,3;0,3;1;1,9;0;0;0,1;0;0,1;1,2;0,1;2,3;0;0;1,2;0,1;5,4;0,6;0,2;0,1;0,4;0,3;0,2;8,1;1;1,7;0,2;0,1;0;0;0,8;3,9;1;0,1;0,1;0;0;0,7;0,2;0;0;0,1;0
450;0;0;0;0,1;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0,1;0,2;0,1;0;0;0;0;2,2;0,3;0,4;0;0;0;0;0,3;0,2;0,1;0;0,7;0;0;0;0;0,8;0,1;2,3;1,5;0;0;0;0;0;0,8;0;3,1;0,1;0;2;0;7,9;0,8;0,4;0;0,4;0;0;7,2;3,6;0,6;0;0,1;0,1;0;1,3;2,6;2;0,4;0;0;0;2,3;0;0;0;0;0
460;2,2;0;0;0;1,1;0;0,2;0,1;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0;0,1;0;0;0,1;0;0,1;0,3;0;0;0,1;0,1;0;0,2;0,2;0,6;0;0;0;0;0;0;0,7;0,2;2,1;0;0;0;0;0,5;0,1;1,3;1,2;0;0;0;0,1;0,1;1,9;0;1,4;0;0;1;1;3,9;1;0,3;0;0,2;0,1;0,1;2,2;2,7;0,9;0,1;0;0;0;0,2;1,4;0,9;0;0,1;0;0;1,9;0;0;0;0;0
470;1,4;0,1;0;0;1,1;0;0;0;0;0;0,1;0;0;0;0;0,1;0,7;0,5;0;0,4;0;0;0;0;0;0;0,1;0;0;0;0;0;0,1;0,1;0,1;0,1;0,3;2,9;3,2;0;0;0;0;0,1;0,1;0;0,1;2,5;0;0;0;0;0,5;0,1;1,7;0,9;0;0;0;0;0,2;1,1;0,1;1,4;0,2;0;0,8;0,3;6,3;0,7;0,3;0,2;0,3;0;0;0,9;1,9;0,7;0,7;0;0,1;0;2,6;1,4;0,6;0,1;0,3;0;0;1,3;0,1;0;0;0,1;0
480;0,4;0;0;0;1;0;0,1;0;0,1;0;0;0;0;0;0;0;0,1;0,5;0,1;0,4;0;0;0;0;0,1;0;0,1;0,2;4,1;0;0;0;0;0;0;0,4;0;1,1;2,4;0;0;0;0;0;0;0;0,2;2,6;0;0;0;0;0,2;0,1;0,6;0,5;0;0;0,1;0,2;0,1;0;0;0,7;0;0;1;0,3;5,5;0,5;0;0,1;0,1;0;0,1;0,4;1,3;0,3;0;0;0,1;0;0,5;0,7;1,1;0,1;0,1;0;0;0,7;0;0;0;0;0
490;0;0;0,2;0;0,8;0;1,1;0;0;0;0,3;0;0;0;0,2;0;0;0,2;0;0,1;0;0;0;0;0;0;0;0,1;0,2;0,1;0;0;0,1;0;0;0,5;0,2;0,2;2,7;0;0;0;0;0;0;0,1;0;2,4;0;0;0;0;0,5;0,1;0,1;0,5;0;0;0;0,2;0,1;0,4;0;0,3;0;0;2,3;0,3;3,1;2,2;0,1;0;0;0;0;0,7;1;0,6;0;0;0;0;0,9;0,8;1;0;0,1;0;0;0,3;0;0;0;0;0
500;0;0,1;0;0;0,7;0;0;0,1;0,1;0;0,1;0;0;0;0,2;0;0;0,2;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0,6;0;0;0,1;0;0,3;1,7;0;2,6;0;0;0;0;0;0;0,2;0,2;3,1;0;0;0;0;0,1;0,1;0,1;0,1;0;0;0;0;0,3;0,5;0;0,1;0,1;0;0,9;0;3,5;1,5;0,3;0;0;0;0;0,4;1;0,3;0;0;0;0;1,5;0,7;0,5;0;0;0;0,1;0,2;0;0;0;0;0
510;0;0;0;1;1,9;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0,1;0,1;0,5;0;0,1;0,1;0,1;0;0;0;2,8;0;0;0;0;0;0;0,1;0,2;2,6;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0,5;0;0;0;0;0,5;0;3,3;1;0,1;0;0;0;0;0,3;0,3;0,1;0;0;0;0;0,9;0,6;0,2;0;0;0;0;0;0;0;0;0;0
520;1;0;0;1,2;1,5;0;0,1;0;0;0;0,1;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0,8;0;0;0;0,1;0;0;0,1;2,2;0;0;0;0;0,1;0;0;0;2,3;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,3;0;0;0;0;0,4;0,5;2,5;1;0,1;0;0;0;0,1;0,5;0,7;0,1;0;0;0;0;0,4;0,3;0,1;0;0;0;0;0;0;0;0;0;0
530;0;0;0,1;0,2;1,4;0;0,1;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0;0;0;0;0;0;1,7;0;0;0;0;0;0;0;0,3;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0,7;0,1;1,2;0,4;0;0;0;0;0,2;0,1;0,1;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0;0;0;0;0;0
540;0,1;0;0;0;0,9;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0,1;0;0;0;0;1;0;0;0;0;0;0;0;0;0,8;0;0;0;0;0,5;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0,3;0,4;0,3;0;0;0;0;0;0,2;0,1;0;0;0;0;0;0,2;0,9;0;0;0;0;0;0;0;0;0;0;0
550;0;0;0;0;0,9;0;0,1;0;0;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0,1;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0,5;0,6;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0
560;0;0;0;0;0,4;0;0;0;0;0,1;0,1;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0,2;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0
