,sweep_1,sweep_2,sweep_3,sweep_4,sweep_5,sweep_6,sweep_7,sweep_8,sweep_9,sweep_10,sweep_11,sweep_12,sweep_13,sweep_14,sweep_15,sweep_16,sweep_17,sweep_18,sweep_19,sweep_20,sweep_21
18,1.336e-11,8.3875e-12,4.00725e-11,1.9585e-11,-8.34e-12,5.53e-12,1.645e-12,1.091e-11,1.44075e-11,7.925e-13,3.425e-12,-2.57e-12,3.9125e-12,-1.77825e-11,6.33e-12,-6.775e-12,-1.44675e-11,-6.1775e-12,1.6825e-12,-1.149e-11,1.35025e-11
19,1.7735e-11,1.02625e-11,4.25725e-11,1.0835e-11,-1.2715e-11,5.53e-12,-1.023e-11,4.035e-12,1.56575e-11,2.64175e-11,7.175e-12,5.55e-13,4.5375e-12,-1.90325e-11,2.58e-12,-2.4e-12,-5.0925e-12,-3.6775e-12,1.29325e-11,1.01e-12,1.60025e-11
20,1.6485e-11,2.1375e-12,3.88225e-11,-1.04e-12,-6.465e-12,7.405e-12,-1.0855e-11,-2.84e-12,1.19075e-11,3.51675e-11,6.55e-12,-7.57e-12,-2.3375e-12,-1.77825e-11,-2.42e-12,-2.4e-12,3.0325e-12,8.8225e-12,1.66825e-11,1.101e-11,1.22525e-11
21,1.485e-12,1.5125e-12,2.94475e-11,3.335e-12,5.41e-12,3.655e-12,-3.355e-12,-6.59e-12,-3.7175e-12,2.70425e-11,1.2175e-11,-5.07e-12,-6.7125e-12,-7.1575e-12,-4.92e-12,-1.365e-11,2.4075e-12,1.00725e-11,4.8075e-12,1.476e-11,-2.7475e-12
22,-1.289e-11,1.08875e-11,1.19475e-11,7.085e-12,1.291e-11,-7.595e-12,5.395e-12,-1.0965e-11,-1.49675e-11,1.82925e-11,2.28e-11,-6.95e-13,-5.4625e-12,-9.075e-13,-1.17e-12,-2.4275e-11,9.9075e-12,6.975e-13,-2.0675e-12,1.2885e-11,-1.21225e-11
23,-4.14e-12,7.7625e-12,-1.24275e-11,4.585e-12,5.41e-12,-6.345e-12,7.27e-12,-2.4715e-11,-1.49675e-11,9.5425e-12,2.4675e-11,4.305e-12,-4.8375e-12,3.425e-13,7.05e-13,-2.6775e-11,1.86575e-11,5.0725e-12,1.0575e-12,1.476e-11,-1.14975e-11
24,8.6e-13,2.7625e-12,-2.43025e-11,3.96e-12,-9.59e-12,-1.5095e-11,-1.0855e-11,-2.3465e-11,-1.74675e-11,5.1675e-12,1.28e-11,5.55e-13,-1.0875e-12,3.425e-13,-1.17e-12,-2.3025e-11,1.11575e-11,1.06975e-11,1.10575e-11,1.101e-11,-5.8725e-12
25,3.36e-12,-7.2375e-12,-1.74275e-11,8.335e-12,-2.3965e-11,-1.697e-11,-2.8355e-11,-5.34e-12,-8.7175e-12,-6.7075e-12,1.55e-12,-9.445e-12,-2.3375e-12,-9.075e-13,4.455e-12,-9.275e-12,-5.0925e-12,1.81975e-11,1.10575e-11,2.885e-12,-1.4975e-12
26,8.6e-13,1.5125e-12,3.1975e-12,2.085e-12,-2.7715e-11,-1.2595e-11,-3.023e-11,2.16e-12,3.7825e-12,-1.92075e-11,-8.45e-12,-3.195e-12,-4.2125e-12,2.8425e-12,1.5705e-11,1.975e-12,-1.63425e-11,1.75725e-11,-1.4425e-12,7.885e-12,1.16275e-11
27,-1.039e-11,1.02625e-11,1.00725e-11,-8.54e-12,-2.459e-11,-4.47e-12,-1.273e-11,4.66e-12,2.5325e-12,-2.17075e-11,-1.595e-11,1.0555e-11,-1.7125e-12,2.8425e-12,1.883e-11,-6.15e-12,-2.32175e-11,1.19475e-11,-3.3175e-12,2.1635e-11,2.28775e-11
28,-2.164e-11,1.58875e-11,5.6975e-12,-6.04e-12,-1.3965e-11,3.03e-12,3.52e-12,2.785e-12,5.6575e-12,-5.4575e-12,-1.6575e-11,1.368e-11,2.0375e-12,-4.0325e-12,1.3205e-11,-9.275e-12,-2.07175e-11,9.4475e-12,1.04325e-11,2.9135e-11,2.47525e-11
29,-2.2265e-11,9.0125e-12,-5.525e-13,-3.54e-12,4.16e-12,-6.97e-12,1.2895e-11,4.035e-12,1.9075e-12,8.9175e-12,-1.595e-11,4.93e-12,5.1625e-12,-1.09075e-11,1.133e-11,-8.025e-12,-1.69675e-11,8.8225e-12,1.66825e-11,2.2885e-11,1.47525e-11
30,-2.1015e-11,8.875e-13,-1.8025e-12,-7.915e-12,2.1035e-11,-6.97e-12,9.145e-12,4.66e-12,3.25e-14,1.01675e-11,-9.7e-12,-8.195e-12,7.0375e-12,-9.0325e-12,8e-14,-4.275e-12,-8.2175e-12,6.9475e-12,8.5575e-12,1.601e-11,9.7525e-12
31,-1.039e-11,-4.1125e-12,-3.0525e-12,-1.5415e-11,2.3535e-11,5.3e-13,1.102e-11,-2.84e-12,3.7825e-12,4.5425e-12,-3.25e-13,-7.57e-12,2.6625e-12,-8.4075e-12,-1.5545e-11,-7.4e-12,4.9075e-12,6.9475e-12,5.4325e-12,1.1635e-11,9.7525e-12
32,2.735e-12,-2.8625e-12,-7.4275e-12,-1.4165e-11,1.291e-11,1.1155e-11,1.102e-11,-4.715e-12,1.00325e-11,7.925e-13,4.05e-12,5.55e-13,-4.625e-13,-5.9075e-12,-1.742e-11,-1.865e-11,1.05325e-11,1.63225e-11,1.16825e-11,7.26e-12,-8.725e-13
33,1.711e-11,-4.1125e-12,-3.0525e-12,-4.79e-12,2.285e-12,1.053e-11,1.227e-11,9.1e-13,1.06575e-11,3.9175e-12,2.175e-12,9.93e-12,-1.0875e-12,9.675e-13,-6.17e-12,-1.365e-11,6.1575e-12,2.00725e-11,3.5575e-12,4.76e-12,-5.2475e-12
34,2.086e-11,-4.7375e-12,-5.525e-13,5.21e-12,3.535e-12,7.405e-12,4.77e-12,6.535e-12,4.4075e-12,1.07925e-11,-4.075e-12,9.93e-12,1.4125e-12,7.8425e-12,6.33e-12,2.6e-12,7.4075e-12,1.19475e-11,-4.5675e-12,3.85e-13,-2.1225e-12
35,1.3985e-11,-3.625e-13,-8.0525e-12,3.96e-12,1.66e-12,6.78e-12,6.645e-12,1.216e-11,-2.4675e-12,6.4175e-12,-5.325e-12,-1.945e-12,7.6625e-12,1.65925e-11,9.455e-12,1.5725e-11,1.99075e-11,5.0725e-12,-1.33175e-11,8.51e-12,2.8775e-12
36,1.211e-11,-4.1125e-12,-4.9275e-12,-1.4165e-11,-2.15e-13,1.1155e-11,7.895e-12,1.216e-11,-6.8425e-12,-3.5825e-12,3e-13,-9.445e-12,1.26625e-11,2.34675e-11,6.955e-12,2.1975e-11,2.30325e-11,1.75725e-11,-1.20675e-11,1.101e-11,-3.3725e-12
37,5.86e-12,-6.6125e-12,6.3225e-12,-2.7915e-11,-4.59e-12,6.155e-12,9.77e-12,-3.4e-13,1.2825e-12,-4.8325e-12,4.675e-12,-1.0695e-11,7.0375e-12,2.09675e-11,3.83e-12,2.26e-11,6.7825e-12,1.94475e-11,1.04325e-11,7.885e-12,-6.4975e-12
38,-3.515e-12,-1.41125e-11,6.9475e-12,-2.104e-11,-8.4e-13,6.78e-12,1.227e-11,-1.159e-11,1.06575e-11,1.4175e-12,7.175e-12,-1.382e-11,-4.8375e-12,1.28425e-11,6.955e-12,2.385e-11,-1.3425e-12,1.63225e-11,1.79325e-11,-8.65e-13,-3.3725e-12
39,-4.765e-12,-1.09875e-11,-3.6775e-12,-9.165e-12,-5.215e-12,1.78e-12,1.227e-11,-8.465e-12,1.00325e-11,3.9175e-12,1.155e-11,-1.132e-11,-1.92125e-11,9.675e-13,1.0705e-11,2.01e-11,-1.32175e-11,2.00725e-11,2.35575e-11,-8.99e-12,7.2525e-12
40,-1.015e-12,-3.625e-13,-1.61775e-11,7.085e-12,-2.15e-13,-6.97e-12,4.77e-12,-9.715e-12,1.9075e-12,6.4175e-12,2.03e-11,-1.382e-11,-1.48375e-11,3.425e-13,7.05e-13,2.6e-12,-1.50925e-11,1.06975e-11,2.29325e-11,-1.0865e-11,9.7525e-12
41,2.11e-12,5.8875e-12,-4.3025e-12,1.3335e-11,6.035e-12,-1.197e-11,-9.605e-12,-1.034e-11,-1.37175e-11,1.14175e-11,1.905e-11,-1.007e-11,-1.17125e-11,4.7175e-12,-5.545e-12,-1.115e-11,-1.25925e-11,6.975e-13,2.10575e-11,-8.65e-13,1.16275e-11
42,3.985e-12,6.5125e-12,1.3225e-12,1.2085e-11,-3.34e-12,-1.3845e-11,-1.273e-11,-9.65e-13,-1.37175e-11,-4.8325e-12,5.3e-12,-3.82e-12,-1.67125e-11,2.2175e-12,-9.295e-12,-2.365e-11,-1.19675e-11,-7.4275e-12,6.6825e-12,3.85e-13,6.0025e-12
43,1.086e-11,9.0125e-12,5.0725e-12,7.71e-12,-4.59e-12,-1.697e-11,-6.48e-12,5.91e-12,-1.18425e-11,-1.04575e-11,-1.22e-11,8.055e-12,-1.54625e-11,8.4675e-12,-1.17e-12,-2.6775e-11,-1.07175e-11,-9.9275e-12,4.8075e-12,-6.49e-12,3.775e-13
44,7.735e-12,8.3875e-12,1.19475e-11,6.46e-12,-8.965e-12,-1.7595e-11,2.895e-12,2.16e-12,-1.8425e-12,-2.3325e-12,-1.9075e-11,2.743e-11,-3.5875e-12,4.0925e-12,-1.795e-12,-1.865e-11,-3.2175e-12,7.25e-14,7.3075e-12,-5.24e-12,-8.9975e-12
45,-6.64e-12,-1.6125e-12,1.50725e-11,-4.165e-12,-1.0215e-11,-4.47e-12,6.645e-12,-7.84e-12,7.5325e-12,1.95425e-11,-1.2825e-11,2.8055e-11,7.6625e-12,-2.1575e-12,-3.67e-12,-1.99e-11,3.0325e-12,1.19475e-11,5.4325e-12,5.385e-12,7.2525e-12
46,-1.8515e-11,-9.1125e-12,1.19475e-11,-2.2915e-11,-1.1465e-11,8.655e-12,1.102e-11,-1.2215e-11,1.75325e-11,2.14175e-11,-9.7e-12,1.1805e-11,5.7875e-12,-7.1575e-12,-7.42e-12,-1.0525e-11,1.74075e-11,1.50725e-11,-5.1925e-12,1.1635e-11,1.53775e-11
47,-2.1015e-11,-1.53625e-11,1.38225e-11,-2.2915e-11,-5.84e-12,1.8655e-11,7.895e-12,-8.465e-12,3.25325e-11,2.26675e-11,-3.25e-13,-6.32e-12,3.2875e-12,-6.5325e-12,-1.5545e-11,-3.025e-12,2.24075e-11,1.81975e-11,-1.51925e-11,1.6635e-11,1.53775e-11
48,-1.9765e-11,-1.41125e-11,4.4475e-12,-1.604e-11,1.035e-12,1.9905e-11,1.02e-12,-5.965e-12,3.06575e-11,2.14175e-11,7.8e-12,-7.57e-12,5.7875e-12,6.5925e-12,-2.117e-11,6.35e-12,1.05325e-11,1.50725e-11,-9.5675e-12,1.101e-11,9.1275e-12
49,-1.039e-11,-2.03625e-11,6.975e-13,-1.354e-11,7.285e-12,1.303e-11,-8.98e-12,-5.965e-12,1.50325e-11,1.51675e-11,7.8e-12,-7e-14,1.07875e-11,1.47175e-11,-1.617e-11,1.0725e-11,-2.5925e-12,1.9475e-12,4.1825e-12,3.85e-13,2.2525e-12
50,-1.015e-12,-1.16125e-11,3.8225e-12,-8.54e-12,1.3535e-11,3.655e-12,-7.73e-12,-1.159e-11,-3.7175e-12,9.5425e-12,1.78e-11,5.55e-13,1.07875e-11,7.8425e-12,-6.795e-12,1.8225e-11,-1.00925e-11,-1.49275e-11,1.16825e-11,-1.3365e-11,-8.3725e-12
51,1.485e-12,-5.3625e-12,5.0725e-12,4.585e-12,1.041e-11,-1.197e-11,-2.105e-12,-1.159e-11,-1.80925e-11,5.7925e-12,2.5925e-11,-3.195e-12,3.9125e-12,-8.4075e-12,1.33e-12,2.8225e-11,-1.13425e-11,-1.11775e-11,1.60575e-11,-1.649e-11,-1.4975e-12
52,8.985e-12,-3.4875e-12,-5.525e-13,2.2085e-11,7.91e-12,-1.0095e-11,7.27e-12,-5.34e-12,-2.05925e-11,4.5425e-12,2.03e-11,-1.945e-12,-5.4625e-12,-9.6575e-12,-3.67e-12,2.8225e-11,-5.0925e-12,-1.8025e-12,2.04325e-11,-7.115e-12,7.2525e-12
53,1.711e-11,-2.2375e-12,-6.1775e-12,2.646e-11,1.291e-11,-1.197e-11,4.77e-12,6.535e-12,-2.55925e-11,4.5425e-12,9.25e-13,1.18e-12,-1.48375e-11,-2.7825e-12,-2.42e-12,2.1975e-11,1.1575e-12,2.5725e-12,2.73075e-11,4.76e-12,8.5025e-12
54,1.336e-11,3.3875e-12,1.9475e-12,2.2085e-11,7.285e-12,-1.2595e-11,-7.73e-12,1.591e-11,-1.87175e-11,2.6675e-12,-8.45e-12,3.055e-12,-1.42125e-11,-2.825e-13,6.33e-12,2.0725e-11,8.0325e-12,-5.525e-13,2.23075e-11,5.385e-12,-1.4975e-12
55,5.235e-12,1.65125e-11,1.13225e-11,1.146e-11,7.91e-12,-7.595e-12,-1.273e-11,1.7785e-11,-3.7175e-12,-1.7075e-12,-1.7825e-11,4.305e-12,-1.23375e-11,1.15925e-11,6.955e-12,1.5725e-11,1.11575e-11,-3.6775e-12,2.23075e-11,1.635e-12,-7.1225e-12
56,-5.39e-12,1.46375e-11,2.13225e-11,3.96e-12,1.416e-11,-3.845e-12,-8.355e-12,1.591e-11,1.00325e-11,6.4175e-12,-1.595e-11,8.055e-12,-1.17125e-11,2.15925e-11,5.705e-12,3.85e-12,8.0325e-12,6.975e-13,1.73075e-11,-4.615e-12,-6.4975e-12
57,-5.39e-12,4.0125e-12,2.75725e-11,-7.915e-12,1.6035e-11,-5.095e-12,2.27e-12,4.66e-12,7.5325e-12,1.14175e-11,-2.2e-12,-3.82e-12,-2.9625e-12,1.78425e-11,7.05e-13,-8.025e-12,-1.9675e-12,7.5725e-12,-8.3175e-12,-2.4e-13,3.775e-13
58,1.711e-11,4.0125e-12,3.19475e-11,-2.229e-11,7.91e-12,-8.845e-12,2.1645e-11,-4.715e-12,4.4075e-12,6.4175e-12,1.28e-11,-6.32e-12,-1.0875e-12,5.3425e-12,-1.17e-12,-1.865e-11,-1.00925e-11,5.6975e-12,-2.76925e-11,1.4135e-11,9.1275e-12
59,2.586e-11,8.875e-13,2.25725e-11,-1.729e-11,1.66e-12,-7.595e-12,2.0395e-11,-1.4715e-11,6.9075e-12,7.0425e-12,1.3425e-11,-6.95e-13,1.26625e-11,1.5925e-12,5.705e-12,-2.1775e-11,-2.00925e-11,5.6975e-12,-3.01925e-11,2.0385e-11,2.10025e-11
60,2.336e-11,-2.2375e-12,7.5725e-12,-1.0415e-11,-1.465e-12,-2.595e-12,1.0395e-11,-1.4715e-11,5.0325e-12,2.6675e-12,9.05e-12,2.43e-12,2.45375e-11,3.425e-13,2.58e-12,-1.1775e-11,-1.50925e-11,6.975e-13,-3.08175e-11,1.601e-11,2.97525e-11
61,2.086e-11,-1.03625e-11,-2.4275e-12,-1.1665e-11,-7.715e-12,3.655e-12,2.27e-12,-5.34e-12,-3.0925e-12,5.7925e-12,9.25e-13,5.55e-13,3.76625e-11,-1.5325e-12,-5.45e-13,-1.15e-12,-2.5925e-12,6.975e-13,-1.64425e-11,9.76e-12,2.78775e-11
62,1.211e-11,-1.59875e-11,-6.8025e-12,-2.2915e-11,-7.09e-12,9.905e-12,-6.48e-12,-1.159e-11,-8.0925e-12,8.9175e-12,3e-13,-8.195e-12,3.76625e-11,-9.6575e-12,2.58e-12,8.85e-12,1.05325e-11,1.38225e-11,1.0575e-12,1.101e-11,1.60025e-11
63,-8.515e-12,-4.7375e-12,-1.36775e-11,-2.604e-11,-7.715e-12,1.6155e-11,-1.648e-11,-1.159e-11,-1.93425e-11,4.5425e-12,4.675e-12,-1.132e-11,3.26625e-11,-1.90325e-11,1.1955e-11,1.3225e-11,1.36575e-11,1.94475e-11,6.6825e-12,4.76e-12,-8.725e-13
64,-1.414e-11,5.2625e-12,-1.74275e-11,-9.79e-12,1.66e-12,1.303e-11,-1.273e-11,1.535e-12,-2.37175e-11,-3.5825e-12,4.05e-12,-6.95e-13,1.26625e-11,-2.27825e-11,8.205e-12,1.5725e-11,1.11575e-11,1.63225e-11,1.10575e-11,1.635e-12,-1.21225e-11
65,-1.164e-11,-3.4875e-12,-2.18025e-11,8.335e-12,-4.59e-12,5.3e-13,-8.98e-12,1.091e-11,-2.43425e-11,-5.4575e-12,-3.25e-13,2.43e-12,-1.29625e-11,-8.4075e-12,-1.17e-12,2.4475e-11,1.17825e-11,1.25725e-11,5.4325e-12,6.635e-12,3.5025e-12
66,-1.4765e-11,-1.09875e-11,-2.36775e-11,1.396e-11,-1.084e-11,-1.1345e-11,4.77e-12,1.216e-11,-1.99675e-11,5.7925e-12,1.55e-12,1.118e-11,-2.85875e-11,-1.5325e-12,-3.67e-12,1.9475e-11,8.0325e-12,9.4475e-12,-8.3175e-12,4.135e-12,1.72525e-11
67,-1.414e-11,-4.7375e-12,-1.68025e-11,1.0835e-11,-1.8965e-11,-2.0095e-11,1.4145e-11,1.7785e-11,-1.43425e-11,3.9175e-12,4.05e-12,2.3055e-11,-2.04625e-11,4.0925e-12,1.33e-12,1.26e-11,1.49075e-11,7.5725e-12,-1.39425e-11,-2.74e-12,2.41275e-11
68,-8.515e-12,8.875e-13,-9.3025e-12,7.71e-12,-1.5215e-11,-2.8845e-11,9.77e-12,1.466e-11,-6.8425e-12,1.675e-13,1.405e-11,2.0555e-11,-2.9625e-12,6.5925e-12,3.205e-12,-4.9e-12,1.36575e-11,1.3225e-12,-2.14425e-11,-3.99e-12,2.03775e-11
69,3.985e-12,5.8875e-12,-1.55525e-11,5.835e-12,-5.84e-12,-2.822e-11,6.645e-12,9.1e-13,9.4075e-12,1.4175e-12,1.78e-11,8.055e-12,1.07875e-11,4.0925e-12,-6.17e-12,-1.115e-11,-2.5925e-12,-3.0525e-12,-2.45675e-11,-2.4e-13,9.1275e-12
70,7.735e-12,7.1375e-12,-5.5525e-12,1.3335e-11,1.035e-12,-2.0095e-11,2.895e-12,-5.965e-12,4.4075e-12,4.5425e-12,1.905e-11,-5.07e-12,1.82875e-11,9.0925e-12,-2.742e-11,-7.4e-12,-1.94675e-11,-5.525e-13,-1.70675e-11,7.26e-12,-6.4975e-12
