Row.names,cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,hierachical_cluster
hsa-let-7a-2-3p,green,-0.7117364639268722,-0.7117364639268722,-0.7117364639268722,-0.7117364639268722,-0.7117364639268722,-0.7117364639268722,-0.7117364639268722,-0.7117364639268722,-0.7117364639268722,-0.7117364639268722,0.004883629683438713,-0.12936765719027923,0.689224311443651,1.059052502670742,0.888609027437226,1.4754318188986886,1.5274884525683536,1.6020425537569014,1
hsa-let-7c-5p,green,-0.560706802717132,-0.6233095103552241,-0.5397748041418398,-1.0715587768216175,-1.1498606664617765,-1.0686807794554156,-1.0999023404929105,-0.9117011913778329,-0.9528055533431768,0.10993664537205348,0.09939593669130775,0.09870596394281704,1.0590149264111173,0.9919446955855064,1.219459822843732,1.432786389383196,1.4729129997082957,1.494143045228905,1
hsa-let-7d-3p,green,-0.5127572027045467,0.015487968170155395,-0.43339677389568787,-0.60240268833736,-1.0949160088145267,-0.7352344467733776,-0.6787041573077189,-0.906021966628067,-0.8607242898021958,-0.23437357133156647,-0.37149346518476284,-0.2712775451938483,0.26390071367323764,0.14715751207754615,0.2735261296118015,1.9768355069607528,1.935746225619936,2.088648059860224,1
hsa-let-7d-5p,green,-0.06737512413783929,-0.17858643359470214,-0.012617957448604675,-0.968526707427816,-0.8278637855905701,-0.8259762415697446,-0.9847931644834557,-0.8745207888355019,-0.8562733293378476,-0.4932599201287675,-0.5155205860329053,-0.6245772125763752,0.47270857232956615,0.4235745439104283,0.5310730733959895,1.9926529638678872,1.8195720014609804,1.990310096199284,1
hsa-let-7e-3p,green,-0.5809058524445095,-0.43834600774104443,-1.2006801910575786,-1.1108151424189037,-0.8972223301482568,-1.371029822103572,-1.0145550471196774,-1.000026639816434,-0.5312649932491681,0.48482090164666225,0.42275769516463463,0.49828224185011777,0.9170063099589925,0.9986455540663225,0.996356955241105,1.2885214676058263,1.2384048429979562,1.3000500575675253,1
hsa-let-7f-1-3p,green,-0.3432160152148551,0.4582776431965008,0.7717943997654692,0.2218154452838131,-0.1927220772252124,-0.49688245142502646,-1.5596997038855331,-1.377110671771473,-0.901219923478714,-0.03651939924390545,-0.2690627934454004,-0.24748417760558059,-0.7729150848102605,0.696268555142968,0.24494467702276443,1.4643012092374394,1.1015055202815762,1.2379248481754257,1
hsa-let-7f-2-3p,green,-1.4948073029883944,-0.4104901732210675,-0.06741783358168414,-0.5643189576632561,-0.38199116234435754,-1.1032379595503035,-0.21538673873716144,-0.07740117589689112,-0.013368273537975067,-0.39818403806420993,-0.7285663580411558,-0.41522107729843016,0.2757390888387252,0.45852239080376544,0.48035697486061507,1.4939579932701177,1.5497487481862258,1.6120658549654383,1
hsa-let-7f-5p,green,-0.8809974467463699,-0.8378406147471024,-0.6575562265363535,-0.7127997170483727,-0.8978595086940319,-0.91740760373815,-0.9580517533166873,-0.9726098747725557,-0.8273149667637972,-0.062166156762392295,0.020379084677855326,0.012300704803103977,0.7892720851006968,0.802697383963499,1.0094771342959101,1.6129432393794205,1.7706963866800252,1.706837850225303,1
hsa-let-7g-5p,green,-0.5669759428163614,-0.5557453730997671,-0.5132534584753824,-0.8665109717654929,-0.9180733846993842,-0.8721266987697683,-0.8466808204772099,-0.8072693198032502,-0.7862913830521162,-0.46106912261237115,-0.472571946031031,-0.40531289556712075,0.8892040697120501,0.8369329029867947,0.9573875995599938,1.78049987307258,1.7895181486248444,1.8183387232129942,1
hsa-let-7i-5p,green,-0.7366327115000072,-0.6571980885922111,-0.6176974752298847,-0.8316591503745595,-0.8806395683007228,-0.8792469130192752,-0.8509584965419458,-0.7474756869154193,-0.7761248924174943,-0.2857353270371573,-0.3165534889247587,-0.18963323217679726,0.685025514479905,0.6573791605864225,0.7969202615172316,1.8182740066455791,1.92582878710752,1.8861273006935768,1
hsa-miR-10b-3p,green,-0.4119203356519958,-0.18741693801084028,-0.3520201313440159,-0.9294571322431299,-0.9294571322431299,-0.6358806831398489,-0.586400437485127,-0.6983090324073068,-0.9294571322431299,-0.16106835984954831,-0.3765996130687013,-0.9294571322431299,1.0699361214714094,1.2204338757246624,0.23939632729030924,1.6631045891321794,1.4647553791789543,1.4698177671323898,1
hsa-miR-10b-5p,green,-0.33256606292943774,-0.24510016500082754,-0.21059734234275482,-0.7718048854320596,-0.8127003029968813,-0.6812100719089721,-1.1613338694033282,-1.2606213207109296,-1.1181640728101645,-0.46091582677890947,-0.40075223153978473,-0.2774480108830143,0.9283195078630841,0.8494504792983498,0.9218583910899785,1.6193117625357436,1.7473450131240167,1.6669290088258881,1
hsa-miR-1180-3p,green,1.3258829144783626,1.088698436804767,1.3191255779427118,-1.3596912875149032,-1.619186945702591,-1.1606137211038987,-0.5280916127555989,-0.7950083182006041,-0.4494444565888122,0.27113936767302876,-0.028231690643916396,-0.4467065352746862,0.06376468870042412,0.043018127623099124,0.45404097610038,0.5728309848847164,0.43912040780032596,0.8093530857772372,1
hsa-miR-1197,green,-1.466404563279306,-0.5461165821055857,-0.9052289007597051,-0.08978180458756586,0.4296374686028721,0.6048497715812037,0.0003803386828032801,0.004453693360137401,-0.722458531248333,-1.038031147780394,-0.25594979248723976,-0.8783959148040413,-0.24763312076892915,0.04174362853966138,0.6326061933777911,1.6749329948570673,1.327329895230416,1.4340663735891475,1
