Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -5.86E-12,  -7.02E-12,  -7.00E-12,  -2.09E-11,  -1.65E-11,   3.53E-11,   1.59E-11,   6.45E-03,   5.88E-11,   8.72E+06
      2,  -5.50E-02,  -7.27E-13,   2.68E-12,  -6.01E-13,  -9.49E-13,   4.46E-12,   3.97E-11,   2.47E-11,   5.45E-03,   5.88E-11,   8.72E+06
      3,  -5.00E-02,  -1.39E-13,  -2.51E-12,   1.15E-13,  -1.75E-11,   8.12E-12,   4.31E-11,   3.56E-11,   7.45E-03,   5.88E-11,   8.72E+06
      4,  -4.50E-02,   8.49E-13,  -1.01E-11,   7.38E-13,  -5.17E-11,   3.36E-11,   6.98E-11,   6.30E-11,   3.75E-03,   5.88E-11,   8.72E+06
      5,  -4.00E-02,  -1.58E-12,   6.11E-12,  -4.43E-13,  -1.17E-08,   6.07E-11,   4.38E-10,   6.49E-11,   4.40E-03,   5.88E-11,   8.72E+06
      6,  -3.50E-02,   5.30E-13,   1.52E-12,   5.00E-14,  -1.12E-08,   1.44E-10,   5.56E-10,   1.19E-10,   2.00E-03,   5.88E-11,   8.72E+06
      7,  -3.00E-02,   3.15E-13,  -8.82E-12,   1.70E-13,  -1.13E-08,   1.44E-10,   7.11E-10,   1.16E-10,   1.40E-03,   5.88E-11,   8.72E+06
      8,  -2.50E-02,  -7.61E-12,  -1.89E-11,  -6.50E-12,  -1.19E-08,   2.12E-10,   9.32E-10,   1.69E-10,   1.15E-03,   5.88E-11,   8.72E+06
      9,  -2.00E-02,   3.85E-12,  -3.81E-12,   4.12E-12,  -1.21E-08,   3.99E-10,   1.18E-09,   2.13E-10,   9.50E-04,   5.88E-11,   8.72E+06
     10,  -1.50E-02,  -2.50E-12,  -3.80E-12,  -2.14E-12,  -1.20E-08,   7.63E-10,   1.52E-09,   2.88E-10,   8.50E-04,   5.88E-11,   8.72E+06
     11,  -1.00E-02,  -2.90E-12,   8.75E-12,  -1.31E-12,  -1.17E-08,   1.34E-09,   1.98E-09,   3.56E-10,   8.00E-04,   5.88E-11,   8.72E+06
     12,  -5.00E-03,  -1.00E-12,  -1.78E-12,   4.14E-13,  -1.10E-08,   2.19E-09,   2.67E-09,   4.48E-10,   7.50E-04,   5.88E-11,   8.72E+06
     13,   0.00E+00,   4.34E-13,  -1.21E-12,  -5.70E-13,  -1.02E-08,   3.18E-09,   3.36E-09,   5.58E-10,   7.50E-04,   5.88E-11,   8.72E+06
     14,   5.00E-03,   3.54E-12,  -3.85E-12,   1.66E-12,  -9.72E-09,   4.45E-09,   4.54E-09,   6.88E-10,   7.00E-04,   5.88E-11,   8.72E+06
     15,   1.00E-02,  -2.81E-12,   2.58E-12,  -2.78E-12,  -8.99E-09,   5.88E-09,   5.92E-09,   8.22E-10,   6.50E-04,   5.88E-11,   8.72E+06
     16,   1.50E-02,  -6.29E-13,   8.94E-12,  -1.71E-13,  -8.22E-09,   7.42E-09,   7.46E-09,   9.11E-10,   6.50E-04,   5.88E-11,   8.72E+06
     17,   2.00E-02,   3.09E-12,  -1.50E-11,   2.81E-12,  -7.43E-09,   8.94E-09,   9.02E-09,   1.06E-09,   6.00E-04,   5.88E-11,   8.72E+06
     18,   2.50E-02,  -9.43E-14,  -4.36E-13,  -1.14E-12,  -6.61E-09,   1.07E-08,   1.08E-08,   1.26E-09,   6.00E-04,   5.88E-11,   8.72E+06
     19,   3.00E-02,   4.29E-12,  -2.49E-12,   6.61E-12,  -5.99E-09,   1.22E-08,   1.22E-08,   1.37E-09,   5.50E-04,   5.88E-11,   8.72E+06
     20,   3.50E-02,   3.76E-12,   1.20E-11,   4.36E-12,  -5.27E-09,   1.38E-08,   1.39E-08,   1.51E-09,   5.50E-04,   5.88E-11,   8.72E+06
     21,   4.00E-02,  -4.46E-12,  -4.32E-12,  -2.58E-12,  -4.66E-09,   1.44E-08,   1.45E-08,   1.54E-09,   5.50E-04,   5.88E-11,   8.72E+06

