Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -2.61E-12,   2.39E-12,  -2.88E-12,  -3.79E-12,   1.21E-11,   3.61E-11,   3.11E-11,   8.20E-03,   1.84E-11,   6.84E+06
      2,  -5.50E-02,  -1.87E-12,   4.20E-12,  -1.27E-12,   1.04E-12,   2.68E-12,   4.28E-11,   2.72E-11,   3.25E-03,   1.84E-11,   6.84E+06
      3,  -5.00E-02,   5.08E-14,   5.56E-12,   3.42E-13,  -7.18E-13,   2.01E-11,   8.30E-11,   3.30E-11,   6.50E-04,   1.84E-11,   6.84E+06
      4,  -4.50E-02,   6.38E-13,  -1.19E-11,   7.83E-13,  -1.32E-11,   5.13E-11,   8.19E-11,   5.13E-11,   2.20E-03,   1.84E-11,   6.84E+06
      5,  -4.00E-02,  -2.36E-12,   5.12E-12,  -3.55E-12,  -6.03E-11,   5.49E-11,   9.64E-11,   6.83E-11,   2.25E-03,   1.84E-11,   6.84E+06
      6,  -3.50E-02,   1.46E-12,  -5.94E-13,   2.22E-12,  -5.58E-09,   1.54E-10,   2.59E-10,   1.09E-10,   5.00E-03,   1.84E-11,   6.84E+06
      7,  -3.00E-02,  -1.26E-12,   1.35E-12,   4.00E-14,  -6.35E-09,   2.33E-10,   3.13E-10,   1.41E-10,   1.85E-03,   1.84E-11,   6.84E+06
      8,  -2.50E-02,  -3.16E-12,   1.47E-11,  -2.21E-12,  -6.61E-09,   3.59E-10,   3.93E-10,   2.01E-10,   1.30E-03,   1.84E-11,   6.84E+06
      9,  -2.00E-02,   8.87E-13,   6.72E-12,   6.25E-14,  -6.85E-09,   5.08E-10,   5.43E-10,   2.49E-10,   1.05E-03,   1.84E-11,   6.84E+06
     10,  -1.50E-02,   3.62E-12,   7.48E-12,   3.98E-12,  -6.75E-09,   6.35E-10,   6.77E-10,   2.84E-10,   9.00E-04,   1.84E-11,   6.84E+06
     11,  -1.00E-02,   1.08E-12,  -3.00E-13,   1.05E-12,  -6.49E-09,   7.86E-10,   8.15E-10,   3.29E-10,   8.00E-04,   1.84E-11,   6.84E+06
     12,  -5.00E-03,   2.87E-13,   5.18E-12,   2.45E-12,  -6.19E-09,   1.04E-09,   1.07E-09,   3.58E-10,   7.50E-04,   1.84E-11,   6.84E+06
     13,   0.00E+00,   2.44E-12,   3.14E-12,   1.94E-12,  -5.93E-09,   1.39E-09,   1.45E-09,   3.97E-10,   6.50E-04,   1.84E-11,   6.84E+06
     14,   5.00E-03,  -1.08E-12,  -7.97E-13,  -1.02E-12,  -5.45E-09,   1.94E-09,   1.99E-09,   4.40E-10,   6.50E-04,   1.84E-11,   6.84E+06
     15,   1.00E-02,   8.00E-12,   2.36E-11,   8.02E-12,  -4.99E-09,   2.67E-09,   2.75E-09,   4.78E-10,   6.00E-04,   1.84E-11,   6.84E+06
     16,   1.50E-02,   1.34E-12,  -1.02E-13,   1.40E-12,  -4.57E-09,   3.47E-09,   3.51E-09,   5.61E-10,   5.50E-04,   1.84E-11,   6.84E+06
     17,   2.00E-02,  -1.10E-13,   8.73E-13,  -8.57E-13,  -4.12E-09,   4.34E-09,   4.42E-09,   6.48E-10,   5.50E-04,   1.84E-11,   6.84E+06
     18,   2.50E-02,  -4.69E-12,   6.60E-12,  -7.16E-12,  -3.66E-09,   5.14E-09,   5.19E-09,   6.93E-10,   5.50E-04,   1.84E-11,   6.84E+06
     19,   3.00E-02,  -4.49E-13,   6.24E-12,   1.00E-14,  -3.25E-09,   6.00E-09,   6.07E-09,   7.41E-10,   5.00E-04,   1.84E-11,   6.84E+06
     20,   3.50E-02,   1.23E-12,  -1.03E-11,   2.08E-12,  -2.86E-09,   6.59E-09,   6.62E-09,   8.10E-10,   5.00E-04,   1.84E-11,   6.84E+06
     21,   4.00E-02,  -3.65E-12,   5.10E-12,  -2.56E-12,  -2.54E-09,   7.71E-09,   7.77E-09,   8.99E-10,   4.50E-04,   1.84E-11,   6.84E+06

