Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   1.59E-12,   3.21E-12,   1.84E-12,   2.55E-12,   3.34E-12,   3.77E-11,   3.58E-11,   5.25E-03,   3.41E-11,   6.83E+06
      2,  -5.50E-02,   5.45E-13,   3.73E-12,  -7.46E-13,  -7.22E-12,   5.25E-12,   3.81E-11,   3.62E-11,   2.27E-02,   3.41E-11,   6.83E+06
      3,  -5.00E-02,  -5.60E-13,  -6.06E-13,  -8.70E-13,  -1.31E-11,   2.05E-11,   5.19E-11,   5.19E-11,   2.95E-03,   3.41E-11,   6.83E+06
      4,  -4.50E-02,   9.80E-13,   5.46E-12,   3.61E-13,  -5.30E-11,   5.62E-11,   1.04E-10,   6.38E-11,   1.90E-03,   3.41E-11,   6.83E+06
      5,  -4.00E-02,  -1.73E-12,   4.89E-13,  -1.25E-12,  -2.19E-10,   8.33E-11,   1.24E-10,   7.81E-11,   2.05E-03,   3.41E-11,   6.83E+06
      6,  -3.50E-02,  -1.52E-13,  -7.85E-13,   2.94E-13,  -1.29E-08,   2.31E-10,   2.68E-10,   1.39E-10,   2.45E-03,   3.41E-11,   6.83E+06
      7,  -3.00E-02,   1.13E-12,   7.80E-12,   8.95E-13,  -1.25E-08,   2.73E-10,   3.12E-10,   1.44E-10,   1.35E-03,   3.41E-11,   6.83E+06
      8,  -2.50E-02,  -6.57E-13,   1.01E-12,  -4.04E-13,  -1.33E-08,   3.60E-10,   3.99E-10,   1.94E-10,   1.05E-03,   3.41E-11,   6.83E+06
      9,  -2.00E-02,  -5.47E-13,   6.87E-13,  -1.72E-13,  -1.37E-08,   4.94E-10,   5.32E-10,   2.20E-10,   8.50E-04,   3.41E-11,   6.83E+06
     10,  -1.50E-02,  -2.43E-12,   3.51E-12,  -2.12E-12,  -1.37E-08,   7.15E-10,   7.67E-10,   2.48E-10,   7.50E-04,   3.41E-11,   6.83E+06
     11,  -1.00E-02,   5.09E-13,  -8.39E-12,  -3.50E-14,  -1.32E-08,   1.02E-09,   1.08E-09,   2.41E-10,   7.00E-04,   3.41E-11,   6.83E+06
     12,  -5.00E-03,  -1.17E-12,   8.58E-13,  -7.24E-13,  -1.26E-08,   1.51E-09,   1.55E-09,   2.61E-10,   6.50E-04,   3.41E-11,   6.83E+06
     13,   0.00E+00,  -7.55E-13,   4.51E-13,  -5.41E-13,  -1.17E-08,   2.05E-09,   2.11E-09,   2.94E-10,   6.50E-04,   3.41E-11,   6.83E+06
     14,   5.00E-03,  -1.12E-12,   6.88E-12,  -2.44E-12,  -1.07E-08,   2.68E-09,   2.74E-09,   3.21E-10,   6.00E-04,   3.41E-11,   6.83E+06
     15,   1.00E-02,  -2.16E-12,   5.95E-12,  -1.20E-12,  -9.74E-09,   3.40E-09,   3.46E-09,   3.49E-10,   6.00E-04,   3.41E-11,   6.83E+06
     16,   1.50E-02,   1.47E-12,   6.01E-12,   1.13E-12,  -8.92E-09,   4.21E-09,   4.25E-09,   3.65E-10,   5.50E-04,   3.41E-11,   6.83E+06
     17,   2.00E-02,  -2.39E-12,   9.20E-12,  -1.18E-12,  -8.02E-09,   5.00E-09,   5.05E-09,   3.95E-10,   5.50E-04,   3.41E-11,   6.83E+06
     18,   2.50E-02,   1.19E-12,   2.56E-12,   1.20E-12,  -7.17E-09,   5.70E-09,   5.78E-09,   4.13E-10,   5.50E-04,   3.41E-11,   6.83E+06
     19,   3.00E-02,   3.35E-13,   6.54E-12,   3.33E-13,  -6.50E-09,   6.36E-09,   6.49E-09,   4.28E-10,   5.00E-04,   3.41E-11,   6.83E+06
     20,   3.50E-02,  -2.02E-15,  -8.80E-13,   6.83E-13,  -5.76E-09,   7.05E-09,   7.16E-09,   4.63E-10,   5.00E-04,   3.41E-11,   6.83E+06
     21,   4.00E-02,   1.09E-12,   7.41E-12,   5.78E-13,  -5.05E-09,   7.70E-09,   7.86E-09,   4.64E-10,   5.00E-04,   3.41E-11,   6.83E+06

