Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   3.56E-13,  -1.62E-12,   8.25E-14,  -5.53E-12,   2.38E-12,   2.70E-11,   2.64E-11,   1.19E-02,   3.50E-11,   1.18E+07
      2,  -5.50E-02,   9.61E-13,  -2.23E-12,   7.16E-13,  -8.47E-12,   1.40E-12,   3.08E-11,   2.40E-11,   2.45E-03,   3.50E-11,   1.18E+07
      3,  -5.00E-02,   5.47E-13,  -5.28E-13,   9.60E-13,  -1.80E-11,   1.92E-11,   4.23E-11,   3.42E-11,   2.55E-03,   3.50E-11,   1.18E+07
      4,  -4.50E-02,  -1.07E-12,   2.38E-12,  -4.18E-13,  -8.16E-11,   5.34E-11,   9.46E-11,   6.78E-11,   4.15E-03,   3.50E-11,   1.18E+07
      5,  -4.00E-02,   2.64E-12,  -3.71E-12,   1.93E-12,  -1.20E-08,   1.81E-10,   2.61E-10,   1.13E-10,   3.70E-03,   3.50E-11,   1.18E+07
      6,  -3.50E-02,   1.75E-13,   5.04E-12,   4.01E-13,  -1.11E-08,   2.71E-10,   3.38E-10,   1.60E-10,   2.05E-03,   3.50E-11,   1.18E+07
      7,  -3.00E-02,  -2.98E-12,   5.68E-12,  -2.64E-12,  -1.03E-08,   3.84E-10,   4.26E-10,   1.94E-10,   1.55E-03,   3.50E-11,   1.18E+07
      8,  -2.50E-02,   1.67E-13,   6.23E-13,  -4.50E-14,  -9.89E-09,   5.60E-10,   6.05E-10,   2.25E-10,   1.25E-03,   3.50E-11,   1.18E+07
      9,  -2.00E-02,  -1.95E-12,   7.35E-12,  -2.35E-12,  -9.58E-09,   8.45E-10,   8.79E-10,   2.84E-10,   1.10E-03,   3.50E-11,   1.18E+07
     10,  -1.50E-02,   1.01E-12,   4.52E-13,   1.34E-12,  -9.21E-09,   1.27E-09,   1.30E-09,   3.68E-10,   1.00E-03,   3.50E-11,   1.18E+07
     11,  -1.00E-02,   2.08E-12,  -2.51E-12,   1.75E-12,  -8.77E-09,   1.91E-09,   1.95E-09,   4.38E-10,   9.50E-04,   3.50E-11,   1.18E+07
     12,  -5.00E-03,  -4.68E-13,   2.91E-12,   1.35E-13,  -8.28E-09,   2.71E-09,   2.75E-09,   5.20E-10,   8.50E-04,   3.50E-11,   1.18E+07
     13,   0.00E+00,   1.17E-12,   1.95E-12,   1.15E-12,  -7.74E-09,   3.53E-09,   3.57E-09,   5.67E-10,   8.00E-04,   3.50E-11,   1.18E+07
     14,   5.00E-03,  -1.16E-12,   5.43E-13,  -9.13E-13,  -7.15E-09,   4.44E-09,   4.47E-09,   6.16E-10,   8.00E-04,   3.50E-11,   1.18E+07
     15,   1.00E-02,  -2.83E-12,  -3.93E-12,  -3.18E-12,  -6.55E-09,   5.35E-09,   5.40E-09,   6.47E-10,   7.50E-04,   3.50E-11,   1.18E+07
     16,   1.50E-02,  -1.91E-12,   7.38E-13,  -1.99E-12,  -5.97E-09,   6.36E-09,   6.40E-09,   6.57E-10,   7.50E-04,   3.50E-11,   1.18E+07
     17,   2.00E-02,   1.03E-12,   5.05E-12,   6.50E-13,  -5.43E-09,   7.33E-09,   7.38E-09,   6.91E-10,   7.00E-04,   3.50E-11,   1.18E+07
     18,   2.50E-02,   2.09E-12,   3.15E-12,   7.29E-13,  -4.85E-09,   8.35E-09,   8.38E-09,   7.35E-10,   7.00E-04,   3.50E-11,   1.18E+07
     19,   3.00E-02,  -2.28E-12,   5.15E-12,  -2.28E-12,  -4.30E-09,   9.35E-09,   9.40E-09,   7.16E-10,   6.50E-04,   3.50E-11,   1.18E+07
     20,   3.50E-02,  -3.10E-13,   5.03E-12,  -9.05E-13,  -3.77E-09,   1.04E-08,   1.05E-08,   7.86E-10,   6.50E-04,   3.50E-11,   1.18E+07
     21,   4.00E-02,  -1.06E-12,   2.71E-12,  -6.23E-13,  -3.23E-09,   1.14E-08,   1.15E-08,   8.04E-10,   6.00E-04,   3.50E-11,   1.18E+07

