Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   2.86E-12,  -1.83E-11,   4.11E-12,   2.81E-13,   2.70E-11,   6.07E-11,   3.13E-11,   1.60E-03,   4.17E-11,   8.31E+06
      2,  -5.50E-02,   2.63E-12,   1.72E-11,   3.71E-12,   1.01E-11,   1.73E-11,   6.22E-11,   4.47E-11,   1.54E-02,   4.17E-11,   8.31E+06
      3,  -5.00E-02,  -4.64E-12,  -1.08E-11,  -4.71E-12,  -1.82E-11,   1.45E-11,   5.55E-11,   2.92E-11,   3.25E-03,   4.17E-11,   8.31E+06
      4,  -4.50E-02,  -1.43E-12,   2.06E-13,  -3.99E-13,   3.87E-12,   1.03E-10,   1.39E-10,   9.55E-11,   2.00E-04,   4.17E-11,   8.31E+06
      5,  -4.00E-02,   1.10E-11,  -8.54E-12,   1.17E-11,  -1.28E-10,   6.11E-11,   1.07E-10,   5.46E-11,   2.20E-03,   4.17E-11,   8.31E+06
      6,  -3.50E-02,   2.22E-13,  -9.31E-12,   1.60E-12,  -1.10E-08,   1.50E-10,   3.05E-10,   7.51E-11,   2.70E-03,   4.17E-11,   8.31E+06
      7,  -3.00E-02,   1.83E-12,   1.17E-12,   2.61E-12,  -1.01E-08,   2.40E-10,   3.73E-10,   1.08E-10,   1.75E-03,   4.17E-11,   8.31E+06
      8,  -2.50E-02,  -9.55E-12,   3.30E-11,  -9.57E-12,  -9.84E-09,   3.16E-10,   4.71E-10,   1.29E-10,   1.35E-03,   4.17E-11,   8.31E+06
      9,  -2.00E-02,  -5.46E-12,   1.02E-11,  -4.32E-12,  -9.70E-09,   5.08E-10,   5.84E-10,   1.69E-10,   1.15E-03,   4.17E-11,   8.31E+06
     10,  -1.50E-02,  -1.46E-12,   2.83E-11,  -4.41E-12,  -9.37E-09,   7.81E-10,   8.21E-10,   2.53E-10,   1.00E-03,   4.17E-11,   8.31E+06
     11,  -1.00E-02,  -1.87E-12,   2.78E-12,  -6.58E-13,  -8.87E-09,   1.06E-09,   1.11E-09,   2.26E-10,   9.50E-04,   4.17E-11,   8.31E+06
     12,  -5.00E-03,  -1.23E-11,   7.64E-12,  -1.34E-11,  -8.30E-09,   1.56E-09,   1.61E-09,   2.39E-10,   8.50E-04,   4.17E-11,   8.31E+06
     13,   0.00E+00,   7.81E-12,   2.95E-11,   6.63E-12,  -7.75E-09,   2.16E-09,   2.22E-09,   2.29E-10,   8.00E-04,   4.17E-11,   8.31E+06
     14,   5.00E-03,  -8.16E-12,   1.68E-11,  -9.84E-12,  -7.13E-09,   2.79E-09,   2.87E-09,   2.85E-10,   7.50E-04,   4.17E-11,   8.31E+06
     15,   1.00E-02,   5.34E-12,   4.96E-12,   3.87E-12,  -6.45E-09,   3.67E-09,   3.72E-09,   3.40E-10,   7.50E-04,   4.17E-11,   8.31E+06
     16,   1.50E-02,   3.91E-12,   1.07E-11,   1.76E-12,  -5.85E-09,   4.54E-09,   4.63E-09,   3.54E-10,   7.00E-04,   4.17E-11,   8.31E+06
     17,   2.00E-02,  -8.02E-12,   2.30E-11,  -1.04E-11,  -5.30E-09,   5.30E-09,   5.38E-09,   4.01E-10,   6.50E-04,   4.17E-11,   8.31E+06
     18,   2.50E-02,   2.59E-12,  -2.18E-11,   1.74E-12,  -4.75E-09,   6.21E-09,   6.31E-09,   4.04E-10,   6.50E-04,   4.17E-11,   8.31E+06
     19,   3.00E-02,   4.74E-12,   8.62E-13,   3.13E-12,  -4.18E-09,   7.10E-09,   7.14E-09,   4.70E-10,   6.50E-04,   4.17E-11,   8.31E+06
     20,   3.50E-02,   7.82E-12,  -1.57E-11,   7.08E-12,  -3.66E-09,   7.87E-09,   7.93E-09,   5.12E-10,   6.00E-04,   4.17E-11,   8.31E+06
     21,   4.00E-02,   3.96E-13,   8.38E-13,  -7.43E-13,  -3.15E-09,   8.76E-09,   8.84E-09,   5.18E-10,   6.00E-04,   4.17E-11,   8.31E+06

