Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -4.63E-12,  -2.39E-12,  -5.41E-12,  -1.77E-11,  -1.24E-11,   3.17E-11,   3.17E-11,   2.85E-03,   3.00E-11,   6.13E+06
      2,  -5.50E-02,  -1.36E-12,  -8.09E-12,   7.64E-13,  -7.85E-12,  -8.85E-12,   4.60E-11,   2.23E-11,   7.25E-03,   3.00E-11,   6.13E+06
      3,  -5.00E-02,   3.23E-12,   8.54E-12,   2.33E-12,  -2.04E-11,   1.30E-11,   5.36E-11,   4.11E-11,   4.00E-04,   3.00E-11,   6.13E+06
      4,  -4.50E-02,   3.20E-12,   6.71E-12,   4.50E-12,  -3.07E-11,   2.86E-11,   5.88E-11,   3.56E-11,   2.30E-03,   3.00E-11,   6.13E+06
      5,  -4.00E-02,  -7.97E-15,   1.16E-11,   2.05E-12,  -1.24E-10,   5.37E-11,   1.11E-10,   5.15E-11,   1.90E-03,   3.00E-11,   6.13E+06
      6,  -3.50E-02,  -3.13E-12,   1.91E-11,  -5.02E-12,  -1.06E-08,   1.43E-10,   1.84E-10,   8.08E-11,   3.45E-03,   3.00E-11,   6.13E+06
      7,  -3.00E-02,  -1.04E-11,  -1.15E-12,  -1.18E-11,  -1.03E-08,   1.92E-10,   2.39E-10,   7.79E-11,   1.65E-03,   3.00E-11,   6.13E+06
      8,  -2.50E-02,   4.79E-12,   5.33E-12,   5.23E-12,  -1.09E-08,   2.90E-10,   3.28E-10,   1.05E-10,   1.20E-03,   3.00E-11,   6.13E+06
      9,  -2.00E-02,  -4.94E-12,   4.83E-12,  -3.49E-12,  -1.10E-08,   3.95E-10,   4.33E-10,   1.22E-10,   9.50E-04,   3.00E-11,   6.13E+06
     10,  -1.50E-02,  -3.86E-13,  -4.83E-12,  -3.92E-13,  -1.06E-08,   6.14E-10,   6.56E-10,   1.56E-10,   8.50E-04,   3.00E-11,   6.13E+06
     11,  -1.00E-02,  -6.62E-13,   5.44E-12,  -3.40E-13,  -9.95E-09,   9.77E-10,   1.04E-09,   1.83E-10,   7.50E-04,   3.00E-11,   6.13E+06
     12,  -5.00E-03,   3.61E-12,   2.63E-13,   3.66E-12,  -9.07E-09,   1.60E-09,   1.65E-09,   2.09E-10,   7.00E-04,   3.00E-11,   6.13E+06
     13,   0.00E+00,  -4.56E-12,   3.61E-12,  -4.99E-12,  -8.28E-09,   2.46E-09,   2.51E-09,   2.68E-10,   6.50E-04,   3.00E-11,   6.13E+06
     14,   5.00E-03,   1.11E-12,  -1.59E-12,   4.10E-13,  -7.46E-09,   3.58E-09,   3.63E-09,   3.80E-10,   6.00E-04,   3.00E-11,   6.13E+06
     15,   1.00E-02,  -2.45E-12,  -1.27E-11,  -2.53E-12,  -6.68E-09,   4.77E-09,   4.83E-09,   4.09E-10,   5.50E-04,   3.00E-11,   6.13E+06
     16,   1.50E-02,  -5.11E-12,  -4.18E-12,  -4.68E-12,  -5.88E-09,   5.85E-09,   5.96E-09,   4.67E-10,   5.50E-04,   3.00E-11,   6.13E+06
     17,   2.00E-02,   3.53E-12,  -1.33E-12,   3.55E-12,  -5.12E-09,   6.98E-09,   7.07E-09,   5.35E-10,   5.50E-04,   3.00E-11,   6.13E+06
     18,   2.50E-02,   5.07E-12,  -3.37E-12,   4.31E-12,  -4.47E-09,   8.18E-09,   8.26E-09,   6.04E-10,   5.00E-04,   3.00E-11,   6.13E+06
     19,   3.00E-02,   3.13E-14,   6.10E-12,  -1.81E-13,  -3.73E-09,   9.07E-09,   9.18E-09,   6.72E-10,   5.00E-04,   3.00E-11,   6.13E+06
     20,   3.50E-02,   1.11E-13,   2.18E-12,   1.60E-12,  -3.20E-09,   1.00E-08,   1.01E-08,   7.00E-10,   4.50E-04,   3.00E-11,   6.13E+06
     21,   4.00E-02,   3.73E-13,  -1.09E-11,  -5.90E-13,  -2.59E-09,   1.09E-08,   1.10E-08,   7.28E-10,   4.50E-04,   3.00E-11,   6.13E+06

