Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -1.20E-12,   1.30E-12,  -1.47E-12,  -5.69E-13,   1.68E-12,   3.60E-11,   3.98E-11,   1.06E-02,   5.17E-11,   8.02E+06
      2,  -5.50E-02,   1.74E-12,   1.63E-12,   1.71E-12,  -1.02E-11,   6.10E-12,   3.63E-11,   3.13E-11,   5.40E-03,   5.17E-11,   8.02E+06
      3,  -5.00E-02,  -2.28E-12,   1.19E-12,  -1.68E-12,  -4.48E-11,   2.98E-11,   6.49E-11,   4.55E-11,   3.40E-03,   5.17E-11,   8.02E+06
      4,  -4.50E-02,  -1.01E-12,  -4.25E-12,  -1.00E-12,  -1.73E-08,   1.21E-10,   2.53E-10,   9.10E-11,   9.50E-03,   5.17E-11,   8.02E+06
      5,  -4.00E-02,  -2.60E-12,   3.45E-12,  -2.11E-12,  -1.35E-08,   1.96E-10,   2.80E-10,   1.35E-10,   2.05E-03,   5.17E-11,   8.02E+06
      6,  -3.50E-02,   1.10E-12,   8.34E-13,   7.11E-13,  -1.32E-08,   3.11E-10,   3.65E-10,   2.05E-10,   1.35E-03,   5.17E-11,   8.02E+06
      7,  -3.00E-02,  -2.06E-12,   7.03E-12,  -1.21E-12,  -1.35E-08,   4.62E-10,   5.20E-10,   2.71E-10,   1.10E-03,   5.17E-11,   8.02E+06
      8,  -2.50E-02,   1.12E-12,  -2.22E-12,   6.67E-13,  -1.37E-08,   7.69E-10,   8.23E-10,   3.49E-10,   9.50E-04,   5.17E-11,   8.02E+06
      9,  -2.00E-02,   1.32E-12,   1.01E-12,   1.06E-12,  -1.35E-08,   1.30E-09,   1.36E-09,   4.62E-10,   8.50E-04,   5.17E-11,   8.02E+06
     10,  -1.50E-02,  -3.49E-13,   3.17E-12,   4.92E-13,  -1.31E-08,   2.16E-09,   2.22E-09,   5.89E-10,   8.00E-04,   5.17E-11,   8.02E+06
     11,  -1.00E-02,   3.73E-13,  -2.48E-12,   2.19E-12,  -1.24E-08,   3.26E-09,   3.32E-09,   7.10E-10,   7.50E-04,   5.17E-11,   8.02E+06
     12,  -5.00E-03,   8.62E-14,   2.42E-12,  -8.15E-13,  -1.17E-08,   4.55E-09,   4.59E-09,   8.33E-10,   7.50E-04,   5.17E-11,   8.02E+06
     13,   0.00E+00,  -4.03E-12,   2.14E-12,  -2.65E-12,  -1.09E-08,   5.95E-09,   6.01E-09,   8.87E-10,   7.00E-04,   5.17E-11,   8.02E+06
     14,   5.00E-03,  -3.81E-12,   8.99E-12,  -3.77E-12,  -9.89E-09,   7.41E-09,   7.47E-09,   9.76E-10,   7.00E-04,   5.17E-11,   8.02E+06
     15,   1.00E-02,  -2.21E-12,  -4.07E-12,  -9.19E-13,  -9.04E-09,   8.87E-09,   8.94E-09,   1.03E-09,   6.50E-04,   5.17E-11,   8.02E+06
     16,   1.50E-02,   2.95E-12,   2.45E-12,   2.40E-12,  -8.15E-09,   1.04E-08,   1.04E-08,   1.09E-09,   6.50E-04,   5.17E-11,   8.02E+06
     17,   2.00E-02,   5.81E-14,  -4.51E-12,  -1.02E-12,  -7.33E-09,   1.18E-08,   1.19E-08,   1.14E-09,   6.00E-04,   5.17E-11,   8.02E+06
     18,   2.50E-02,  -8.55E-13,  -4.17E-15,  -6.69E-13,  -6.47E-09,   1.33E-08,   1.33E-08,   1.19E-09,   6.00E-04,   5.17E-11,   8.02E+06
     19,   3.00E-02,   1.44E-12,   2.76E-12,   1.65E-12,  -5.70E-09,   1.42E-08,   1.42E-08,   1.28E-09,   6.00E-04,   5.17E-11,   8.02E+06
     20,   3.50E-02,  -1.32E-12,   5.05E-12,  -1.28E-12,  -4.95E-09,   1.47E-08,   1.48E-08,   1.42E-09,   5.50E-04,   5.17E-11,   8.02E+06
     21,   4.00E-02,   2.85E-12,  -1.58E-12,   3.03E-12,  -4.23E-09,   1.52E-08,   1.53E-08,   1.46E-09,   5.50E-04,   5.17E-11,   8.02E+06

