Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   1.52E-12,  -2.74E-12,   1.91E-12,   3.45E-12,   5.06E-12,   6.48E-11,   4.31E-11,   1.64E-02,   3.50E-11,   6.42E+06
      2,  -5.50E-02,  -1.22E-12,   5.89E-12,  -2.15E-12,  -1.33E-12,   1.06E-11,   6.27E-11,   6.43E-11,   9.20E-03,   3.50E-11,   6.42E+06
      3,  -5.00E-02,   8.40E-13,  -5.02E-12,   2.94E-13,  -5.46E-12,   2.40E-11,   8.42E-11,   6.25E-11,   6.50E-04,   3.50E-11,   6.42E+06
      4,  -4.50E-02,   2.86E-12,  -9.51E-13,   2.67E-12,  -4.38E-11,   5.67E-11,   1.26E-10,   6.90E-11,   2.25E-03,   3.50E-11,   6.42E+06
      5,  -4.00E-02,   1.87E-12,   4.95E-12,   1.45E-12,  -1.63E-10,   1.15E-10,   1.63E-10,   1.08E-10,   4.80E-03,   3.50E-11,   6.42E+06
      6,  -3.50E-02,  -5.15E-12,   3.54E-12,  -4.29E-12,  -1.20E-08,   2.16E-10,   2.97E-10,   1.44E-10,   3.00E-03,   3.50E-11,   6.42E+06
      7,  -3.00E-02,   3.23E-12,   2.99E-12,   3.67E-12,  -1.11E-08,   2.98E-10,   3.60E-10,   2.27E-10,   1.65E-03,   3.50E-11,   6.42E+06
      8,  -2.50E-02,  -9.33E-14,   2.55E-12,   9.04E-13,  -1.11E-08,   3.78E-10,   4.32E-10,   2.34E-10,   1.25E-03,   3.50E-11,   6.42E+06
      9,  -2.00E-02,   8.07E-13,  -2.91E-12,   3.16E-13,  -1.11E-08,   4.95E-10,   5.53E-10,   2.70E-10,   1.00E-03,   3.50E-11,   6.42E+06
     10,  -1.50E-02,   4.31E-12,  -1.64E-12,   3.24E-12,  -1.08E-08,   6.79E-10,   7.28E-10,   3.14E-10,   9.00E-04,   3.50E-11,   6.42E+06
     11,  -1.00E-02,   3.60E-13,   1.20E-11,  -1.70E-13,  -1.04E-08,   9.30E-10,   9.89E-10,   3.51E-10,   8.00E-04,   3.50E-11,   6.42E+06
     12,  -5.00E-03,  -1.49E-12,   3.41E-12,  -1.66E-12,  -9.71E-09,   1.39E-09,   1.45E-09,   3.69E-10,   7.50E-04,   3.50E-11,   6.42E+06
     13,   0.00E+00,   2.37E-12,   5.36E-12,   1.50E-12,  -9.04E-09,   1.95E-09,   2.05E-09,   3.84E-10,   7.00E-04,   3.50E-11,   6.42E+06
     14,   5.00E-03,   1.44E-12,   6.20E-12,   1.55E-12,  -8.36E-09,   2.78E-09,   2.88E-09,   4.13E-10,   6.50E-04,   3.50E-11,   6.42E+06
     15,   1.00E-02,   1.41E-12,   5.40E-12,   1.84E-12,  -7.79E-09,   3.82E-09,   3.88E-09,   4.54E-10,   6.50E-04,   3.50E-11,   6.42E+06
     16,   1.50E-02,  -1.62E-12,   1.04E-12,  -2.97E-12,  -7.36E-09,   5.08E-09,   5.19E-09,   5.06E-10,   6.00E-04,   3.50E-11,   6.42E+06
     17,   2.00E-02,  -2.41E-12,   2.25E-12,  -2.62E-12,  -6.74E-09,   6.33E-09,   6.40E-09,   5.80E-10,   5.50E-04,   3.50E-11,   6.42E+06
     18,   2.50E-02,   1.34E-12,   5.56E-12,   2.22E-12,  -5.95E-09,   7.26E-09,   7.37E-09,   6.81E-10,   5.50E-04,   3.50E-11,   6.42E+06
     19,   3.00E-02,  -2.33E-12,  -1.44E-12,  -1.79E-12,  -5.26E-09,   8.44E-09,   8.52E-09,   7.80E-10,   5.50E-04,   3.50E-11,   6.42E+06
     20,   3.50E-02,   9.20E-13,  -3.47E-12,   1.97E-12,  -4.74E-09,   9.69E-09,   9.81E-09,   8.73E-10,   5.00E-04,   3.50E-11,   6.42E+06
     21,   4.00E-02,  -1.80E-12,   1.89E-12,  -2.73E-12,  -4.19E-09,   1.09E-08,   1.10E-08,   9.06E-10,   5.00E-04,   3.50E-11,   6.42E+06

