Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -8.64E-12,   6.74E-12,  -9.97E-12,  -3.08E-12,   8.12E-12,   4.91E-11,   4.16E-11,   1.23E-02,   3.55E-11,   5.93E+06
      2,  -5.50E-02,  -3.52E-13,   2.43E-12,   9.03E-13,  -5.92E-12,  -5.60E-13,   4.01E-11,   4.57E-11,   2.35E-03,   3.55E-11,   5.93E+06
      3,  -5.00E-02,   9.29E-13,   6.87E-12,   8.99E-13,  -3.78E-11,   4.78E-12,   5.54E-11,   5.04E-11,   6.60E-03,   3.55E-11,   5.93E+06
      4,  -4.50E-02,   1.27E-12,  -3.85E-12,   1.72E-12,  -1.57E-10,  -1.67E-11,   4.82E-11,   6.38E-11,   7.60E-03,   3.55E-11,   5.93E+06
      5,  -4.00E-02,  -3.21E-12,  -6.87E-12,  -2.34E-12,  -1.33E-08,   3.57E-11,   1.14E-10,   7.64E-11,   2.40E-03,   3.55E-11,   5.93E+06
      6,  -3.50E-02,  -2.74E-12,  -5.96E-12,  -2.20E-12,  -1.31E-08,   5.05E-11,   1.03E-10,   1.09E-10,   1.50E-03,   3.55E-11,   5.93E+06
      7,  -3.00E-02,   3.55E-12,   1.15E-11,   3.67E-12,  -1.38E-08,   1.02E-10,   1.56E-10,   1.69E-10,   1.15E-03,   3.55E-11,   5.93E+06
      8,  -2.50E-02,   2.07E-12,   4.21E-13,   1.10E-12,  -1.38E-08,   2.39E-10,   2.69E-10,   2.03E-10,   9.50E-04,   3.55E-11,   5.93E+06
      9,  -2.00E-02,  -4.60E-12,  -7.75E-13,  -3.52E-12,  -1.36E-08,   4.48E-10,   5.02E-10,   2.35E-10,   8.00E-04,   3.55E-11,   5.93E+06
     10,  -1.50E-02,  -1.02E-12,  -1.04E-11,   3.46E-13,  -1.32E-08,   8.04E-10,   8.37E-10,   2.74E-10,   7.50E-04,   3.55E-11,   5.93E+06
     11,  -1.00E-02,  -3.54E-12,  -7.80E-12,  -4.39E-12,  -1.26E-08,   1.31E-09,   1.37E-09,   3.04E-10,   7.00E-04,   3.55E-11,   5.93E+06
     12,  -5.00E-03,   4.14E-14,   1.76E-12,  -2.33E-12,  -1.17E-08,   2.07E-09,   2.11E-09,   3.31E-10,   6.50E-04,   3.55E-11,   5.93E+06
     13,   0.00E+00,  -4.24E-12,   8.02E-12,  -4.18E-12,  -1.08E-08,   2.98E-09,   3.03E-09,   4.18E-10,   6.00E-04,   3.55E-11,   5.93E+06
     14,   5.00E-03,  -5.52E-12,   7.69E-12,  -4.73E-12,  -9.86E-09,   4.04E-09,   4.10E-09,   4.79E-10,   5.50E-04,   3.55E-11,   5.93E+06
     15,   1.00E-02,   3.50E-12,  -6.53E-12,   4.44E-12,  -8.86E-09,   5.28E-09,   5.33E-09,   5.95E-10,   5.50E-04,   3.55E-11,   5.93E+06
     16,   1.50E-02,  -1.91E-12,   2.38E-11,  -2.98E-12,  -7.97E-09,   6.30E-09,   6.35E-09,   6.77E-10,   5.50E-04,   3.55E-11,   5.93E+06
     17,   2.00E-02,  -6.54E-12,  -7.47E-12,  -5.30E-12,  -7.11E-09,   7.42E-09,   7.47E-09,   7.90E-10,   5.00E-04,   3.55E-11,   5.93E+06
     18,   2.50E-02,   8.60E-12,  -6.78E-12,   9.57E-12,  -6.23E-09,   8.53E-09,   8.59E-09,   8.42E-10,   5.00E-04,   3.55E-11,   5.93E+06
     19,   3.00E-02,   6.43E-13,   7.29E-12,  -1.31E-12,  -5.38E-09,   9.56E-09,   9.62E-09,   9.12E-10,   5.00E-04,   3.55E-11,   5.93E+06
     20,   3.50E-02,  -8.93E-13,  -1.80E-12,   3.95E-13,  -4.56E-09,   1.05E-08,   1.06E-08,   9.53E-10,   4.50E-04,   3.55E-11,   5.93E+06
     21,   4.00E-02,   1.09E-11,   6.97E-12,   9.07E-12,  -3.76E-09,   1.15E-08,   1.16E-08,   9.77E-10,   4.50E-04,   3.55E-11,   5.93E+06

