Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -1.05E-12,   3.02E-13,  -8.74E-13,   2.81E-13,  -1.85E-12,   3.22E-11,   2.35E-11,   1.05E-03,   3.64E-11,   8.02E+06
      2,  -5.50E-02,   9.86E-13,  -1.06E-12,   1.41E-12,   1.38E-12,  -8.86E-13,   3.62E-11,   3.43E-11,   2.65E-03,   3.64E-11,   8.02E+06
      3,  -5.00E-02,   3.66E-13,   3.22E-12,   5.16E-13,  -9.89E-12,  -5.80E-12,   2.89E-11,   3.14E-11,   7.15E-03,   3.64E-11,   8.02E+06
      4,  -4.50E-02,   2.31E-13,  -9.79E-13,   8.96E-13,  -4.66E-11,  -3.32E-11,   1.76E-11,   2.57E-11,   1.27E-02,   3.64E-11,   8.02E+06
      5,  -4.00E-02,   1.26E-12,   7.29E-13,   1.36E-12,  -5.49E-09,  -8.37E-11,   1.40E-11,   2.65E-11,   8.25E-03,   3.64E-11,   8.02E+06
      6,  -3.50E-02,   1.56E-12,  -1.70E-13,   1.13E-12,  -1.31E-08,  -3.29E-11,   1.49E-11,   3.99E-11,   3.55E-03,   3.64E-11,   8.02E+06
      7,  -3.00E-02,   1.72E-12,   4.87E-13,   1.73E-12,  -1.26E-08,  -5.46E-11,   1.24E-11,   4.87E-11,   1.70E-03,   3.64E-11,   8.02E+06
      8,  -2.50E-02,  -2.26E-12,  -2.48E-13,  -1.90E-12,  -1.41E-08,  -1.28E-11,   2.99E-11,   7.18E-11,   1.10E-03,   3.64E-11,   8.02E+06
      9,  -2.00E-02,  -6.96E-13,   2.36E-12,  -1.49E-13,  -1.46E-08,   8.92E-11,   1.23E-10,   1.00E-10,   8.50E-04,   3.64E-11,   8.02E+06
     10,  -1.50E-02,   3.10E-13,   5.59E-12,   8.99E-13,  -1.44E-08,   2.33E-10,   2.87E-10,   1.35E-10,   7.50E-04,   3.64E-11,   8.02E+06
     11,  -1.00E-02,  -1.25E-12,   5.68E-12,  -1.14E-12,  -1.41E-08,   5.02E-10,   5.40E-10,   1.62E-10,   6.50E-04,   3.64E-11,   8.02E+06
     12,  -5.00E-03,   5.90E-13,   6.37E-12,   1.17E-19,  -1.35E-08,   9.74E-10,   1.02E-09,   1.91E-10,   6.50E-04,   3.64E-11,   8.02E+06
     13,   0.00E+00,  -4.97E-13,   4.14E-12,  -1.09E-12,  -1.27E-08,   1.67E-09,   1.74E-09,   2.36E-10,   6.00E-04,   3.64E-11,   8.02E+06
     14,   5.00E-03,  -1.62E-12,   7.67E-12,  -2.21E-12,  -1.18E-08,   2.65E-09,   2.72E-09,   2.61E-10,   6.00E-04,   3.64E-11,   8.02E+06
     15,   1.00E-02,   1.68E-12,   2.32E-12,   1.88E-13,  -1.09E-08,   3.79E-09,   3.85E-09,   2.74E-10,   6.00E-04,   3.64E-11,   8.02E+06
     16,   1.50E-02,  -3.07E-13,   9.11E-12,  -5.06E-13,  -1.01E-08,   5.00E-09,   5.06E-09,   3.11E-10,   5.50E-04,   3.64E-11,   8.02E+06
     17,   2.00E-02,  -2.21E-12,   2.96E-12,  -1.91E-12,  -8.94E-09,   6.30E-09,   6.38E-09,   3.52E-10,   5.50E-04,   3.64E-11,   8.02E+06
     18,   2.50E-02,  -2.66E-12,   6.95E-12,  -2.77E-12,  -7.94E-09,   7.65E-09,   7.73E-09,   3.78E-10,   5.50E-04,   3.64E-11,   8.02E+06
     19,   3.00E-02,  -1.76E-12,   8.64E-12,  -1.71E-12,  -7.07E-09,   8.79E-09,   8.90E-09,   4.02E-10,   5.00E-04,   3.64E-11,   8.02E+06
     20,   3.50E-02,   2.03E-13,   9.33E-12,  -5.70E-13,  -6.03E-09,   1.01E-08,   1.02E-08,   4.46E-10,   5.00E-04,   3.64E-11,   8.02E+06
     21,   4.00E-02,  -2.59E-12,   6.59E-12,  -2.79E-12,  -5.17E-09,   1.11E-08,   1.12E-08,   4.54E-10,   5.00E-04,   3.64E-11,   8.02E+06

