Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -2.46E-12,   1.93E-12,  -2.47E-12,  -2.90E-12,   1.55E-12,   4.81E-11,   2.94E-11,   1.81E-02,   4.06E-11,   6.21E+06
      2,  -5.50E-02,   1.33E-13,   1.89E-13,   3.06E-13,  -1.20E-12,   8.88E-13,   3.49E-11,   2.99E-11,   8.95E-03,   4.06E-11,   6.21E+06
      3,  -5.00E-02,   7.01E-13,   4.59E-12,   6.16E-13,  -9.28E-13,   5.77E-12,   3.96E-11,   3.34E-11,   1.92E-02,   4.06E-11,   6.21E+06
      4,  -4.50E-02,  -9.34E-13,   4.84E-13,   6.13E-14,  -2.89E-11,   1.18E-11,   4.17E-11,   3.17E-11,   1.02E-02,   4.06E-11,   6.21E+06
      5,  -4.00E-02,  -1.03E-12,  -2.26E-13,  -1.20E-12,  -7.58E-11,  -3.31E-13,   3.53E-11,   4.59E-11,   5.55E-03,   4.06E-11,   6.21E+06
      6,  -3.50E-02,  -6.98E-14,   3.00E-12,   1.09E-13,  -1.31E-08,   3.75E-11,   9.15E-11,   4.59E-11,   6.25E-03,   4.06E-11,   6.21E+06
      7,  -3.00E-02,  -9.80E-13,   1.52E-12,  -6.40E-13,  -1.27E-08,   4.20E-11,   9.11E-11,   5.18E-11,   1.70E-03,   4.06E-11,   6.21E+06
      8,  -2.50E-02,   1.16E-12,   8.47E-14,   3.56E-13,  -1.37E-08,   4.43E-11,   1.12E-10,   6.90E-11,   1.20E-03,   4.06E-11,   6.21E+06
      9,  -2.00E-02,   2.89E-13,   7.30E-13,   7.96E-13,  -1.41E-08,   6.43E-11,   1.15E-10,   7.11E-11,   1.00E-03,   4.06E-11,   6.21E+06
     10,  -1.50E-02,  -5.96E-13,   2.69E-12,  -1.13E-12,  -1.41E-08,   1.13E-10,   1.66E-10,   7.58E-11,   8.50E-04,   4.06E-11,   6.21E+06
     11,  -1.00E-02,   4.97E-13,  -2.73E-12,   4.91E-13,  -1.37E-08,   1.92E-10,   3.04E-10,   7.66E-11,   8.00E-04,   4.06E-11,   6.21E+06
     12,  -5.00E-03,  -6.54E-13,   1.17E-12,  -6.19E-13,  -1.33E-08,   5.33E-10,   5.92E-10,   8.01E-11,   7.00E-04,   4.06E-11,   6.21E+06
     13,   0.00E+00,  -2.15E-12,   1.17E-12,  -1.40E-12,  -1.24E-08,   1.17E-09,   1.22E-09,   1.02E-10,   6.50E-04,   4.06E-11,   6.21E+06
     14,   5.00E-03,  -5.28E-13,   8.78E-13,  -1.64E-12,  -1.14E-08,   2.14E-09,   2.17E-09,   1.18E-10,   6.50E-04,   4.06E-11,   6.21E+06
     15,   1.00E-02,  -2.68E-13,  -2.36E-12,  -8.37E-14,  -1.06E-08,   3.32E-09,   3.36E-09,   1.26E-10,   6.00E-04,   4.06E-11,   6.21E+06
     16,   1.50E-02,  -4.40E-13,   4.29E-12,  -1.37E-13,  -9.56E-09,   4.66E-09,   4.71E-09,   1.33E-10,   6.00E-04,   4.06E-11,   6.21E+06
     17,   2.00E-02,   1.44E-12,   3.25E-12,   1.51E-12,  -8.77E-09,   6.12E-09,   6.17E-09,   1.67E-10,   5.50E-04,   4.06E-11,   6.21E+06
     18,   2.50E-02,   1.94E-13,   5.21E-12,   3.37E-14,  -7.75E-09,   7.45E-09,   7.50E-09,   1.48E-10,   5.50E-04,   4.06E-11,   6.21E+06
     19,   3.00E-02,   2.77E-13,  -6.55E-12,  -6.60E-13,  -6.82E-09,   8.57E-09,   8.63E-09,   1.61E-10,   5.50E-04,   4.06E-11,   6.21E+06
     20,   3.50E-02,  -1.69E-12,   7.71E-13,  -2.67E-12,  -6.15E-09,   9.86E-09,   9.94E-09,   1.44E-10,   5.00E-04,   4.06E-11,   6.21E+06
     21,   4.00E-02,  -6.25E-13,   2.27E-12,   1.62E-14,  -5.34E-09,   1.09E-08,   1.09E-08,   1.45E-10,   5.00E-04,   4.06E-11,   6.21E+06

