Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -1.20E-11,  -4.21E-12,  -1.07E-11,  -2.14E-12,  -1.68E-11,   5.12E-11,   1.99E-11,   1.30E-03,   2.00E-11,   9.42E+06
      2,  -5.50E-02,   4.98E-12,  -7.02E-12,   5.98E-12,   1.53E-13,   3.72E-12,   5.48E-11,   2.60E-11,   2.45E-03,   2.00E-11,   9.42E+06
      3,  -5.00E-02,  -4.36E-12,  -1.52E-12,  -6.51E-12,  -2.04E-11,   4.26E-11,   7.91E-11,   7.85E-11,   0.00E+00,   2.00E-11,   9.42E+06
      4,  -4.50E-02,   1.56E-13,   8.88E-13,   1.32E-12,   8.07E-12,   4.57E-11,   9.31E-11,   4.87E-11,   1.45E-03,   2.00E-11,   9.42E+06
      5,  -4.00E-02,  -4.02E-12,   5.22E-12,  -4.64E-12,  -4.33E-11,   1.08E-10,   1.52E-10,   5.70E-11,   3.35E-03,   2.00E-11,   9.42E+06
      6,  -3.50E-02,   3.44E-12,   1.80E-12,   2.53E-12,  -1.37E-10,   1.31E-10,   1.91E-10,   5.48E-11,   2.25E-03,   2.00E-11,   9.42E+06
      7,  -3.00E-02,  -6.97E-12,  -2.06E-14,  -5.24E-12,  -5.17E-09,   2.90E-10,   3.44E-10,   1.26E-10,   3.20E-03,   2.00E-11,   9.42E+06
      8,  -2.50E-02,  -5.88E-12,  -2.81E-12,  -6.88E-12,  -6.51E-09,   4.01E-10,   4.48E-10,   1.44E-10,   1.60E-03,   2.00E-11,   9.42E+06
      9,  -2.00E-02,  -2.29E-12,  -7.78E-12,  -2.43E-12,  -8.00E-09,   5.93E-10,   6.28E-10,   2.02E-10,   1.10E-03,   2.00E-11,   9.42E+06
     10,  -1.50E-02,   3.63E-12,   4.46E-12,   4.43E-12,  -9.07E-09,   8.38E-10,   9.02E-10,   2.18E-10,   8.50E-04,   2.00E-11,   9.42E+06
     11,  -1.00E-02,  -8.02E-12,  -1.66E-11,  -7.34E-12,  -9.36E-09,   1.11E-09,   1.16E-09,   2.88E-10,   7.50E-04,   2.00E-11,   9.42E+06
     12,  -5.00E-03,   1.71E-12,  -1.04E-11,   1.59E-12,  -8.95E-09,   1.51E-09,   1.56E-09,   3.59E-10,   6.50E-04,   2.00E-11,   9.42E+06
     13,   0.00E+00,   1.64E-11,  -1.17E-12,   1.71E-11,  -8.27E-09,   2.18E-09,   2.26E-09,   4.09E-10,   5.50E-04,   2.00E-11,   9.42E+06
     14,   5.00E-03,   6.84E-12,  -1.07E-11,   3.27E-12,  -7.42E-09,   2.97E-09,   3.06E-09,   4.54E-10,   5.50E-04,   2.00E-11,   9.42E+06
     15,   1.00E-02,  -4.16E-12,   1.55E-11,  -8.77E-12,  -6.61E-09,   4.00E-09,   4.06E-09,   4.35E-10,   5.00E-04,   2.00E-11,   9.42E+06
     16,   1.50E-02,  -1.47E-12,   9.50E-13,   5.84E-12,  -5.82E-09,   5.01E-09,   5.07E-09,   5.20E-10,   5.00E-04,   2.00E-11,   9.42E+06
     17,   2.00E-02,   1.70E-12,   3.08E-13,  -2.64E-13,  -4.95E-09,   5.95E-09,   6.02E-09,   5.66E-10,   5.00E-04,   2.00E-11,   9.42E+06
     18,   2.50E-02,   7.23E-12,   1.79E-11,   7.16E-12,  -4.19E-09,   6.83E-09,   6.92E-09,   6.54E-10,   5.00E-04,   2.00E-11,   9.42E+06
     19,   3.00E-02,  -8.38E-12,   1.80E-11,  -1.06E-11,  -3.50E-09,   7.76E-09,   7.90E-09,   6.97E-10,   5.00E-04,   2.00E-11,   9.42E+06
     20,   3.50E-02,  -8.03E-12,   1.13E-11,  -9.40E-12,  -2.74E-09,   8.56E-09,   8.62E-09,   6.52E-10,   5.00E-04,   2.00E-11,   9.42E+06
     21,   4.00E-02,   4.61E-12,   3.54E-12,   4.21E-12,  -2.19E-09,   9.41E-09,   9.50E-09,   7.94E-10,   5.00E-04,   2.00E-11,   9.42E+06

