Series_1_3
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -8.01E-13,  -6.73E-12,   3.39E-13,   5.50E-12,  -4.31E-12,   5.59E-11,   3.84E-11,   1.22E-02,   4.98E-11,   7.14E+06
      2,  -5.50E-02,   3.28E-13,   1.66E-11,   9.35E-13,  -3.37E-12,   8.29E-13,   5.48E-11,   4.79E-11,   8.25E-03,   4.98E-11,   7.14E+06
      3,  -5.00E-02,   6.62E-13,   1.48E-11,  -2.15E-13,  -1.79E-11,   5.42E-12,   5.06E-11,   4.37E-11,   1.68E-02,   4.98E-11,   7.14E+06
      4,  -4.50E-02,  -3.05E-12,  -1.37E-11,  -4.55E-12,  -5.17E-11,   1.27E-11,   5.86E-11,   4.79E-11,   4.55E-03,   4.98E-11,   7.14E+06
      5,  -4.00E-02,   8.82E-13,  -2.47E-12,   1.68E-12,  -1.55E-10,   4.53E-11,   8.36E-11,   4.24E-11,   4.90E-03,   4.98E-11,   7.14E+06
      6,  -3.50E-02,   8.08E-12,   1.99E-11,   6.70E-12,  -1.37E-08,   1.33E-10,   3.41E-10,   7.93E-11,   3.55E-03,   4.98E-11,   7.14E+06
      7,  -3.00E-02,   5.02E-13,  -1.11E-11,  -2.03E-13,  -1.29E-08,   1.60E-10,   3.90E-10,   1.00E-10,   2.00E-03,   4.98E-11,   7.14E+06
      8,  -2.50E-02,  -3.41E-12,   2.64E-12,  -4.00E-12,  -1.28E-08,   2.16E-10,   4.73E-10,   9.71E-11,   1.45E-03,   4.98E-11,   7.14E+06
      9,  -2.00E-02,   1.97E-12,   1.03E-11,   1.29E-12,  -1.34E-08,   3.57E-10,   5.63E-10,   1.16E-10,   1.15E-03,   4.98E-11,   7.14E+06
     10,  -1.50E-02,   3.28E-12,   7.80E-12,   1.92E-12,  -1.37E-08,   5.83E-10,   8.07E-10,   1.14E-10,   1.00E-03,   4.98E-11,   7.14E+06
     11,  -1.00E-02,   7.09E-12,  -1.02E-11,   6.59E-12,  -1.35E-08,   9.46E-10,   1.19E-09,   1.29E-10,   8.50E-04,   4.98E-11,   7.14E+06
     12,  -5.00E-03,  -3.20E-12,   2.95E-12,  -3.70E-12,  -1.31E-08,   1.42E-09,   1.58E-09,   1.15E-10,   8.00E-04,   4.98E-11,   7.14E+06
     13,   0.00E+00,   4.73E-12,   3.77E-12,   2.28E-12,  -1.24E-08,   2.15E-09,   2.21E-09,   1.44E-10,   7.50E-04,   4.98E-11,   7.14E+06
     14,   5.00E-03,  -1.61E-12,   3.70E-11,  -1.28E-12,  -1.17E-08,   3.14E-09,   3.21E-09,   1.65E-10,   7.00E-04,   4.98E-11,   7.14E+06
     15,   1.00E-02,   5.81E-12,   2.91E-11,   3.83E-12,  -1.07E-08,   4.34E-09,   4.39E-09,   1.58E-10,   7.00E-04,   4.98E-11,   7.14E+06
     16,   1.50E-02,   5.66E-12,  -1.46E-11,   1.98E-12,  -9.90E-09,   5.69E-09,   5.74E-09,   1.75E-10,   6.50E-04,   4.98E-11,   7.14E+06
     17,   2.00E-02,  -6.96E-12,   2.07E-11,  -8.31E-12,  -8.94E-09,   7.04E-09,   7.10E-09,   2.17E-10,   6.00E-04,   4.98E-11,   7.14E+06
     18,   2.50E-02,  -1.32E-12,   7.59E-12,   5.12E-14,  -7.79E-09,   8.47E-09,   8.55E-09,   1.97E-10,   6.00E-04,   4.98E-11,   7.14E+06
     19,   3.00E-02,  -9.35E-12,   4.47E-13,  -8.04E-12,  -6.91E-09,   9.75E-09,   9.80E-09,   2.19E-10,   5.50E-04,   4.98E-11,   7.14E+06
     20,   3.50E-02,  -3.44E-12,  -3.85E-12,  -2.15E-12,  -6.03E-09,   1.12E-08,   1.13E-08,   2.62E-10,   5.50E-04,   4.98E-11,   7.14E+06
     21,   4.00E-02,   2.97E-12,  -1.24E-11,   2.36E-12,  -5.14E-09,   1.26E-08,   1.26E-08,   2.44E-10,   5.50E-04,   4.98E-11,   7.14E+06

