Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   5.67E-12,   4.99E-12,   5.09E-12,   2.60E-12,   3.65E-12,   3.93E-11,   4.68E-11,   3.30E-03,   3.48E-11,   6.70E+06
      2,  -5.50E-02,  -1.74E-12,  -2.38E-13,  -2.57E-12,  -1.13E-12,  -6.11E-13,   3.52E-11,   3.21E-11,   1.13E-02,   3.48E-11,   6.70E+06
      3,  -5.00E-02,   2.92E-12,  -3.35E-12,   2.29E-12,  -9.98E-12,   2.16E-11,   5.79E-11,   4.04E-11,   4.60E-03,   3.48E-11,   6.70E+06
      4,  -4.50E-02,  -9.78E-13,  -3.78E-13,  -7.57E-13,  -2.39E-11,   5.94E-11,   9.15E-11,   5.27E-11,   4.40E-03,   3.48E-11,   6.70E+06
      5,  -4.00E-02,   5.77E-13,   8.80E-13,  -6.79E-13,  -1.40E-10,   1.36E-10,   1.71E-10,   9.59E-11,   3.60E-03,   3.48E-11,   6.70E+06
      6,  -3.50E-02,   1.12E-12,  -4.65E-12,   1.42E-12,  -1.15E-08,   2.97E-10,   3.77E-10,   1.36E-10,   2.60E-03,   3.48E-11,   6.70E+06
      7,  -3.00E-02,  -2.31E-12,   2.67E-12,  -7.34E-13,  -1.13E-08,   4.27E-10,   4.75E-10,   1.83E-10,   1.45E-03,   3.48E-11,   6.70E+06
      8,  -2.50E-02,   6.39E-13,  -1.59E-12,   5.61E-13,  -1.20E-08,   5.47E-10,   5.99E-10,   2.22E-10,   1.10E-03,   3.48E-11,   6.70E+06
      9,  -2.00E-02,   2.09E-12,  -3.92E-12,   1.34E-12,  -1.23E-08,   6.93E-10,   7.52E-10,   2.51E-10,   9.00E-04,   3.48E-11,   6.70E+06
     10,  -1.50E-02,   3.45E-12,  -8.04E-12,   3.30E-12,  -1.22E-08,   9.45E-10,   1.01E-09,   2.81E-10,   8.00E-04,   3.48E-11,   6.70E+06
     11,  -1.00E-02,   9.68E-14,   4.71E-12,  -7.47E-13,  -1.19E-08,   1.33E-09,   1.38E-09,   2.84E-10,   7.50E-04,   3.48E-11,   6.70E+06
     12,  -5.00E-03,  -2.06E-13,   5.50E-12,  -9.85E-13,  -1.13E-08,   1.84E-09,   1.90E-09,   3.00E-10,   7.00E-04,   3.48E-11,   6.70E+06
     13,   0.00E+00,  -1.72E-12,   1.64E-12,  -1.83E-12,  -1.06E-08,   2.57E-09,   2.62E-09,   2.95E-10,   6.50E-04,   3.48E-11,   6.70E+06
     14,   5.00E-03,  -1.61E-12,   1.14E-12,  -1.68E-12,  -9.74E-09,   3.52E-09,   3.58E-09,   3.07E-10,   6.50E-04,   3.48E-11,   6.70E+06
     15,   1.00E-02,   1.11E-12,   1.91E-12,   1.32E-12,  -8.97E-09,   4.61E-09,   4.67E-09,   3.34E-10,   6.00E-04,   3.48E-11,   6.70E+06
     16,   1.50E-02,  -1.49E-12,   4.39E-12,  -1.32E-12,  -8.15E-09,   5.74E-09,   5.79E-09,   3.51E-10,   6.00E-04,   3.48E-11,   6.70E+06
     17,   2.00E-02,  -1.06E-12,   4.65E-12,  -1.58E-12,  -7.40E-09,   6.96E-09,   7.04E-09,   3.56E-10,   5.50E-04,   3.48E-11,   6.70E+06
     18,   2.50E-02,   3.33E-12,   1.01E-12,   2.56E-12,  -6.54E-09,   8.02E-09,   8.11E-09,   3.59E-10,   5.50E-04,   3.48E-11,   6.70E+06
     19,   3.00E-02,   1.97E-12,  -9.36E-12,   2.42E-12,  -5.84E-09,   9.24E-09,   9.29E-09,   3.73E-10,   5.50E-04,   3.48E-11,   6.70E+06
     20,   3.50E-02,   7.81E-13,   5.95E-12,   3.30E-13,  -5.21E-09,   1.03E-08,   1.04E-08,   3.70E-10,   5.00E-04,   3.48E-11,   6.70E+06
     21,   4.00E-02,   1.08E-12,   6.73E-12,   1.11E-12,  -4.53E-09,   1.14E-08,   1.16E-08,   4.16E-10,   5.00E-04,   3.48E-11,   6.70E+06

