Series_1_3
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -1.63E-12,  -3.94E-13,  -1.67E-12,  -3.06E-12,  -3.88E-12,   3.31E-11,   1.69E-11,   6.85E-03,   9.00E-11,   1.06E+07
      2,  -5.50E-02,   2.30E-12,   2.63E-12,   2.15E-12,  -1.07E-11,   1.95E-12,   3.10E-11,   3.22E-11,   1.35E-02,   9.00E-11,   1.06E+07
      3,  -5.00E-02,  -3.42E-13,   4.72E-12,   1.07E-12,  -9.61E-12,   5.56E-12,   3.51E-11,   2.95E-11,   2.15E-02,   9.00E-11,   1.06E+07
      4,  -4.50E-02,   3.39E-13,   2.12E-12,  -9.85E-13,  -3.94E-11,   4.51E-12,   5.52E-11,   2.52E-11,   1.70E-03,   9.00E-11,   1.06E+07
      5,  -4.00E-02,   2.17E-12,  -5.45E-13,   2.31E-12,  -1.19E-10,   3.45E-12,   4.22E-11,   3.79E-11,   3.80E-03,   9.00E-11,   1.06E+07
      6,  -3.50E-02,  -1.95E-12,   3.01E-12,  -2.60E-12,  -1.19E-08,   8.69E-11,   3.03E-10,   4.57E-11,   2.90E-03,   9.00E-11,   1.06E+07
      7,  -3.00E-02,  -5.67E-12,   6.07E-12,  -6.85E-12,  -1.13E-08,   1.69E-10,   4.08E-10,   7.77E-11,   1.75E-03,   9.00E-11,   1.06E+07
      8,  -2.50E-02,   9.48E-13,   7.25E-12,   1.61E-12,  -1.08E-08,   2.29E-10,   6.64E-10,   1.04E-10,   1.40E-03,   9.00E-11,   1.06E+07
      9,  -2.00E-02,   1.03E-12,   9.36E-12,   5.38E-13,  -1.09E-08,   3.65E-10,   8.85E-10,   1.48E-10,   1.20E-03,   9.00E-11,   1.06E+07
     10,  -1.50E-02,  -2.00E-12,  -1.61E-13,  -1.50E-12,  -1.10E-08,   6.01E-10,   1.12E-09,   1.92E-10,   1.05E-03,   9.00E-11,   1.06E+07
     11,  -1.00E-02,  -4.57E-13,   5.86E-12,   1.12E-12,  -1.08E-08,   1.07E-09,   1.47E-09,   2.73E-10,   1.00E-03,   9.00E-11,   1.06E+07
     12,  -5.00E-03,   3.88E-12,  -3.29E-12,   4.91E-12,  -1.06E-08,   1.71E-09,   1.92E-09,   3.56E-10,   9.00E-04,   9.00E-11,   1.06E+07
     13,   0.00E+00,  -9.92E-13,   2.13E-12,  -1.35E-12,  -1.03E-08,   2.62E-09,   2.65E-09,   4.72E-10,   8.50E-04,   9.00E-11,   1.06E+07
     14,   5.00E-03,  -1.49E-12,  -1.02E-11,  -1.62E-12,  -9.71E-09,   3.65E-09,   3.70E-09,   6.13E-10,   8.50E-04,   9.00E-11,   1.06E+07
     15,   1.00E-02,  -8.98E-13,  -1.11E-11,  -3.99E-13,  -9.13E-09,   4.75E-09,   4.79E-09,   7.24E-10,   8.00E-04,   9.00E-11,   1.06E+07
     16,   1.50E-02,  -3.82E-12,  -2.12E-12,  -3.28E-12,  -8.53E-09,   5.89E-09,   5.95E-09,   9.16E-10,   7.50E-04,   9.00E-11,   1.06E+07
     17,   2.00E-02,   3.49E-13,  -3.18E-12,  -1.77E-13,  -7.89E-09,   7.01E-09,   7.08E-09,   1.02E-09,   7.50E-04,   9.00E-11,   1.06E+07
     18,   2.50E-02,  -1.81E-12,   1.55E-11,  -2.34E-12,  -7.38E-09,   8.33E-09,   8.37E-09,   1.21E-09,   7.00E-04,   9.00E-11,   1.06E+07
     19,   3.00E-02,   1.55E-12,  -8.26E-12,   1.79E-12,  -6.79E-09,   9.77E-09,   9.84E-09,   1.37E-09,   7.00E-04,   9.00E-11,   1.06E+07
     20,   3.50E-02,   1.73E-12,  -1.41E-12,   1.76E-12,  -6.31E-09,   1.11E-08,   1.11E-08,   1.43E-09,   6.50E-04,   9.00E-11,   1.06E+07
     21,   4.00E-02,   7.57E-13,   2.06E-12,  -2.54E-13,  -5.76E-09,   1.25E-08,   1.26E-08,   1.61E-09,   6.50E-04,   9.00E-11,   1.06E+07

