Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -4.31E-12,  -2.66E-12,  -3.36E-12,  -6.50E-12,   1.56E-11,   7.68E-11,   6.05E-11,   2.36E-02,   3.37E-11,   7.79E+06
      2,  -5.50E-02,  -5.91E-13,  -7.33E-12,  -7.78E-13,  -3.58E-12,   7.07E-12,   5.12E-11,   4.24E-11,   2.21E-02,   3.37E-11,   7.79E+06
      3,  -5.00E-02,   2.60E-12,  -7.26E-12,   2.74E-12,   1.61E-12,   2.95E-11,   7.00E-11,   4.32E-11,   1.38E-02,   3.37E-11,   7.79E+06
      4,  -4.50E-02,   4.45E-12,   5.54E-12,   4.83E-12,  -5.81E-12,   8.57E-11,   1.21E-10,   4.95E-11,   2.30E-03,   3.37E-11,   7.79E+06
      5,  -4.00E-02,  -3.19E-12,   7.43E-12,  -6.79E-13,  -7.46E-11,   1.94E-10,   2.34E-10,   1.03E-10,   3.20E-03,   3.37E-11,   7.79E+06
      6,  -3.50E-02,   2.79E-12,  -7.17E-12,   2.36E-12,  -3.88E-09,   2.89E-10,   3.44E-10,   1.07E-10,   3.00E-03,   3.37E-11,   7.79E+06
      7,  -3.00E-02,   2.91E-12,  -2.83E-12,   2.96E-12,  -9.73E-09,   4.13E-10,   4.71E-10,   1.54E-10,   2.55E-03,   3.37E-11,   7.79E+06
      8,  -2.50E-02,   9.30E-13,  -1.62E-11,   3.02E-12,  -9.91E-09,   5.80E-10,   6.29E-10,   1.53E-10,   1.65E-03,   3.37E-11,   7.79E+06
      9,  -2.00E-02,  -4.09E-13,   8.42E-12,  -2.16E-12,  -9.98E-09,   8.27E-10,   8.72E-10,   1.86E-10,   1.25E-03,   3.37E-11,   7.79E+06
     10,  -1.50E-02,  -3.94E-12,   6.31E-12,  -5.10E-12,  -9.78E-09,   1.10E-09,   1.14E-09,   1.87E-10,   1.05E-03,   3.37E-11,   7.79E+06
     11,  -1.00E-02,   1.10E-11,   7.77E-12,   1.07E-11,  -9.33E-09,   1.50E-09,   1.55E-09,   2.06E-10,   9.00E-04,   3.37E-11,   7.79E+06
     12,  -5.00E-03,   1.75E-12,  -2.10E-12,   1.33E-12,  -8.73E-09,   2.15E-09,   2.19E-09,   2.20E-10,   8.00E-04,   3.37E-11,   7.79E+06
     13,   0.00E+00,  -4.68E-14,   2.58E-12,  -1.75E-12,  -8.02E-09,   2.92E-09,   2.97E-09,   2.66E-10,   7.50E-04,   3.37E-11,   7.79E+06
     14,   5.00E-03,   3.43E-12,  -1.27E-11,   2.11E-12,  -7.30E-09,   3.77E-09,   3.85E-09,   2.80E-10,   7.00E-04,   3.37E-11,   7.79E+06
     15,   1.00E-02,  -2.92E-12,  -5.85E-12,  -2.30E-12,  -6.56E-09,   4.75E-09,   4.79E-09,   3.00E-10,   6.50E-04,   3.37E-11,   7.79E+06
     16,   1.50E-02,  -7.41E-13,   6.72E-12,   9.42E-13,  -5.86E-09,   5.66E-09,   5.74E-09,   3.23E-10,   6.00E-04,   3.37E-11,   7.79E+06
     17,   2.00E-02,   2.32E-12,   4.05E-12,   3.11E-12,  -5.13E-09,   6.71E-09,   6.77E-09,   3.57E-10,   6.00E-04,   3.37E-11,   7.79E+06
     18,   2.50E-02,  -1.81E-12,   1.83E-11,  -8.91E-13,  -4.51E-09,   7.67E-09,   7.78E-09,   3.93E-10,   5.50E-04,   3.37E-11,   7.79E+06
     19,   3.00E-02,  -2.49E-12,   1.29E-12,  -2.40E-12,  -3.90E-09,   8.55E-09,   8.63E-09,   3.87E-10,   5.50E-04,   3.37E-11,   7.79E+06
     20,   3.50E-02,  -8.08E-13,  -5.64E-12,   5.81E-13,  -3.36E-09,   9.52E-09,   9.58E-09,   3.97E-10,   5.00E-04,   3.37E-11,   7.79E+06
     21,   4.00E-02,  -6.10E-12,   6.82E-12,  -4.08E-12,  -2.82E-09,   1.03E-08,   1.04E-08,   4.56E-10,   5.00E-04,   3.37E-11,   7.79E+06

