Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   4.37E-12,   2.87E-12,   3.60E-12,  -5.88E-12,   5.58E-12,   9.13E-11,   5.88E-11,   1.48E-02,   5.49E-11,   4.07E+06
      2,  -5.50E-02,   1.31E-12,  -1.72E-12,   1.05E-13,  -1.10E-11,   4.11E-12,   7.97E-11,   6.42E-11,   3.75E-03,   5.49E-11,   4.07E+06
      3,  -5.00E-02,  -2.77E-13,   5.59E-13,  -9.78E-13,  -5.07E-11,   3.08E-11,   1.06E-10,   9.35E-11,   3.50E-03,   5.49E-11,   4.07E+06
      4,  -4.50E-02,  -2.80E-12,  -3.68E-12,  -1.62E-12,  -3.32E-10,   4.10E-11,   1.03E-10,   1.34E-10,   4.30E-03,   5.49E-11,   4.07E+06
      5,  -4.00E-02,  -1.32E-12,  -5.95E-12,  -1.59E-12,  -2.25E-08,   2.46E-10,   3.39E-10,   1.90E-10,   1.95E-03,   5.49E-11,   4.07E+06
      6,  -3.50E-02,  -6.79E-14,  -5.14E-13,  -6.38E-13,  -2.40E-08,   3.37E-10,   4.20E-10,   3.04E-10,   1.25E-03,   5.49E-11,   4.07E+06
      7,  -3.00E-02,  -3.08E-13,  -1.79E-14,   2.07E-13,  -2.36E-08,   4.89E-10,   5.38E-10,   3.57E-10,   1.00E-03,   5.49E-11,   4.07E+06
      8,  -2.50E-02,   1.81E-14,   4.24E-12,   3.96E-13,  -2.35E-08,   8.37E-10,   9.05E-10,   4.67E-10,   8.50E-04,   5.49E-11,   4.07E+06
      9,  -2.00E-02,  -2.97E-12,   3.90E-12,  -2.99E-12,  -2.25E-08,   1.32E-09,   1.39E-09,   5.97E-10,   7.50E-04,   5.49E-11,   4.07E+06
     10,  -1.50E-02,   7.34E-14,   2.78E-12,  -6.41E-13,  -2.06E-08,   2.05E-09,   2.12E-09,   7.06E-10,   7.00E-04,   5.49E-11,   4.07E+06
     11,  -1.00E-02,   1.37E-12,   1.69E-12,  -8.64E-13,  -2.09E-08,   3.28E-09,   3.35E-09,   9.09E-10,   6.50E-04,   5.49E-11,   4.07E+06
     12,  -5.00E-03,  -9.10E-13,   3.63E-12,  -1.92E-13,  -1.96E-08,   4.61E-09,   4.69E-09,   9.69E-10,   6.00E-04,   5.49E-11,   4.07E+06
     13,   0.00E+00,  -2.63E-12,  -8.33E-13,  -3.15E-12,  -1.81E-08,   6.17E-09,   6.25E-09,   1.09E-09,   6.00E-04,   5.49E-11,   4.07E+06
     14,   5.00E-03,   3.52E-12,  -4.77E-13,   4.02E-12,  -1.64E-08,   7.74E-09,   7.81E-09,   1.23E-09,   5.50E-04,   5.49E-11,   4.07E+06
     15,   1.00E-02,   1.37E-12,  -2.82E-12,   2.05E-12,  -1.50E-08,   9.57E-09,   9.65E-09,   1.31E-09,   5.50E-04,   5.49E-11,   4.07E+06
     16,   1.50E-02,   8.35E-13,   5.34E-12,   4.21E-13,  -1.34E-08,   1.11E-08,   1.11E-08,   1.37E-09,   5.50E-04,   5.49E-11,   4.07E+06
     17,   2.00E-02,   6.59E-14,   5.46E-13,   1.52E-12,  -1.20E-08,   1.25E-08,   1.26E-08,   1.50E-09,   5.00E-04,   5.49E-11,   4.07E+06
     18,   2.50E-02,   1.55E-12,  -1.92E-12,   2.58E-12,  -1.10E-08,   1.45E-08,   1.46E-08,   1.61E-09,   5.00E-04,   5.49E-11,   4.07E+06
     19,   3.00E-02,   1.58E-12,  -1.43E-12,   1.91E-12,  -9.78E-09,   1.63E-08,   1.64E-08,   1.66E-09,   5.00E-04,   5.49E-11,   4.07E+06
     20,   3.50E-02,  -3.05E-12,  -2.42E-12,  -2.17E-12,  -8.76E-09,   1.77E-08,   1.78E-08,   1.78E-09,   4.50E-04,   5.49E-11,   4.07E+06
     21,   4.00E-02,   2.43E-12,   1.72E-11,   1.67E-12,  -7.66E-09,   1.93E-08,   1.94E-08,   1.89E-09,   4.50E-04,   5.49E-11,   4.07E+06

