Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   3.64E-12,   2.33E-12,   3.55E-12,   4.36E-12,  -1.43E-12,   3.79E-11,   2.23E-11,   1.50E-03,   5.46E-11,   1.10E+07
      2,  -5.50E-02,   2.21E-12,  -7.19E-13,   1.92E-12,  -5.82E-12,   3.00E-12,   3.94E-11,   2.69E-11,   2.07E-02,   5.46E-11,   1.10E+07
      3,  -5.00E-02,  -2.22E-12,   6.09E-13,  -1.96E-12,  -1.40E-11,   7.28E-12,   4.25E-11,   4.19E-11,   5.10E-03,   5.46E-11,   1.10E+07
      4,  -4.50E-02,   2.32E-12,   5.17E-12,   1.56E-12,  -4.25E-11,   3.98E-11,   7.05E-11,   4.30E-11,   4.50E-03,   5.46E-11,   1.10E+07
      5,  -4.00E-02,   3.34E-12,   1.29E-12,   2.59E-12,  -1.17E-08,   1.19E-10,   3.09E-10,   6.84E-11,   4.65E-03,   5.46E-11,   1.10E+07
      6,  -3.50E-02,  -7.57E-13,  -4.65E-13,  -7.56E-13,  -1.09E-08,   1.88E-10,   4.13E-10,   9.71E-11,   2.15E-03,   5.46E-11,   1.10E+07
      7,  -3.00E-02,   1.66E-12,   1.83E-12,   9.03E-13,  -9.74E-09,   2.64E-10,   5.67E-10,   1.39E-10,   1.60E-03,   5.46E-11,   1.10E+07
      8,  -2.50E-02,   8.55E-13,   6.03E-12,   6.55E-13,  -9.35E-09,   3.66E-10,   7.17E-10,   1.56E-10,   1.35E-03,   5.46E-11,   1.10E+07
      9,  -2.00E-02,  -6.32E-14,   2.02E-12,  -3.53E-13,  -9.45E-09,   5.26E-10,   9.61E-10,   2.10E-10,   1.20E-03,   5.46E-11,   1.10E+07
     10,  -1.50E-02,   1.01E-13,   2.79E-12,   8.34E-13,  -9.54E-09,   8.01E-10,   1.26E-09,   3.22E-10,   1.05E-03,   5.46E-11,   1.10E+07
     11,  -1.00E-02,  -3.84E-13,  -6.36E-14,   6.85E-13,  -9.36E-09,   1.11E-09,   1.63E-09,   3.54E-10,   9.50E-04,   5.46E-11,   1.10E+07
     12,  -5.00E-03,  -3.64E-13,   7.50E-14,   2.56E-13,  -9.44E-09,   1.68E-09,   2.07E-09,   3.79E-10,   9.00E-04,   5.46E-11,   1.10E+07
     13,   0.00E+00,  -1.06E-12,  -4.79E-13,   2.12E-14,  -9.02E-09,   2.36E-09,   2.55E-09,   4.63E-10,   8.50E-04,   5.46E-11,   1.10E+07
     14,   5.00E-03,  -8.59E-13,   6.85E-12,  -6.91E-13,  -8.71E-09,   3.19E-09,   3.27E-09,   5.13E-10,   8.00E-04,   5.46E-11,   1.10E+07
     15,   1.00E-02,   1.67E-12,   4.40E-12,   1.75E-12,  -8.13E-09,   4.13E-09,   4.19E-09,   6.02E-10,   7.50E-04,   5.46E-11,   1.10E+07
     16,   1.50E-02,  -9.06E-13,  -2.51E-13,   2.04E-13,  -8.29E-09,   5.54E-09,   5.60E-09,   5.72E-10,   7.00E-04,   5.46E-11,   1.10E+07
     17,   2.00E-02,   1.02E-12,   2.15E-12,   8.24E-13,  -8.02E-09,   7.41E-09,   7.47E-09,   5.37E-10,   6.50E-04,   5.46E-11,   1.10E+07
     18,   2.50E-02,   1.01E-12,  -6.16E-12,   1.08E-13,  -7.26E-09,   8.56E-09,   8.62E-09,   5.84E-10,   6.50E-04,   5.46E-11,   1.10E+07
     19,   3.00E-02,  -1.32E-12,   2.21E-12,  -4.35E-13,  -6.70E-09,   1.00E-08,   1.01E-08,   5.75E-10,   6.00E-04,   5.46E-11,   1.10E+07
     20,   3.50E-02,   2.26E-12,  -1.72E-14,   1.67E-12,  -5.96E-09,   1.12E-08,   1.13E-08,   6.71E-10,   6.00E-04,   5.46E-11,   1.10E+07
     21,   4.00E-02,   1.69E-12,  -9.36E-13,   1.18E-12,  -5.30E-09,   1.20E-08,   1.20E-08,   7.89E-10,   6.00E-04,   5.46E-11,   1.10E+07

