Series_1_3
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   2.69E-12,  -1.45E-11,   2.03E-12,  -4.25E-12,  -1.32E-11,   4.77E-11,   2.08E-11,   1.99E-02,   3.44E-11,   7.43E+06
      2,  -5.50E-02,  -2.26E-12,  -8.18E-12,  -1.59E-12,  -6.53E-12,   4.40E-12,   6.49E-11,   2.11E-11,   4.35E-03,   3.44E-11,   7.43E+06
      3,  -5.00E-02,  -4.33E-12,   5.63E-12,  -4.28E-12,  -2.96E-11,   2.45E-11,   6.19E-11,   4.75E-11,   3.80E-03,   3.44E-11,   7.43E+06
      4,  -4.50E-02,   3.50E-12,  -8.14E-12,   2.55E-12,  -8.43E-11,   8.48E-11,   1.23E-10,   9.56E-11,   3.30E-03,   3.44E-11,   7.43E+06
      5,  -4.00E-02,   8.77E-13,   2.11E-12,   4.21E-13,  -1.03E-08,   2.15E-10,   2.83E-10,   1.53E-10,   5.05E-03,   3.44E-11,   7.43E+06
      6,  -3.50E-02,  -6.95E-12,   8.41E-12,  -6.07E-12,  -1.03E-08,   2.75E-10,   3.31E-10,   1.73E-10,   1.80E-03,   3.44E-11,   7.43E+06
      7,  -3.00E-02,  -2.48E-12,   1.61E-11,  -1.90E-12,  -1.05E-08,   3.53E-10,   4.03E-10,   2.13E-10,   1.25E-03,   3.44E-11,   7.43E+06
      8,  -2.50E-02,   7.90E-12,   7.58E-12,   6.01E-12,  -1.07E-08,   4.82E-10,   5.24E-10,   2.50E-10,   1.05E-03,   3.44E-11,   7.43E+06
      9,  -2.00E-02,  -5.82E-13,   6.66E-12,  -8.15E-13,  -1.06E-08,   6.59E-10,   6.98E-10,   3.04E-10,   9.00E-04,   3.44E-11,   7.43E+06
     10,  -1.50E-02,   4.37E-13,  -1.46E-11,   6.93E-13,  -1.02E-08,   8.49E-10,   8.94E-10,   3.23E-10,   8.00E-04,   3.44E-11,   7.43E+06
     11,  -1.00E-02,  -3.02E-12,  -3.31E-12,  -2.56E-12,  -9.71E-09,   1.29E-09,   1.33E-09,   3.93E-10,   7.00E-04,   3.44E-11,   7.43E+06
     12,  -5.00E-03,  -6.82E-13,  -1.19E-11,  -1.92E-12,  -9.03E-09,   1.83E-09,   1.87E-09,   4.50E-10,   7.00E-04,   3.44E-11,   7.43E+06
     13,   0.00E+00,  -5.06E-12,   1.92E-12,  -4.33E-12,  -8.32E-09,   2.45E-09,   2.53E-09,   4.84E-10,   6.50E-04,   3.44E-11,   7.43E+06
     14,   5.00E-03,   4.05E-12,  -1.54E-12,   3.33E-12,  -7.72E-09,   3.37E-09,   3.43E-09,   5.82E-10,   6.00E-04,   3.44E-11,   7.43E+06
     15,   1.00E-02,  -2.35E-12,  -3.20E-12,  -2.53E-12,  -6.99E-09,   4.35E-09,   4.39E-09,   6.81E-10,   6.00E-04,   3.44E-11,   7.43E+06
     16,   1.50E-02,   2.05E-12,  -3.13E-12,   2.29E-12,  -6.31E-09,   5.32E-09,   5.38E-09,   7.25E-10,   5.50E-04,   3.44E-11,   7.43E+06
     17,   2.00E-02,   3.46E-12,   1.16E-11,   1.57E-12,  -5.62E-09,   6.29E-09,   6.35E-09,   8.28E-10,   5.50E-04,   3.44E-11,   7.43E+06
     18,   2.50E-02,  -4.46E-12,  -7.29E-12,  -5.31E-12,  -4.99E-09,   7.20E-09,   7.31E-09,   8.97E-10,   5.50E-04,   3.44E-11,   7.43E+06
     19,   3.00E-02,  -1.78E-12,  -3.41E-12,  -2.88E-12,  -4.39E-09,   8.07E-09,   8.13E-09,   1.03E-09,   5.50E-04,   3.44E-11,   7.43E+06
     20,   3.50E-02,   6.09E-12,   5.16E-12,   5.31E-12,  -3.81E-09,   8.91E-09,   9.00E-09,   1.09E-09,   5.00E-04,   3.44E-11,   7.43E+06
     21,   4.00E-02,   1.71E-12,   4.31E-12,   1.35E-12,  -3.26E-09,   9.89E-09,   9.96E-09,   1.17E-09,   5.00E-04,   3.44E-11,   7.43E+06

