Series_1_3
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   1.21E-11,  -9.47E-12,   1.18E-11,   9.28E-13,  -3.32E-11,   7.64E-11,   4.83E-11,   2.30E-03,   7.33E-11,   1.13E+07
      2,  -5.50E-02,   1.91E-12,  -3.84E-12,  -2.10E-12,  -1.48E-11,   1.55E-11,   5.23E-11,   4.67E-11,   1.24E-02,   7.33E-11,   1.13E+07
      3,  -5.00E-02,   1.16E-12,  -8.86E-12,   1.40E-12,   1.28E-12,  -5.92E-12,   5.69E-11,   3.44E-11,   1.98E-02,   7.33E-11,   1.13E+07
      4,  -4.50E-02,   3.38E-12,  -1.43E-11,   2.64E-12,  -4.23E-11,  -3.62E-11,   3.84E-11,   1.41E-11,   1.74E-02,   7.33E-11,   1.13E+07
      5,  -4.00E-02,   1.47E-11,   1.29E-11,   1.69E-11,  -5.42E-11,  -1.08E-12,   7.36E-11,   7.67E-11,   8.30E-03,   7.33E-11,   1.13E+07
      6,  -3.50E-02,  -1.24E-12,   7.42E-12,  -4.72E-12,  -4.95E-09,   2.38E-11,   9.57E-11,   4.89E-11,   3.25E-03,   7.33E-11,   1.13E+07
      7,  -3.00E-02,  -1.74E-12,  -5.52E-12,  -2.45E-12,  -1.01E-08,  -1.26E-11,   1.45E-10,   6.32E-11,   2.30E-03,   7.33E-11,   1.13E+07
      8,  -2.50E-02,   6.63E-12,   3.44E-11,   6.64E-12,  -1.28E-08,   1.36E-11,   2.23E-10,   4.91E-11,   1.60E-03,   7.33E-11,   1.13E+07
      9,  -2.00E-02,   1.32E-11,   1.56E-11,   1.28E-11,  -1.30E-08,   9.74E-11,   3.61E-10,   5.74E-11,   1.20E-03,   7.33E-11,   1.13E+07
     10,  -1.50E-02,   3.75E-12,   1.55E-11,   2.03E-12,  -1.31E-08,   3.46E-10,   4.91E-10,   7.35E-11,   9.50E-04,   7.33E-11,   1.13E+07
     11,  -1.00E-02,   7.06E-12,  -8.05E-12,   7.51E-12,  -1.27E-08,   6.23E-10,   8.96E-10,   9.43E-11,   8.50E-04,   7.33E-11,   1.13E+07
     12,  -5.00E-03,  -1.05E-11,   1.55E-11,  -9.90E-12,  -1.20E-08,   9.64E-10,   1.23E-09,   2.46E-11,   8.00E-04,   7.33E-11,   1.13E+07
     13,   0.00E+00,  -7.63E-12,   2.45E-11,  -7.12E-12,  -1.08E-08,   1.67E-09,   1.76E-09,   4.94E-11,   7.50E-04,   7.33E-11,   1.13E+07
     14,   5.00E-03,  -7.20E-12,  -3.42E-14,  -4.35E-12,  -9.59E-09,   2.69E-09,   2.75E-09,   2.31E-11,   7.50E-04,   7.33E-11,   1.13E+07
     15,   1.00E-02,  -8.41E-13,  -1.56E-11,  -1.29E-12,  -8.46E-09,   3.88E-09,   3.97E-09,   1.68E-11,   7.00E-04,   7.33E-11,   1.13E+07
     16,   1.50E-02,   4.11E-12,  -2.38E-11,   1.38E-12,  -7.34E-09,   5.37E-09,   5.44E-09,  -1.35E-11,   7.00E-04,   7.33E-11,   1.13E+07
     17,   2.00E-02,  -1.00E-11,   1.29E-11,  -1.04E-11,  -6.42E-09,   7.20E-09,   7.30E-09,  -8.42E-12,   6.50E-04,   7.33E-11,   1.13E+07
     18,   2.50E-02,  -7.00E-13,   2.87E-12,  -1.83E-12,  -5.41E-09,   9.43E-09,   9.55E-09,  -2.57E-11,   6.50E-04,   7.33E-11,   1.13E+07
     19,   3.00E-02,  -6.87E-12,   2.08E-11,  -6.43E-12,  -4.43E-09,   1.16E-08,   1.17E-08,  -1.09E-10,   6.50E-04,   7.33E-11,   1.13E+07
     20,   3.50E-02,  -1.36E-11,  -6.40E-12,  -1.40E-11,  -3.61E-09,   1.25E-08,   1.26E-08,  -1.20E-10,   6.50E-04,   7.33E-11,   1.13E+07
     21,   4.00E-02,   2.34E-12,  -1.01E-11,   1.09E-12,  -2.95E-09,   1.30E-08,   1.30E-08,  -5.03E-11,   6.00E-04,   7.33E-11,   1.13E+07

