Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -5.23E-13,   3.44E-13,  -5.80E-13,   2.56E-12,  -4.33E-12,   3.56E-11,   3.19E-11,   1.32E-02,   3.72E-11,   6.58E+06
      2,  -5.50E-02,   1.49E-13,  -4.10E-12,  -1.36E-12,  -7.81E-12,  -4.44E-13,   4.12E-11,   3.31E-11,   2.34E-02,   3.72E-11,   6.58E+06
      3,  -5.00E-02,   3.20E-12,   4.89E-12,   1.98E-12,  -1.13E-11,   8.52E-12,   5.10E-11,   4.60E-11,   8.00E-04,   3.72E-11,   6.58E+06
      4,  -4.50E-02,  -5.03E-13,   8.74E-12,  -2.89E-13,  -2.84E-11,   4.56E-11,   7.97E-11,   4.60E-11,   1.60E-03,   3.72E-11,   6.58E+06
      5,  -4.00E-02,  -4.61E-12,  -2.25E-12,  -2.71E-12,  -1.49E-10,   4.78E-11,   9.88E-11,   3.82E-11,   2.55E-03,   3.72E-11,   6.58E+06
      6,  -3.50E-02,   4.35E-12,   1.77E-12,   4.55E-12,  -1.12E-08,   1.49E-10,   3.34E-10,   7.62E-11,   2.10E-03,   3.72E-11,   6.58E+06
      7,  -3.00E-02,  -3.36E-12,   3.23E-13,  -3.57E-12,  -1.20E-08,   2.36E-10,   3.84E-10,   1.04E-10,   1.30E-03,   3.72E-11,   6.58E+06
      8,  -2.50E-02,  -1.17E-14,   7.78E-12,   1.16E-12,  -1.29E-08,   3.03E-10,   5.38E-10,   1.21E-10,   1.05E-03,   3.72E-11,   6.58E+06
      9,  -2.00E-02,  -1.35E-13,  -4.47E-12,  -7.56E-13,  -1.40E-08,   4.69E-10,   6.08E-10,   1.84E-10,   8.50E-04,   3.72E-11,   6.58E+06
     10,  -1.50E-02,  -1.51E-12,  -1.77E-12,  -2.12E-12,  -1.49E-08,   8.35E-10,   8.84E-10,   2.28E-10,   7.00E-04,   3.72E-11,   6.58E+06
     11,  -1.00E-02,  -2.22E-14,   2.47E-12,  -5.47E-13,  -1.42E-08,   1.54E-09,   1.60E-09,   2.81E-10,   6.50E-04,   3.72E-11,   6.58E+06
     12,  -5.00E-03,   2.43E-12,   2.05E-12,   1.59E-12,  -1.34E-08,   2.51E-09,   2.62E-09,   3.17E-10,   6.00E-04,   3.72E-11,   6.58E+06
     13,   0.00E+00,   2.25E-12,   4.88E-12,   2.58E-12,  -1.24E-08,   3.85E-09,   3.94E-09,   3.61E-10,   6.00E-04,   3.72E-11,   6.58E+06
     14,   5.00E-03,   2.83E-13,   3.61E-12,   6.42E-13,  -1.16E-08,   5.50E-09,   5.57E-09,   4.08E-10,   5.50E-04,   3.72E-11,   6.58E+06
     15,   1.00E-02,  -5.66E-13,  -9.59E-13,  -1.44E-12,  -1.05E-08,   7.37E-09,   7.47E-09,   4.34E-10,   5.50E-04,   3.72E-11,   6.58E+06
     16,   1.50E-02,  -2.66E-12,   7.74E-12,  -1.57E-12,  -9.46E-09,   9.31E-09,   9.37E-09,   4.53E-10,   5.50E-04,   3.72E-11,   6.58E+06
     17,   2.00E-02,  -3.02E-13,   8.10E-13,   8.25E-14,  -8.46E-09,   1.12E-08,   1.12E-08,   4.58E-10,   5.50E-04,   3.72E-11,   6.58E+06
     18,   2.50E-02,  -1.16E-12,  -7.10E-12,  -2.32E-13,  -7.53E-09,   1.31E-08,   1.31E-08,   4.32E-10,   5.00E-04,   3.72E-11,   6.58E+06
     19,   3.00E-02,   1.41E-12,  -1.22E-12,   1.32E-12,  -6.47E-09,   1.45E-08,   1.46E-08,   4.43E-10,   5.00E-04,   3.72E-11,   6.58E+06
     20,   3.50E-02,   1.89E-13,   9.96E-13,   4.07E-13,  -5.56E-09,   1.53E-08,   1.54E-08,   4.55E-10,   5.00E-04,   3.72E-11,   6.58E+06
     21,   4.00E-02,  -6.35E-14,  -3.05E-12,  -4.00E-14,  -4.66E-09,   1.61E-08,   1.62E-08,   4.75E-10,   5.00E-04,   3.72E-11,   6.58E+06

