Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   2.67E-12,  -2.38E-12,   3.63E-12,  -1.83E-11,   2.56E-12,   7.50E-11,   5.49E-11,   7.00E-03,   7.82E-11,   7.18E+06
      2,  -5.50E-02,  -5.39E-13,   2.43E-12,   1.68E-12,  -1.15E-11,  -1.71E-12,   8.22E-11,   7.91E-11,   9.45E-03,   7.82E-11,   7.18E+06
      3,  -5.00E-02,  -2.91E-12,   1.17E-12,  -9.25E-13,  -8.20E-12,   6.94E-12,   6.95E-11,   5.87E-11,   1.18E-02,   7.82E-11,   7.18E+06
      4,  -4.50E-02,  -2.07E-12,   7.29E-12,  -2.12E-12,  -5.63E-11,   3.07E-11,   8.03E-11,   6.17E-11,   3.85E-03,   7.82E-11,   7.18E+06
      5,  -4.00E-02,   4.01E-12,  -4.94E-12,   2.15E-12,  -3.07E-10,   1.53E-11,   7.35E-11,   1.06E-10,   4.20E-03,   7.82E-11,   7.18E+06
      6,  -3.50E-02,   3.44E-13,   2.63E-12,  -9.29E-13,  -1.40E-08,   9.47E-11,   7.24E-10,   1.37E-10,   2.10E-03,   7.82E-11,   7.18E+06
      7,  -3.00E-02,   2.05E-12,   6.94E-12,   7.06E-13,  -1.29E-08,   1.41E-10,   8.52E-10,   1.21E-10,   1.55E-03,   7.82E-11,   7.18E+06
      8,  -2.50E-02,  -8.61E-13,  -6.40E-12,   6.31E-13,  -1.27E-08,   2.03E-10,   1.14E-09,   1.48E-10,   1.30E-03,   7.82E-11,   7.18E+06
      9,  -2.00E-02,   2.17E-12,  -1.07E-11,   1.90E-12,  -1.30E-08,   3.82E-10,   1.48E-09,   2.30E-10,   1.10E-03,   7.82E-11,   7.18E+06
     10,  -1.50E-02,   1.46E-12,  -1.03E-11,   2.10E-13,  -1.22E-08,   7.71E-10,   1.92E-09,   2.76E-10,   1.05E-03,   7.82E-11,   7.18E+06
     11,  -1.00E-02,   6.86E-13,   3.08E-12,  -2.41E-13,  -1.19E-08,   1.35E-09,   2.35E-09,   4.03E-10,   9.50E-04,   7.82E-11,   7.18E+06
     12,  -5.00E-03,   1.96E-13,  -8.16E-12,   1.33E-12,  -1.13E-08,   2.08E-09,   3.04E-09,   6.00E-10,   9.00E-04,   7.82E-11,   7.18E+06
     13,   0.00E+00,  -3.19E-12,  -4.89E-12,  -1.56E-12,  -1.09E-08,   2.95E-09,   3.75E-09,   7.69E-10,   8.50E-04,   7.82E-11,   7.18E+06
     14,   5.00E-03,  -2.29E-12,  -8.60E-14,  -2.96E-12,  -9.88E-09,   3.75E-09,   4.48E-09,   1.02E-09,   8.00E-04,   7.82E-11,   7.18E+06
     15,   1.00E-02,   3.79E-12,  -7.95E-12,   2.12E-12,  -9.48E-09,   4.79E-09,   5.37E-09,   1.28E-09,   7.50E-04,   7.82E-11,   7.18E+06
     16,   1.50E-02,   7.59E-13,   1.94E-12,   4.30E-13,  -9.11E-09,   5.84E-09,   6.27E-09,   1.50E-09,   7.00E-04,   7.82E-11,   7.18E+06
     17,   2.00E-02,   4.87E-12,  -1.40E-12,   2.74E-12,  -8.49E-09,   6.88E-09,   7.24E-09,   1.71E-09,   7.00E-04,   7.82E-11,   7.18E+06
     18,   2.50E-02,  -2.92E-12,   4.24E-12,  -9.53E-13,  -8.19E-09,   8.16E-09,   8.30E-09,   1.93E-09,   6.50E-04,   7.82E-11,   7.18E+06
     19,   3.00E-02,  -2.38E-12,   2.22E-12,  -1.58E-12,  -7.41E-09,   8.76E-09,   8.97E-09,   2.14E-09,   6.50E-04,   7.82E-11,   7.18E+06
     20,   3.50E-02,   3.29E-12,  -7.45E-12,   2.50E-12,  -7.18E-09,   1.03E-08,   1.05E-08,   2.44E-09,   6.00E-04,   7.82E-11,   7.18E+06
     21,   4.00E-02,  -3.16E-13,   2.36E-12,  -9.90E-14,  -6.54E-09,   1.08E-08,   1.10E-08,   2.59E-09,   6.00E-04,   7.82E-11,   7.18E+06

