Series_1_3
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   2.01E-13,   6.87E-12,   1.21E-13,  -1.69E-11,   4.33E-12,   3.50E-11,   4.19E-11,   1.54E-02,   2.06E-11,   1.67E+07
      2,  -5.50E-02,  -5.59E-12,  -2.29E-12,  -4.97E-12,  -9.62E-12,   8.22E-12,   3.55E-11,   3.11E-11,   1.40E-02,   2.06E-11,   1.67E+07
      3,  -5.00E-02,  -6.06E-12,   3.52E-12,  -3.60E-12,  -1.66E-11,   1.92E-11,   5.73E-11,   4.61E-11,   1.00E-03,   2.06E-11,   1.67E+07
      4,  -4.50E-02,  -2.45E-12,  -1.87E-13,  -3.33E-12,  -1.26E-10,   1.62E-11,   4.64E-11,   5.70E-11,   2.10E-03,   2.06E-11,   1.67E+07
      5,  -4.00E-02,  -1.06E-12,   8.93E-12,  -4.12E-14,  -8.50E-09,   8.59E-11,   1.87E-10,   7.28E-11,   1.95E-03,   2.06E-11,   1.67E+07
      6,  -3.50E-02,  -1.94E-13,  -4.75E-12,  -1.06E-13,  -8.73E-09,   1.06E-10,   2.10E-10,   9.96E-11,   1.30E-03,   2.06E-11,   1.67E+07
      7,  -3.00E-02,   1.87E-12,   7.63E-13,  -9.50E-14,  -1.05E-08,   9.19E-11,   1.65E-10,   9.59E-11,   1.00E-03,   2.06E-11,   1.67E+07
      8,  -2.50E-02,  -2.54E-12,   9.07E-12,  -3.25E-12,  -1.19E-08,   1.08E-10,   1.72E-10,   1.24E-10,   8.00E-04,   2.06E-11,   1.67E+07
      9,  -2.00E-02,   2.31E-12,  -6.94E-12,   4.39E-12,  -1.00E-08,   2.46E-10,   2.91E-10,   1.80E-10,   7.50E-04,   2.06E-11,   1.67E+07
     10,  -1.50E-02,  -3.50E-12,  -5.29E-12,  -3.77E-12,  -6.85E-09,   3.71E-10,   5.13E-10,   1.68E-10,   7.50E-04,   2.06E-11,   1.67E+07
     11,  -1.00E-02,   6.96E-13,  -4.18E-13,   1.05E-12,  -9.28E-09,   8.23E-10,   2.00E-09,   2.20E-10,   6.00E-04,   2.06E-11,   1.67E+07
     12,  -5.00E-03,   1.32E-12,   2.39E-12,   2.14E-12,  -6.39E-09,   1.07E-09,   1.12E-09,   2.61E-10,   6.50E-04,   2.06E-11,   1.67E+07
     13,   0.00E+00,   1.49E-12,   6.91E-12,  -1.44E-13,  -6.60E-09,   1.76E-09,   1.81E-09,   2.82E-10,   6.00E-04,   2.06E-11,   1.67E+07
     14,   5.00E-03,   2.80E-12,  -4.79E-12,   2.90E-12,  -6.03E-09,   2.34E-09,   2.37E-09,   3.23E-10,   6.00E-04,   2.06E-11,   1.67E+07
     15,   1.00E-02,   2.61E-12,   2.88E-12,   1.88E-12,  -6.11E-09,   3.54E-09,   3.60E-09,   3.38E-10,   5.50E-04,   2.06E-11,   1.67E+07
     16,   1.50E-02,  -2.25E-13,   6.56E-12,  -1.41E-12,  -5.86E-09,   4.84E-09,   4.90E-09,   3.94E-10,   5.50E-04,   2.06E-11,   1.67E+07
     17,   2.00E-02,   1.38E-12,  -1.01E-11,   1.10E-12,  -5.23E-09,   5.83E-09,   5.88E-09,   5.09E-10,   6.00E-04,   2.06E-11,   1.67E+07
     18,   2.50E-02,   9.83E-13,  -1.04E-12,   1.76E-12,  -4.70E-09,   7.22E-09,   7.28E-09,   5.02E-10,   5.50E-04,   2.06E-11,   1.67E+07
     19,   3.00E-02,   1.50E-12,  -7.72E-12,  -7.19E-13,  -4.22E-09,   9.76E-09,   9.89E-09,   5.41E-10,   5.50E-04,   2.06E-11,   1.67E+07
     20,   3.50E-02,   3.72E-12,  -1.14E-11,   4.36E-12,  -3.49E-09,   9.91E-09,   9.98E-09,   5.97E-10,   6.00E-04,   2.06E-11,   1.67E+07
     21,   4.00E-02,  -5.25E-13,   1.89E-12,   1.06E-13,  -2.96E-09,   1.25E-08,   1.25E-08,   6.33E-10,   6.00E-04,   2.06E-11,   1.67E+07

