Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -1.01E-12,  -1.21E-11,  -2.15E-12,  -1.24E-11,  -9.57E-12,   2.51E-11,   2.82E-11,   1.24E-02,   2.03E-11,   7.56E+06
      2,  -5.50E-02,  -4.68E-13,   5.74E-12,  -9.45E-13,  -1.13E-11,  -1.59E-11,   4.14E-11,   2.39E-11,   4.70E-03,   2.03E-11,   7.56E+06
      3,  -5.00E-02,  -3.39E-12,  -3.05E-11,  -4.83E-12,  -1.65E-11,   3.16E-12,   3.48E-11,   1.92E-11,   2.35E-03,   2.03E-11,   7.56E+06
      4,  -4.50E-02,  -2.72E-12,   1.81E-11,  -1.72E-12,  -3.85E-11,   2.40E-11,   6.48E-11,   1.73E-11,   3.05E-03,   2.03E-11,   7.56E+06
      5,  -4.00E-02,  -3.07E-12,  -1.73E-11,  -4.76E-12,  -8.35E-09,   6.74E-11,   1.69E-10,   3.06E-11,   5.40E-03,   2.03E-11,   7.56E+06
      6,  -3.50E-02,   7.66E-12,   8.74E-12,   6.71E-12,  -9.36E-09,   1.16E-10,   2.12E-10,   8.14E-11,   2.25E-03,   2.03E-11,   7.56E+06
      7,  -3.00E-02,   1.50E-12,   1.18E-12,  -1.35E-12,  -9.32E-09,   1.41E-10,   2.42E-10,   9.47E-11,   1.50E-03,   2.03E-11,   7.56E+06
      8,  -2.50E-02,   4.82E-12,  -1.42E-12,   4.62E-12,  -9.65E-09,   1.74E-10,   2.81E-10,   1.30E-10,   1.20E-03,   2.03E-11,   7.56E+06
      9,  -2.00E-02,  -8.36E-13,  -2.05E-11,  -3.27E-12,  -9.78E-09,   2.33E-10,   3.06E-10,   1.54E-10,   1.00E-03,   2.03E-11,   7.56E+06
     10,  -1.50E-02,  -2.34E-12,  -9.23E-12,  -1.14E-12,  -9.46E-09,   4.44E-10,   4.85E-10,   2.03E-10,   9.00E-04,   2.03E-11,   7.56E+06
     11,  -1.00E-02,  -8.67E-13,  -2.02E-12,  -1.44E-12,  -9.03E-09,   7.50E-10,   7.94E-10,   2.25E-10,   8.00E-04,   2.03E-11,   7.56E+06
     12,  -5.00E-03,  -3.86E-12,  -5.96E-12,  -3.21E-12,  -8.27E-09,   1.28E-09,   1.32E-09,   2.55E-10,   7.50E-04,   2.03E-11,   7.56E+06
     13,   0.00E+00,   1.13E-11,  -9.74E-12,   1.15E-11,  -7.61E-09,   1.84E-09,   1.88E-09,   3.35E-10,   7.00E-04,   2.03E-11,   7.56E+06
     14,   5.00E-03,  -2.54E-12,  -1.36E-11,  -3.84E-12,  -6.97E-09,   2.62E-09,   2.69E-09,   3.99E-10,   6.50E-04,   2.03E-11,   7.56E+06
     15,   1.00E-02,  -7.81E-12,   4.26E-12,  -6.92E-12,  -6.36E-09,   3.53E-09,   3.59E-09,   4.33E-10,   6.00E-04,   2.03E-11,   7.56E+06
     16,   1.50E-02,   1.97E-12,  -2.08E-11,   4.01E-13,  -5.78E-09,   4.52E-09,   4.57E-09,   4.51E-10,   5.50E-04,   2.03E-11,   7.56E+06
     17,   2.00E-02,   4.08E-12,  -5.20E-12,   3.23E-12,  -5.16E-09,   5.65E-09,   5.69E-09,   5.37E-10,   5.50E-04,   2.03E-11,   7.56E+06
     18,   2.50E-02,   1.60E-14,   1.04E-11,   9.24E-13,  -4.60E-09,   6.67E-09,   6.75E-09,   5.77E-10,   5.00E-04,   2.03E-11,   7.56E+06
     19,   3.00E-02,  -5.34E-12,  -1.12E-11,  -4.23E-12,  -3.97E-09,   7.69E-09,   7.73E-09,   6.14E-10,   5.00E-04,   2.03E-11,   7.56E+06
     20,   3.50E-02,   1.34E-12,   6.56E-12,   3.75E-12,  -3.31E-09,   8.80E-09,   8.86E-09,   6.52E-10,   5.00E-04,   2.03E-11,   7.56E+06
     21,   4.00E-02,   2.09E-12,  -6.23E-12,   1.86E-13,  -2.88E-09,   9.70E-09,   9.75E-09,   7.37E-10,   4.50E-04,   2.03E-11,   7.56E+06

