Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   2.74E-12,  -9.61E-12,   2.44E-12,  -1.13E-11,   3.78E-12,   3.61E-11,   3.11E-11,   8.40E-03,   2.80E-11,   7.23E+06
      2,  -5.50E-02,  -1.31E-12,   1.39E-11,  -2.28E-12,  -8.25E-12,   4.54E-12,   4.24E-11,   3.81E-11,   6.20E-03,   2.80E-11,   7.23E+06
      3,  -5.00E-02,   4.69E-12,  -3.97E-12,   6.49E-12,  -1.55E-11,   8.19E-12,   3.66E-11,   4.22E-11,   2.50E-03,   2.80E-11,   7.23E+06
      4,  -4.50E-02,   6.75E-12,  -5.39E-12,   5.69E-12,  -6.09E-11,   5.63E-12,   3.97E-11,   5.47E-11,   3.10E-03,   2.80E-11,   7.23E+06
      5,  -4.00E-02,  -7.14E-12,  -4.82E-12,  -8.77E-12,  -2.95E-10,  -4.50E-12,   2.68E-11,   7.11E-11,   3.75E-03,   2.80E-11,   7.23E+06
      6,  -3.50E-02,   2.51E-12,  -2.97E-13,   4.62E-12,  -1.03E-08,   7.83E-11,   2.03E-10,   9.21E-11,   1.95E-03,   2.80E-11,   7.23E+06
      7,  -3.00E-02,  -4.31E-13,   5.65E-12,  -1.62E-12,  -1.05E-08,   1.27E-10,   1.90E-10,   1.30E-10,   1.30E-03,   2.80E-11,   7.23E+06
      8,  -2.50E-02,   5.15E-13,   4.94E-12,  -5.00E-13,  -1.10E-08,   1.76E-10,   2.13E-10,   1.76E-10,   1.00E-03,   2.80E-11,   7.23E+06
      9,  -2.00E-02,   2.24E-12,   5.39E-12,   2.52E-12,  -1.09E-08,   2.99E-10,   3.58E-10,   2.13E-10,   8.50E-04,   2.80E-11,   7.23E+06
     10,  -1.50E-02,   3.86E-12,  -8.12E-12,   4.78E-12,  -1.04E-08,   5.19E-10,   5.69E-10,   2.83E-10,   7.50E-04,   2.80E-11,   7.23E+06
     11,  -1.00E-02,  -2.77E-12,  -1.20E-11,  -3.37E-12,  -9.85E-09,   8.32E-10,   8.87E-10,   3.24E-10,   7.00E-04,   2.80E-11,   7.23E+06
     12,  -5.00E-03,   4.74E-12,   1.78E-11,   4.80E-12,  -9.17E-09,   1.40E-09,   1.50E-09,   4.38E-10,   6.50E-04,   2.80E-11,   7.23E+06
     13,   0.00E+00,  -2.12E-12,   3.65E-12,  -6.49E-13,  -8.54E-09,   2.28E-09,   2.37E-09,   5.22E-10,   6.00E-04,   2.80E-11,   7.23E+06
     14,   5.00E-03,  -5.98E-13,   4.84E-12,  -1.03E-12,  -7.85E-09,   3.27E-09,   3.35E-09,   6.13E-10,   5.50E-04,   2.80E-11,   7.23E+06
     15,   1.00E-02,  -5.43E-12,   7.09E-12,  -5.03E-12,  -7.10E-09,   4.53E-09,   4.58E-09,   7.65E-10,   5.50E-04,   2.80E-11,   7.23E+06
     16,   1.50E-02,   2.97E-12,   7.46E-12,   1.58E-12,  -6.43E-09,   5.85E-09,   5.89E-09,   8.93E-10,   5.50E-04,   2.80E-11,   7.23E+06
     17,   2.00E-02,  -4.13E-12,   7.83E-12,  -5.72E-12,  -5.87E-09,   7.23E-09,   7.29E-09,   1.02E-09,   5.00E-04,   2.80E-11,   7.23E+06
     18,   2.50E-02,  -3.90E-12,   3.42E-11,  -1.83E-12,  -5.17E-09,   8.45E-09,   8.51E-09,   1.10E-09,   5.00E-04,   2.80E-11,   7.23E+06
     19,   3.00E-02,  -1.26E-12,  -1.81E-12,  -1.39E-12,  -4.62E-09,   9.79E-09,   9.88E-09,   1.20E-09,   5.00E-04,   2.80E-11,   7.23E+06
     20,   3.50E-02,   1.96E-12,   1.91E-11,   1.53E-12,  -4.07E-09,   1.11E-08,   1.11E-08,   1.25E-09,   4.50E-04,   2.80E-11,   7.23E+06
     21,   4.00E-02,  -1.33E-12,   1.63E-11,  -3.08E-12,  -3.52E-09,   1.20E-08,   1.21E-08,   1.32E-09,   4.50E-04,   2.80E-11,   7.23E+06

