Series_1_3
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   1.37E-12,   1.44E-12,   2.45E-13,  -2.99E-12,  -9.25E-14,   3.27E-11,   2.27E-11,   1.86E-02,   5.35E-11,   1.17E+07
      2,  -5.50E-02,   2.41E-12,  -3.55E-12,   1.77E-12,  -3.69E-12,  -1.35E-12,   3.60E-11,   3.79E-11,   5.00E-04,   5.35E-11,   1.17E+07
      3,  -5.00E-02,   1.02E-12,   1.27E-12,   1.21E-12,  -8.75E-12,   3.33E-12,   2.54E-11,   2.98E-11,   7.45E-03,   5.35E-11,   1.17E+07
      4,  -4.50E-02,  -3.94E-13,   1.77E-12,  -7.08E-13,  -5.50E-11,  -9.81E-12,   3.04E-11,   4.16E-11,   4.60E-03,   5.35E-11,   1.17E+07
      5,  -4.00E-02,   3.11E-12,   1.48E-12,   2.25E-12,  -1.25E-08,   3.70E-11,   1.45E-10,   4.85E-11,   6.00E-03,   5.35E-11,   1.17E+07
      6,  -3.50E-02,  -2.40E-12,   3.60E-12,  -2.72E-12,  -1.18E-08,   5.92E-11,   1.77E-10,   7.59E-11,   2.75E-03,   5.35E-11,   1.17E+07
      7,  -3.00E-02,   6.94E-13,   3.08E-12,   8.75E-13,  -1.09E-08,   5.61E-11,   1.79E-10,   7.12E-11,   1.75E-03,   5.35E-11,   1.17E+07
      8,  -2.50E-02,   2.05E-13,  -3.76E-12,  -4.82E-13,  -1.09E-08,   1.66E-10,   2.30E-10,   8.52E-11,   1.35E-03,   5.35E-11,   1.17E+07
      9,  -2.00E-02,   1.39E-13,  -3.58E-12,   8.64E-13,  -1.10E-08,   4.10E-10,   4.39E-10,   1.40E-10,   1.15E-03,   5.35E-11,   1.17E+07
     10,  -1.50E-02,   5.01E-13,  -5.30E-12,   5.62E-14,  -1.10E-08,   7.77E-10,   8.42E-10,   1.97E-10,   1.00E-03,   5.35E-11,   1.17E+07
     11,  -1.00E-02,   3.36E-13,  -6.64E-13,   1.17E-12,  -1.07E-08,   1.47E-09,   1.51E-09,   2.63E-10,   9.50E-04,   5.35E-11,   1.17E+07
     12,  -5.00E-03,   1.44E-12,   2.12E-12,   1.29E-12,  -1.02E-08,   2.36E-09,   2.42E-09,   3.11E-10,   9.00E-04,   5.35E-11,   1.17E+07
     13,   0.00E+00,   1.67E-12,   2.24E-12,   1.13E-12,  -9.55E-09,   3.41E-09,   3.45E-09,   3.82E-10,   8.50E-04,   5.35E-11,   1.17E+07
     14,   5.00E-03,   1.15E-12,   7.05E-12,   8.93E-13,  -8.99E-09,   4.43E-09,   4.47E-09,   4.37E-10,   8.00E-04,   5.35E-11,   1.17E+07
     15,   1.00E-02,   2.68E-12,   4.74E-12,   2.20E-12,  -8.23E-09,   5.53E-09,   5.60E-09,   4.81E-10,   8.00E-04,   5.35E-11,   1.17E+07
     16,   1.50E-02,  -2.15E-12,   3.77E-12,  -2.66E-12,  -7.60E-09,   6.64E-09,   6.70E-09,   5.32E-10,   7.50E-04,   5.35E-11,   1.17E+07
     17,   2.00E-02,  -1.23E-12,   2.05E-12,  -5.65E-13,  -6.95E-09,   7.80E-09,   7.86E-09,   5.62E-10,   7.50E-04,   5.35E-11,   1.17E+07
     18,   2.50E-02,  -4.98E-13,  -1.83E-12,  -9.16E-13,  -6.31E-09,   9.01E-09,   9.07E-09,   5.87E-10,   7.00E-04,   5.35E-11,   1.17E+07
     19,   3.00E-02,  -9.40E-14,   2.38E-12,  -1.18E-13,  -5.64E-09,   1.01E-08,   1.02E-08,   6.25E-10,   7.00E-04,   5.35E-11,   1.17E+07
     20,   3.50E-02,  -2.52E-13,   4.42E-12,  -4.87E-14,  -5.11E-09,   1.13E-08,   1.14E-08,   6.80E-10,   6.50E-04,   5.35E-11,   1.17E+07
     21,   4.00E-02,   1.28E-12,   5.43E-12,   1.46E-12,  -4.50E-09,   1.24E-08,   1.26E-08,   7.47E-10,   6.50E-04,   5.35E-11,   1.17E+07

