Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -1.30E-12,  -5.08E-12,  -1.66E-12,  -1.33E-11,  -2.57E-11,   5.48E-11,   3.54E-11,   6.45E-03,   4.98E-11,   5.65E+06
      2,  -5.50E-02,  -6.42E-13,  -1.13E-11,   7.64E-13,  -3.27E-11,  -2.00E-11,   3.95E-11,   1.57E-11,   9.70E-03,   4.98E-11,   5.65E+06
      3,  -5.00E-02,  -8.31E-12,  -1.93E-11,  -8.02E-12,  -3.04E-11,   7.36E-12,   5.36E-11,   5.04E-11,   9.50E-04,   4.98E-11,   5.65E+06
      4,  -4.50E-02,  -6.14E-13,   1.48E-11,  -3.91E-13,  -5.64E-11,   1.80E-11,   7.39E-11,   5.83E-11,   4.35E-03,   4.98E-11,   5.65E+06
      5,  -4.00E-02,  -6.15E-12,   6.72E-12,  -7.32E-12,  -2.10E-10,   9.38E-11,   1.32E-10,   6.35E-11,   2.00E-03,   4.98E-11,   5.65E+06
      6,  -3.50E-02,   1.50E-11,   1.87E-12,   1.43E-11,  -5.00E-09,   1.23E-10,   2.05E-08,   7.49E-11,   1.85E-03,   4.98E-11,   5.65E+06
      7,  -3.00E-02,   1.84E-12,  -1.26E-11,   4.85E-13,  -5.17E-09,   1.40E-10,   2.04E-08,   7.78E-11,   1.45E-03,   4.98E-11,   5.65E+06
      8,  -2.50E-02,  -2.28E-12,  -5.22E-13,  -1.33E-12,  -6.75E-09,   1.88E-10,   2.05E-08,   1.21E-10,   8.50E-04,   4.98E-11,   5.65E+06
      9,  -2.00E-02,  -1.16E-12,  -1.08E-11,  -5.98E-13,  -7.64E-09,   4.03E-10,   2.06E-08,   1.48E-10,   9.50E-04,   4.98E-11,   5.65E+06
     10,  -1.50E-02,   5.30E-15,   7.86E-13,   3.36E-13,  -1.11E-08,   9.01E-10,   2.06E-08,   1.88E-10,   8.00E-04,   4.98E-11,   5.65E+06
     11,  -1.00E-02,  -2.36E-12,   1.10E-11,  -9.13E-14,  -1.52E-08,   1.65E-09,   2.34E-09,   2.32E-10,   6.50E-04,   4.98E-11,   5.65E+06
     12,  -5.00E-03,   6.55E-12,   1.26E-11,   8.27E-12,  -1.45E-08,   2.79E-09,   3.16E-09,   2.75E-10,   6.00E-04,   4.98E-11,   5.65E+06
     13,   0.00E+00,  -3.67E-12,  -6.86E-12,  -5.71E-12,  -1.37E-08,   4.34E-09,   4.38E-09,   3.24E-10,   6.00E-04,   4.98E-11,   5.65E+06
     14,   5.00E-03,  -3.42E-12,   4.60E-12,  -5.46E-13,  -1.29E-08,   6.14E-09,   6.20E-09,   3.95E-10,   5.50E-04,   4.98E-11,   5.65E+06
     15,   1.00E-02,  -5.53E-12,  -7.29E-12,  -5.85E-12,  -1.18E-08,   8.07E-09,   8.14E-09,   4.32E-10,   5.50E-04,   4.98E-11,   5.65E+06
     16,   1.50E-02,   3.38E-12,  -7.72E-12,   2.91E-12,  -1.10E-08,   1.02E-08,   1.03E-08,   5.00E-10,   5.00E-04,   4.98E-11,   5.65E+06
     17,   2.00E-02,  -9.99E-12,   1.01E-11,  -1.01E-11,  -9.97E-09,   1.23E-08,   1.24E-08,   5.21E-10,   5.00E-04,   4.98E-11,   5.65E+06
     18,   2.50E-02,   3.23E-13,  -5.31E-12,   1.96E-13,  -8.81E-09,   1.41E-08,   1.41E-08,   5.12E-10,   5.00E-04,   4.98E-11,   5.65E+06
     19,   3.00E-02,   2.83E-12,  -5.00E-12,   3.44E-12,  -7.68E-09,   1.49E-08,   1.49E-08,   5.44E-10,   5.00E-04,   4.98E-11,   5.65E+06
     20,   3.50E-02,  -1.07E-11,  -3.42E-12,  -1.11E-11,  -6.81E-09,   1.56E-08,   1.57E-08,   5.50E-10,   4.50E-04,   4.98E-11,   5.65E+06
     21,   4.00E-02,   1.45E-12,  -2.11E-12,   1.61E-12,  -5.85E-09,   1.65E-08,   1.65E-08,   6.19E-10,   4.50E-04,   4.98E-11,   5.65E+06

