Series_1_3
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   3.01E-12,   1.66E-12,   3.73E-12,  -4.29E-12,  -8.37E-12,   9.11E-11,   7.56E-11,   1.35E-03,   9.00E-11,   6.94E+06
      2,  -5.50E-02,   6.37E-13,   5.65E-12,   2.17E-14,  -2.45E-12,   1.57E-12,   9.34E-11,   7.18E-11,   1.69E-02,   9.00E-11,   6.94E+06
      3,  -5.00E-02,  -8.40E-13,   8.55E-12,   4.77E-13,  -2.23E-11,   6.39E-12,   9.31E-11,   8.07E-11,   9.60E-03,   9.00E-11,   6.94E+06
      4,  -4.50E-02,  -1.12E-12,  -8.89E-13,   1.24E-14,  -6.85E-11,   2.24E-11,   1.22E-10,   7.06E-11,   5.70E-03,   9.00E-11,   6.94E+06
      5,  -4.00E-02,  -1.07E-13,   1.24E-12,   6.84E-13,  -2.53E-08,   1.11E-10,   2.33E-10,   1.12E-10,   3.75E-03,   9.00E-11,   6.94E+06
      6,  -3.50E-02,  -4.37E-13,  -7.12E-12,   9.56E-13,  -2.31E-08,   1.85E-10,   2.63E-10,   1.41E-10,   2.15E-03,   9.00E-11,   6.94E+06
      7,  -3.00E-02,   2.37E-12,   3.66E-13,   2.96E-12,  -2.22E-08,   2.29E-10,   3.32E-10,   1.64E-10,   1.55E-03,   9.00E-11,   6.94E+06
      8,  -2.50E-02,   4.07E-12,  -5.39E-12,   2.06E-12,  -2.28E-08,   3.50E-10,   4.40E-10,   2.09E-10,   1.25E-03,   9.00E-11,   6.94E+06
      9,  -2.00E-02,   7.51E-13,   5.39E-12,  -2.91E-13,  -2.30E-08,   5.67E-10,   6.44E-10,   2.26E-10,   1.05E-03,   9.00E-11,   6.94E+06
     10,  -1.50E-02,   1.47E-12,   1.72E-11,   8.67E-14,  -2.26E-08,   9.57E-10,   1.03E-09,   2.84E-10,   9.00E-04,   9.00E-11,   6.94E+06
     11,  -1.00E-02,  -3.93E-12,  -2.55E-12,  -4.18E-13,  -2.17E-08,   1.50E-09,   1.59E-09,   3.39E-10,   8.50E-04,   9.00E-11,   6.94E+06
     12,  -5.00E-03,  -1.55E-12,   1.55E-12,  -1.03E-12,  -2.04E-08,   2.44E-09,   2.54E-09,   3.84E-10,   8.00E-04,   9.00E-11,   6.94E+06
     13,   0.00E+00,  -2.10E-12,   6.48E-12,  -6.96E-13,  -1.91E-08,   3.54E-09,   3.60E-09,   4.45E-10,   7.50E-04,   9.00E-11,   6.94E+06
     14,   5.00E-03,  -6.31E-13,   1.59E-12,   1.83E-12,  -1.80E-08,   4.88E-09,   5.00E-09,   5.15E-10,   7.00E-04,   9.00E-11,   6.94E+06
     15,   1.00E-02,  -2.24E-12,  -1.25E-12,  -2.46E-12,  -1.67E-08,   6.34E-09,   6.49E-09,   5.46E-10,   6.50E-04,   9.00E-11,   6.94E+06
     16,   1.50E-02,   2.30E-12,  -2.03E-12,   2.40E-12,  -1.53E-08,   8.18E-09,   8.29E-09,   5.71E-10,   6.50E-04,   9.00E-11,   6.94E+06
     17,   2.00E-02,  -1.15E-12,   8.63E-12,   4.15E-13,  -1.41E-08,   1.01E-08,   1.02E-08,   6.10E-10,   6.00E-04,   9.00E-11,   6.94E+06
     18,   2.50E-02,  -5.69E-12,   2.98E-12,  -5.67E-12,  -1.27E-08,   1.19E-08,   1.20E-08,   6.93E-10,   6.00E-04,   9.00E-11,   6.94E+06
     19,   3.00E-02,   2.29E-12,   4.18E-12,   3.89E-12,  -1.14E-08,   1.37E-08,   1.39E-08,   7.41E-10,   6.00E-04,   9.00E-11,   6.94E+06
     20,   3.50E-02,   1.37E-13,   6.11E-13,   1.30E-13,  -1.04E-08,   1.55E-08,   1.57E-08,   7.62E-10,   5.50E-04,   9.00E-11,   6.94E+06
     21,   4.00E-02,   4.26E-12,  -2.14E-12,   6.55E-12,  -9.16E-09,   1.75E-08,   1.77E-08,   7.93E-10,   5.50E-04,   9.00E-11,   6.94E+06

