Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   3.73E-11,   3.71E-11,   3.67E-11,   2.14E-11,   3.67E-11,   7.95E-11,   5.76E-11,   9.65E-03,   4.20E-11,   9.02E+06
      2,  -5.50E-02,   4.01E-13,   4.72E-12,   7.39E-13,  -1.94E-13,   5.16E-12,   3.71E-11,   3.33E-11,   2.41E-02,   4.20E-11,   9.02E+06
      3,  -5.00E-02,  -1.49E-12,   1.22E-12,  -4.15E-13,  -1.27E-11,  -4.36E-12,   3.24E-11,   3.86E-11,   2.28E-02,   4.20E-11,   9.02E+06
      4,  -4.50E-02,   4.49E-13,   2.39E-12,   1.50E-14,  -2.96E-11,   5.80E-12,   4.06E-11,   4.25E-11,   3.60E-03,   4.20E-11,   9.02E+06
      5,  -4.00E-02,   6.98E-13,   7.64E-12,  -1.99E-13,  -1.09E-10,   1.53E-11,   4.58E-11,   4.58E-11,   2.25E-03,   4.20E-11,   9.02E+06
      6,  -3.50E-02,   1.07E-12,  -9.97E-12,   1.44E-12,  -1.12E-08,   6.59E-11,   3.82E-10,   6.52E-11,   3.10E-03,   4.20E-11,   9.02E+06
      7,  -3.00E-02,   2.53E-12,  -3.67E-12,   2.01E-12,  -1.17E-08,   1.08E-10,   4.17E-10,   9.96E-11,   1.40E-03,   4.20E-11,   9.02E+06
      8,  -2.50E-02,  -7.36E-13,   4.81E-12,  -7.80E-13,  -1.33E-08,   2.01E-10,   5.09E-10,   1.32E-10,   1.00E-03,   4.20E-11,   9.02E+06
      9,  -2.00E-02,   2.35E-13,   2.15E-12,  -3.76E-13,  -1.34E-08,   3.79E-10,   6.30E-10,   1.92E-10,   8.00E-04,   4.20E-11,   9.02E+06
     10,  -1.50E-02,  -7.30E-11,   3.92E-11,  -5.61E-11,  -1.29E-08,   7.85E-10,   9.50E-10,   3.29E-10,   7.00E-04,   4.20E-11,   9.02E+06
     11,  -1.00E-02,   1.74E-12,   9.40E-13,   1.78E-12,  -1.25E-08,   1.19E-09,   1.35E-09,   3.21E-10,   6.50E-04,   4.20E-11,   9.02E+06
     12,  -5.00E-03,   1.11E-12,   4.56E-12,   3.29E-13,  -1.19E-08,   1.79E-09,   1.87E-09,   4.08E-10,   6.00E-04,   4.20E-11,   9.02E+06
     13,   0.00E+00,   2.25E-12,   5.24E-12,   3.19E-12,  -1.12E-08,   2.82E-09,   2.87E-09,   5.27E-10,   6.00E-04,   4.20E-11,   9.02E+06
     14,   5.00E-03,  -4.34E-13,   8.05E-13,  -2.42E-13,  -1.03E-08,   4.12E-09,   4.20E-09,   6.23E-10,   5.50E-04,   4.20E-11,   9.02E+06
     15,   1.00E-02,   5.27E-13,   4.68E-12,   6.00E-13,  -9.44E-09,   5.82E-09,   5.89E-09,   7.38E-10,   5.50E-04,   4.20E-11,   9.02E+06
     16,   1.50E-02,   9.54E-13,   3.67E-12,   6.66E-13,  -8.47E-09,   7.83E-09,   7.90E-09,   8.61E-10,   5.50E-04,   4.20E-11,   9.02E+06
     17,   2.00E-02,  -9.37E-13,   2.37E-12,  -1.37E-12,  -7.74E-09,   9.80E-09,   9.84E-09,   9.44E-10,   5.00E-04,   4.20E-11,   9.02E+06
     18,   2.50E-02,   3.54E-11,   4.57E-11,   3.46E-11,  -6.88E-09,   1.20E-08,   1.21E-08,   1.02E-09,   5.00E-04,   4.20E-11,   9.02E+06
     19,   3.00E-02,  -1.55E-12,   3.95E-12,  -2.65E-12,  -6.14E-09,   1.40E-08,   1.41E-08,   1.03E-09,   5.00E-04,   4.20E-11,   9.02E+06
     20,   3.50E-02,  -5.90E-12,  -2.67E-14,  -5.04E-12,  -5.45E-09,   1.47E-08,   1.47E-08,   1.10E-09,   5.00E-04,   4.20E-11,   9.02E+06
     21,   4.00E-02,   1.79E-12,   5.65E-12,   1.94E-12,  -4.76E-09,   1.53E-08,   1.53E-08,   1.15E-09,   5.00E-04,   4.20E-11,   9.02E+06

