Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -7.32E-13,   1.15E-12,  -1.70E-12,  -8.76E-12,   5.57E-13,   6.95E-11,   6.80E-11,   1.99E-02,   3.72E-11,   6.27E+06
      2,  -5.50E-02,  -1.09E-12,   6.69E-13,  -6.62E-13,  -2.12E-12,   5.85E-12,   8.30E-11,   6.13E-11,   2.75E-03,   3.72E-11,   6.27E+06
      3,  -5.00E-02,  -1.48E-12,  -2.25E-12,  -6.78E-13,  -6.91E-12,   1.62E-11,   8.39E-11,   6.38E-11,   3.50E-03,   3.72E-11,   6.27E+06
      4,  -4.50E-02,  -3.10E-12,  -6.53E-13,  -2.94E-13,  -2.65E-11,   4.86E-11,   1.04E-10,   1.07E-10,   5.00E-03,   3.72E-11,   6.27E+06
      5,  -4.00E-02,  -5.96E-12,  -2.54E-12,  -4.82E-12,  -2.04E-10,   7.48E-11,   1.41E-10,   1.09E-10,   3.30E-03,   3.72E-11,   6.27E+06
      6,  -3.50E-02,  -1.81E-12,  -9.22E-12,  -1.97E-12,  -1.06E-08,   1.73E-10,   2.42E-10,   1.28E-10,   2.35E-03,   3.72E-11,   6.27E+06
      7,  -3.00E-02,   5.07E-12,   7.39E-12,   2.63E-12,  -1.12E-08,   2.66E-10,   3.44E-10,   1.66E-10,   1.45E-03,   3.72E-11,   6.27E+06
      8,  -2.50E-02,   1.89E-12,   6.52E-12,   3.14E-12,  -1.19E-08,   3.15E-10,   3.73E-10,   2.43E-10,   1.10E-03,   3.72E-11,   6.27E+06
      9,  -2.00E-02,  -2.99E-12,  -3.06E-12,  -2.07E-12,  -1.21E-08,   4.14E-10,   4.58E-10,   2.60E-10,   9.50E-04,   3.72E-11,   6.27E+06
     10,  -1.50E-02,   3.40E-12,   2.22E-12,   1.66E-12,  -1.18E-08,   5.12E-10,   5.76E-10,   3.05E-10,   8.50E-04,   3.72E-11,   6.27E+06
     11,  -1.00E-02,   9.05E-13,   5.39E-12,   1.45E-12,  -1.12E-08,   6.95E-10,   7.76E-10,   3.18E-10,   7.50E-04,   3.72E-11,   6.27E+06
     12,  -5.00E-03,  -6.90E-14,   6.01E-12,  -1.15E-12,  -1.06E-08,   1.02E-09,   1.10E-09,   3.22E-10,   7.00E-04,   3.72E-11,   6.27E+06
     13,   0.00E+00,   1.82E-12,   1.64E-12,   1.35E-12,  -9.86E-09,   1.53E-09,   1.61E-09,   3.22E-10,   6.50E-04,   3.72E-11,   6.27E+06
     14,   5.00E-03,   2.22E-12,  -1.12E-12,   1.45E-12,  -9.17E-09,   2.29E-09,   2.36E-09,   3.42E-10,   6.00E-04,   3.72E-11,   6.27E+06
     15,   1.00E-02,   1.23E-12,   2.06E-12,   1.45E-13,  -8.42E-09,   3.35E-09,   3.42E-09,   3.58E-10,   6.00E-04,   3.72E-11,   6.27E+06
     16,   1.50E-02,   5.51E-13,   6.64E-12,  -4.77E-13,  -7.77E-09,   4.42E-09,   4.54E-09,   3.92E-10,   5.50E-04,   3.72E-11,   6.27E+06
     17,   2.00E-02,   7.27E-13,   5.32E-12,   2.66E-13,  -7.04E-09,   5.53E-09,   5.63E-09,   4.74E-10,   5.50E-04,   3.72E-11,   6.27E+06
     18,   2.50E-02,   3.44E-12,   2.37E-12,   3.86E-12,  -6.59E-09,   7.14E-09,   7.24E-09,   5.19E-10,   5.00E-04,   3.72E-11,   6.27E+06
     19,   3.00E-02,   1.95E-12,   5.55E-12,  -3.47E-13,  -5.97E-09,   8.38E-09,   8.56E-09,   5.62E-10,   5.00E-04,   3.72E-11,   6.27E+06
     20,   3.50E-02,  -2.85E-12,  -7.36E-12,  -3.69E-12,  -5.39E-09,   9.50E-09,   9.74E-09,   6.01E-10,   4.50E-04,   3.72E-11,   6.27E+06
     21,   4.00E-02,  -4.29E-14,   3.05E-13,   5.70E-13,  -4.69E-09,   1.06E-08,   1.07E-08,   6.85E-10,   4.50E-04,   3.72E-11,   6.27E+06

