Series_1_11
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   1.75E-12,   9.54E-13,   1.69E-12,  -4.24E-12,   1.35E-12,   7.83E-11,   6.28E-11,   1.17E-02,   4.35E-11,   5.99E+06
      2,  -5.50E-02,  -2.74E-12,  -6.27E-12,  -2.93E-12,  -9.80E-12,   3.21E-12,   6.63E-11,   7.71E-11,   9.60E-03,   4.35E-11,   5.99E+06
      3,  -5.00E-02,   2.25E-12,  -3.43E-12,   2.71E-12,  -3.45E-12,   8.83E-12,   7.95E-11,   6.10E-11,   1.20E-03,   4.35E-11,   5.99E+06
      4,  -4.50E-02,   3.73E-13,   5.10E-13,  -3.00E-13,  -5.25E-11,   3.03E-11,   9.50E-11,   9.50E-11,   3.30E-03,   4.35E-11,   5.99E+06
      5,  -4.00E-02,  -2.73E-12,  -1.33E-12,  -3.68E-12,  -2.04E-10,   1.24E-10,   1.90E-10,   1.04E-10,   3.90E-03,   4.35E-11,   5.99E+06
      6,  -3.50E-02,  -9.00E-13,   1.59E-12,  -7.86E-13,  -1.98E-08,   3.52E-10,   5.27E-10,   1.78E-10,   1.95E-03,   4.35E-11,   5.99E+06
      7,  -3.00E-02,   4.06E-13,   5.87E-13,  -1.05E-12,  -2.00E-08,   5.71E-10,   7.40E-10,   2.41E-10,   1.30E-03,   4.35E-11,   5.99E+06
      8,  -2.50E-02,  -4.42E-13,   2.17E-12,  -4.36E-13,  -2.07E-08,   7.99E-10,   9.31E-10,   2.90E-10,   1.05E-03,   4.35E-11,   5.99E+06
      9,  -2.00E-02,  -5.27E-12,  -4.53E-12,  -5.70E-12,  -2.06E-08,   1.12E-09,   1.18E-09,   3.46E-10,   9.00E-04,   4.35E-11,   5.99E+06
     10,  -1.50E-02,   4.55E-13,  -7.02E-12,   1.01E-12,  -1.98E-08,   1.49E-09,   1.57E-09,   4.38E-10,   8.00E-04,   4.35E-11,   5.99E+06
     11,  -1.00E-02,   3.51E-12,   3.61E-12,   4.96E-12,  -1.89E-08,   2.00E-09,   2.08E-09,   4.32E-10,   7.00E-04,   4.35E-11,   5.99E+06
     12,  -5.00E-03,  -1.67E-12,  -5.24E-12,   5.39E-13,  -1.78E-08,   2.73E-09,   2.81E-09,   5.21E-10,   6.50E-04,   4.35E-11,   5.99E+06
     13,   0.00E+00,  -2.53E-12,   2.75E-12,  -7.71E-13,  -1.65E-08,   3.56E-09,   3.65E-09,   5.23E-10,   6.00E-04,   4.35E-11,   5.99E+06
     14,   5.00E-03,  -6.50E-12,   5.90E-12,  -5.79E-12,  -1.53E-08,   4.79E-09,   4.85E-09,   4.99E-10,   6.00E-04,   4.35E-11,   5.99E+06
     15,   1.00E-02,  -6.90E-12,  -1.55E-12,  -6.27E-12,  -1.41E-08,   6.03E-09,   6.12E-09,   5.41E-10,   5.50E-04,   4.35E-11,   5.99E+06
     16,   1.50E-02,  -4.32E-12,   1.91E-11,  -4.54E-12,  -1.28E-08,   7.57E-09,   7.64E-09,   5.42E-10,   5.50E-04,   4.35E-11,   5.99E+06
     17,   2.00E-02,  -1.70E-13,   1.14E-11,   8.85E-13,  -1.17E-08,   9.02E-09,   9.13E-09,   5.60E-10,   5.00E-04,   4.35E-11,   5.99E+06
     18,   2.50E-02,   4.73E-13,   4.90E-12,  -1.34E-12,  -1.05E-08,   1.06E-08,   1.07E-08,   5.93E-10,   5.00E-04,   4.35E-11,   5.99E+06
     19,   3.00E-02,   3.96E-13,   3.38E-12,  -8.23E-13,  -9.45E-09,   1.22E-08,   1.23E-08,   5.74E-10,   5.00E-04,   4.35E-11,   5.99E+06
     20,   3.50E-02,  -4.42E-12,  -5.13E-12,  -2.43E-12,  -8.43E-09,   1.38E-08,   1.39E-08,   6.05E-10,   4.50E-04,   4.35E-11,   5.99E+06
     21,   4.00E-02,  -4.61E-12,   1.58E-14,  -4.38E-12,  -7.45E-09,   1.53E-08,   1.54E-08,   6.07E-10,   4.50E-04,   4.35E-11,   5.99E+06

