,Sweep #,Voltage2[V],Ipp_bas[A],Ipp_beg[A],Ipp_end[A],Ipeak[A],Isus[A],Imax[A],Max_end[A],t_peak[s],Cslow[F],Rseries[Ohm],condition
12,13,0.0,-3.19e-12,-4.89e-12,-1.56e-12,-1.09e-08,2.95e-09,3.75e-09,7.69e-10,0.00085,7.82e-11,7180000.0,wt
13,14,0.005,-2.29e-12,-8.6e-14,-2.96e-12,-9.88e-09,3.75e-09,4.48e-09,1.02e-09,0.0008,7.82e-11,7180000.0,wt
14,15,0.01,3.79e-12,-7.95e-12,2.12e-12,-9.48e-09,4.79e-09,5.37e-09,1.28e-09,0.00075,7.82e-11,7180000.0,wt
15,16,0.015,7.59e-13,1.94e-12,4.3e-13,-9.11e-09,5.84e-09,6.27e-09,1.5e-09,0.0007,7.82e-11,7180000.0,wt
16,17,0.02,4.87e-12,-1.4e-12,2.74e-12,-8.49e-09,6.88e-09,7.24e-09,1.71e-09,0.0007,7.82e-11,7180000.0,wt
17,18,0.025,-2.92e-12,4.24e-12,-9.53e-13,-8.19e-09,8.16e-09,8.3e-09,1.93e-09,0.00065,7.82e-11,7180000.0,wt
18,19,0.03,-2.38e-12,2.22e-12,-1.58e-12,-7.41e-09,8.76e-09,8.97e-09,2.14e-09,0.00065,7.82e-11,7180000.0,wt
19,20,0.035,3.29e-12,-7.45e-12,2.5e-12,-7.18e-09,1.03e-08,1.05e-08,2.44e-09,0.0006,7.82e-11,7180000.0,wt
20,21,0.04,-3.16e-13,2.36e-12,-9.9e-14,-6.54e-09,1.08e-08,1.1e-08,2.59e-09,0.0006,7.82e-11,7180000.0,wt
0,1,-0.06,1.61e-12,9.38e-12,1.73e-12,-1.57e-11,2.29e-12,3.18e-11,2.87e-11,0.0065,3.62e-11,33100000.0,wt
1,2,-0.055,1.18e-12,-1.97e-12,2.56e-12,1.03e-13,-1.25e-12,3.51e-11,2.89e-11,0.0094,3.62e-11,33100000.0,wt
2,3,-0.05,-3.31e-13,1.73e-12,-2.67e-13,-1.22e-12,2.62e-11,5.74e-11,4.67e-11,0.00285,3.62e-11,33100000.0,wt
3,4,-0.045,-4.15e-12,3.9e-12,-4.61e-12,-1.4e-11,5.74e-11,1.71e-10,1e-10,0.00035,3.62e-11,33100000.0,wt
4,5,-0.04,-7.19e-13,-2.42e-12,-1.7e-12,-9.58e-11,7.81e-11,1.28e-10,5.2e-11,0.00405,3.62e-11,33100000.0,wt
5,6,-0.035,-1.53e-12,1.43e-12,3.46e-13,-3.79e-09,1.89e-10,2.52e-10,1.03e-10,0.003,3.62e-11,33100000.0,wt
6,7,-0.03,-7.79e-12,-8.89e-12,-8.66e-12,-3.74e-09,2.53e-10,3.58e-10,1.47e-10,0.002,3.62e-11,33100000.0,wt
7,8,-0.025,-6.09e-13,8.66e-12,-1.48e-12,-3.45e-09,3.53e-10,4.94e-10,1.98e-10,0.0016,3.62e-11,33100000.0,wt
8,9,-0.02,1.37e-12,-1.18e-11,9.62e-13,-3.38e-09,4.25e-10,6.02e-10,2.42e-10,0.00135,3.62e-11,33100000.0,wt
9,10,-0.015,-7.57e-12,-1.31e-12,-7.24e-12,-3.39e-09,5.43e-10,7.58e-10,2.85e-10,0.0012,3.62e-11,33100000.0,wt
10,11,-0.01,2.1e-13,1.18e-11,-5.01e-13,-3.37e-09,6.58e-10,9.09e-10,3.3e-10,0.00105,3.62e-11,33100000.0,wt
11,12,-0.005,4.19e-12,-2.81e-12,4.33e-12,-3.37e-09,8.15e-10,1.11e-09,3.87e-10,0.00095,3.62e-11,33100000.0,wt
12,13,0.0,4.3e-12,7.83e-12,2.45e-12,-3.31e-09,9.53e-10,1.31e-09,4.15e-10,0.00085,3.62e-11,33100000.0,wt
13,14,0.005,-1.1e-12,-1.6e-12,4.36e-13,-3.28e-09,1.25e-09,1.57e-09,5.01e-10,0.0008,3.62e-11,33100000.0,wt
14,15,0.01,5.75e-12,6.14e-12,5.22e-12,-3.2e-09,1.49e-09,1.83e-09,5.29e-10,0.00075,3.62e-11,33100000.0,wt
15,16,0.015,2.59e-12,3.88e-12,2.68e-12,-2.99e-09,1.77e-09,2.05e-09,5.87e-10,0.0007,3.62e-11,33100000.0,wt
16,17,0.02,-2.52e-14,-3.67e-12,-1.49e-13,-2.93e-09,2.14e-09,2.38e-09,6.89e-10,0.00065,3.62e-11,33100000.0,wt
17,18,0.025,1.22e-13,-8.16e-13,-3.16e-13,-2.75e-09,2.49e-09,2.67e-09,7.39e-10,0.00065,3.62e-11,33100000.0,wt
18,19,0.03,5.01e-12,7.09e-13,3.52e-12,-2.56e-09,2.81e-09,2.95e-09,8.18e-10,0.0006,3.62e-11,33100000.0,wt
19,20,0.035,-5.97e-12,-7.41e-12,-6.83e-12,-2.43e-09,3.14e-09,3.22e-09,9.17e-10,0.00055,3.62e-11,33100000.0,wt
20,21,0.04,1.13e-12,7.42e-12,1.74e-12,-2.24e-09,3.54e-09,3.59e-09,1e-09,0.00055,3.62e-11,33100000.0,wt
0,1,-0.06,5.05e-13,-1e-12,5.58e-13,-4.75e-13,1.76e-13,3.4e-11,2.59e-11,0.0184,2.59e-11,8960000.0,ko
1,2,-0.055,-2.99e-13,-4.06e-12,2.25e-14,-2.29e-12,-2.07e-12,2.71e-11,1.77e-11,0.0104,2.59e-11,8960000.0,ko
2,3,-0.05,-2.55e-13,9.84e-13,-5.39e-13,-2.96e-12,-2.51e-13,2.91e-11,2.72e-11,0.00545,2.59e-11,8960000.0,ko
3,4,-0.045,-5.88e-13,4.92e-14,-3.92e-13,-9.75e-12,5.3e-12,3.19e-11,2.31e-11,0.0106,2.59e-11,8960000.0,ko
4,5,-0.04,-2.2e-13,3.8e-13,-1.57e-13,-5.1e-11,1.22e-11,4.2e-11,3.83e-11,0.0047,2.59e-11,8960000.0,ko
5,6,-0.035,-2.11e-12,-1.14e-12,-2.32e-12,-8.1e-09,4.27e-11,1.08e-10,4.36e-11,0.0043,2.59e-11,8960000.0,ko
6,7,-0.03,-7.9e-13,4.14e-12,-6.04e-13,-8.61e-09,7.73e-11,1.32e-10,6.74e-11,0.0018,2.59e-11,8960000.0,ko
7,8,-0.025,-4.07e-13,2.6e-12,-1.5e-14,-8.89e-09,9.58e-11,1.59e-10,7.25e-11,0.0013,2.59e-11,8960000.0,ko
8,9,-0.02,1.54e-12,2.4e-12,1.47e-12,-9.06e-09,1.24e-10,1.7e-10,8.84e-11,0.00105,2.59e-11,8960000.0,ko
9,10,-0.015,-6.26e-13,1.27e-12,-9.71e-13,-8.85e-09,1.52e-10,2.07e-10,8.98e-11,0.0009,2.59e-11,8960000.0,ko
10,11,-0.01,2.22e-13,3.62e-13,-3.86e-13,-8.42e-09,1.6e-10,2.84e-10,1e-10,0.0008,2.59e-11,8960000.0,ko
11,12,-0.005,2.13e-13,2.97e-12,4.65e-13,-7.92e-09,2.87e-10,4.04e-10,1.15e-10,0.00075,2.59e-11,8960000.0,ko
12,13,0.0,-2.2e-12,-4.93e-12,-1.39e-12,-7.33e-09,5.88e-10,6.35e-10,1.02e-10,0.0007,2.59e-11,8960000.0,ko
13,14,0.005,1.78e-12,-1.2e-12,1.7e-12,-6.8e-09,1.03e-09,1.08e-09,1.23e-10,0.00065,2.59e-11,8960000.0,ko
14,15,0.01,2.19e-12,-7.61e-13,1.48e-12,-6.16e-09,1.65e-09,1.73e-09,1.37e-10,0.00065,2.59e-11,8960000.0,ko
15,16,0.015,-4.85e-13,8.09e-13,2.95e-13,-5.6e-09,2.35e-09,2.44e-09,1.44e-10,0.0006,2.59e-11,8960000.0,ko
16,17,0.02,-5.2e-13,3.84e-12,-7.07e-13,-5.01e-09,3.15e-09,3.24e-09,1.6e-10,0.0006,2.59e-11,8960000.0,ko
17,18,0.025,5.73e-13,-1.26e-12,9.98e-13,-4.49e-09,3.86e-09,3.97e-09,1.51e-10,0.00055,2.59e-11,8960000.0,ko
18,19,0.03,-8.69e-14,1.68e-13,-6.69e-13,-4.02e-09,4.63e-09,4.71e-09,1.72e-10,0.00055,2.59e-11,8960000.0,ko
19,20,0.035,5.3e-13,-2.04e-12,4.76e-13,-3.53e-09,5.37e-09,5.43e-09,1.77e-10,0.00055,2.59e-11,8960000.0,ko
20,21,0.04,4.19e-13,4.76e-13,-1.6e-13,-3.05e-09,6.02e-09,6.09e-09,1.73e-10,0.0005,2.59e-11,8960000.0,ko
0,1,-0.06,-8.01e-13,-6.73e-12,3.39e-13,5.5e-12,-4.31e-12,5.59e-11,3.84e-11,0.0122,4.98e-11,7140000.0,ko
1,2,-0.055,3.28e-13,1.66e-11,9.35e-13,-3.37e-12,8.29e-13,5.48e-11,4.79e-11,0.00825,4.98e-11,7140000.0,ko
