Series_1_4
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   2.56E-13,   8.31E-13,   1.10E-13,  -7.50E-13,   2.62E-12,   3.20E-11,   4.14E-11,   1.99E-02,   3.36E-11,   7.93E+06
      2,  -5.50E-02,   1.72E-12,   1.02E-12,   5.58E-13,  -1.16E-12,   3.69E-12,   2.85E-11,   2.79E-11,   1.65E-03,   3.36E-11,   7.93E+06
      3,  -5.00E-02,   7.17E-14,  -8.86E-13,   6.50E-13,  -5.92E-12,   1.41E-11,   4.50E-11,   4.31E-11,   7.65E-03,   3.36E-11,   7.93E+06
      4,  -4.50E-02,  -7.22E-13,   2.27E-12,  -5.69E-13,  -2.62E-11,   3.29E-11,   7.02E-11,   3.77E-11,   2.35E-03,   3.36E-11,   7.93E+06
      5,  -4.00E-02,  -1.83E-12,  -1.41E-12,  -1.88E-12,  -1.04E-10,   5.77E-11,   1.06E-10,   5.85E-11,   2.35E-03,   3.36E-11,   7.93E+06
      6,  -3.50E-02,   7.79E-14,  -1.01E-12,   1.41E-13,  -1.25E-08,   1.79E-10,   2.23E-10,   7.86E-11,   5.15E-03,   3.36E-11,   7.93E+06
      7,  -3.00E-02,   9.84E-13,  -9.69E-13,   5.13E-13,  -1.23E-08,   2.76E-10,   3.21E-10,   1.11E-10,   1.60E-03,   3.36E-11,   7.93E+06
      8,  -2.50E-02,   6.89E-13,   3.68E-13,   3.05E-13,  -1.39E-08,   3.60E-10,   3.99E-10,   1.70E-10,   1.05E-03,   3.36E-11,   7.93E+06
      9,  -2.00E-02,   2.55E-12,  -2.39E-12,   3.06E-12,  -1.45E-08,   4.57E-10,   5.02E-10,   1.76E-10,   8.50E-04,   3.36E-11,   7.93E+06
     10,  -1.50E-02,   1.06E-12,  -3.62E-12,   7.86E-13,  -1.44E-08,   5.84E-10,   6.33E-10,   1.84E-10,   7.50E-04,   3.36E-11,   7.93E+06
     11,  -1.00E-02,  -1.70E-12,   1.45E-13,  -1.12E-12,  -1.40E-08,   8.49E-10,   9.04E-10,   1.93E-10,   6.50E-04,   3.36E-11,   7.93E+06
     12,  -5.00E-03,  -1.39E-12,  -1.98E-12,  -8.91E-13,  -1.34E-08,   1.18E-09,   1.25E-09,   1.99E-10,   6.00E-04,   3.36E-11,   7.93E+06
     13,   0.00E+00,   1.76E-12,   9.22E-13,   1.66E-12,  -1.26E-08,   1.68E-09,   1.74E-09,   2.29E-10,   6.00E-04,   3.36E-11,   7.93E+06
     14,   5.00E-03,  -1.53E-13,  -1.82E-12,   2.59E-13,  -1.18E-08,   2.27E-09,   2.40E-09,   2.13E-10,   6.00E-04,   3.36E-11,   7.93E+06
     15,   1.00E-02,  -1.76E-12,  -3.88E-12,  -7.14E-13,  -1.10E-08,   3.17E-09,   3.28E-09,   2.61E-10,   5.50E-04,   3.36E-11,   7.93E+06
     16,   1.50E-02,   9.35E-13,  -1.50E-12,   4.39E-13,  -1.01E-08,   4.17E-09,   4.34E-09,   2.78E-10,   5.50E-04,   3.36E-11,   7.93E+06
     17,   2.00E-02,   3.73E-13,  -3.16E-12,   4.64E-13,  -9.13E-09,   5.44E-09,   5.63E-09,   2.94E-10,   5.50E-04,   3.36E-11,   7.93E+06
     18,   2.50E-02,   1.70E-12,  -4.43E-12,   1.07E-12,  -8.18E-09,   6.71E-09,   6.86E-09,   2.94E-10,   5.00E-04,   3.36E-11,   7.93E+06
     19,   3.00E-02,   2.08E-12,  -4.20E-12,   1.81E-12,  -7.14E-09,   7.75E-09,   8.04E-09,   3.37E-10,   5.00E-04,   3.36E-11,   7.93E+06
     20,   3.50E-02,   2.01E-12,  -7.98E-12,   2.65E-12,  -6.17E-09,   8.95E-09,   9.15E-09,   3.24E-10,   5.00E-04,   3.36E-11,   7.93E+06
     21,   4.00E-02,  -5.95E-13,  -7.62E-12,   2.01E-13,  -5.29E-09,   9.90E-09,   1.03E-08,   3.43E-10,   5.00E-04,   3.36E-11,   7.93E+06

