Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   5.05E-13,  -1.00E-12,   5.58E-13,  -4.75E-13,   1.76E-13,   3.40E-11,   2.59E-11,   1.84E-02,   2.59E-11,   8.96E+06
      2,  -5.50E-02,  -2.99E-13,  -4.06E-12,   2.25E-14,  -2.29E-12,  -2.07E-12,   2.71E-11,   1.77E-11,   1.04E-02,   2.59E-11,   8.96E+06
      3,  -5.00E-02,  -2.55E-13,   9.84E-13,  -5.39E-13,  -2.96E-12,  -2.51E-13,   2.91E-11,   2.72E-11,   5.45E-03,   2.59E-11,   8.96E+06
      4,  -4.50E-02,  -5.88E-13,   4.92E-14,  -3.92E-13,  -9.75E-12,   5.30E-12,   3.19E-11,   2.31E-11,   1.06E-02,   2.59E-11,   8.96E+06
      5,  -4.00E-02,  -2.20E-13,   3.80E-13,  -1.57E-13,  -5.10E-11,   1.22E-11,   4.20E-11,   3.83E-11,   4.70E-03,   2.59E-11,   8.96E+06
      6,  -3.50E-02,  -2.11E-12,  -1.14E-12,  -2.32E-12,  -8.10E-09,   4.27E-11,   1.08E-10,   4.36E-11,   4.30E-03,   2.59E-11,   8.96E+06
      7,  -3.00E-02,  -7.90E-13,   4.14E-12,  -6.04E-13,  -8.61E-09,   7.73E-11,   1.32E-10,   6.74E-11,   1.80E-03,   2.59E-11,   8.96E+06
      8,  -2.50E-02,  -4.07E-13,   2.60E-12,  -1.50E-14,  -8.89E-09,   9.58E-11,   1.59E-10,   7.25E-11,   1.30E-03,   2.59E-11,   8.96E+06
      9,  -2.00E-02,   1.54E-12,   2.40E-12,   1.47E-12,  -9.06E-09,   1.24E-10,   1.70E-10,   8.84E-11,   1.05E-03,   2.59E-11,   8.96E+06
     10,  -1.50E-02,  -6.26E-13,   1.27E-12,  -9.71E-13,  -8.85E-09,   1.52E-10,   2.07E-10,   8.98E-11,   9.00E-04,   2.59E-11,   8.96E+06
     11,  -1.00E-02,   2.22E-13,   3.62E-13,  -3.86E-13,  -8.42E-09,   1.60E-10,   2.84E-10,   1.00E-10,   8.00E-04,   2.59E-11,   8.96E+06
     12,  -5.00E-03,   2.13E-13,   2.97E-12,   4.65E-13,  -7.92E-09,   2.87E-10,   4.04E-10,   1.15E-10,   7.50E-04,   2.59E-11,   8.96E+06
     13,   0.00E+00,  -2.20E-12,  -4.93E-12,  -1.39E-12,  -7.33E-09,   5.88E-10,   6.35E-10,   1.02E-10,   7.00E-04,   2.59E-11,   8.96E+06
     14,   5.00E-03,   1.78E-12,  -1.20E-12,   1.70E-12,  -6.80E-09,   1.03E-09,   1.08E-09,   1.23E-10,   6.50E-04,   2.59E-11,   8.96E+06
     15,   1.00E-02,   2.19E-12,  -7.61E-13,   1.48E-12,  -6.16E-09,   1.65E-09,   1.73E-09,   1.37E-10,   6.50E-04,   2.59E-11,   8.96E+06
     16,   1.50E-02,  -4.85E-13,   8.09E-13,   2.95E-13,  -5.60E-09,   2.35E-09,   2.44E-09,   1.44E-10,   6.00E-04,   2.59E-11,   8.96E+06
     17,   2.00E-02,  -5.20E-13,   3.84E-12,  -7.07E-13,  -5.01E-09,   3.15E-09,   3.24E-09,   1.60E-10,   6.00E-04,   2.59E-11,   8.96E+06
     18,   2.50E-02,   5.73E-13,  -1.26E-12,   9.98E-13,  -4.49E-09,   3.86E-09,   3.97E-09,   1.51E-10,   5.50E-04,   2.59E-11,   8.96E+06
     19,   3.00E-02,  -8.69E-14,   1.68E-13,  -6.69E-13,  -4.02E-09,   4.63E-09,   4.71E-09,   1.72E-10,   5.50E-04,   2.59E-11,   8.96E+06
     20,   3.50E-02,   5.30E-13,  -2.04E-12,   4.76E-13,  -3.53E-09,   5.37E-09,   5.43E-09,   1.77E-10,   5.50E-04,   2.59E-11,   8.96E+06
     21,   4.00E-02,   4.19E-13,   4.76E-13,  -1.60E-13,  -3.05E-09,   6.02E-09,   6.09E-09,   1.73E-10,   5.00E-04,   2.59E-11,   8.96E+06

