Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   7.06E-13,   1.76E-12,   1.37E-12,   6.55E-13,   2.16E-12,   4.48E-11,   2.30E-11,   2.31E-02,   3.82E-11,   5.94E+06
      2,  -5.50E-02,   7.76E-14,   2.26E-12,  -2.84E-13,  -3.37E-12,   1.98E-12,   3.79E-11,   3.54E-11,   7.95E-03,   3.82E-11,   5.94E+06
      3,  -5.00E-02,  -2.27E-12,  -2.55E-12,  -1.16E-12,  -8.97E-12,   4.64E-12,   3.66E-11,   3.53E-11,   3.20E-03,   3.82E-11,   5.94E+06
      4,  -4.50E-02,  -9.98E-13,   1.13E-12,  -7.81E-13,  -5.00E-11,  -1.67E-12,   2.39E-11,   4.14E-11,   5.75E-03,   3.82E-11,   5.94E+06
      5,  -4.00E-02,   1.68E-13,   1.60E-12,   1.28E-12,  -1.42E-08,   2.06E-11,   8.39E-11,   4.27E-11,   3.70E-03,   3.82E-11,   5.94E+06
      6,  -3.50E-02,  -4.18E-13,  -3.62E-12,   2.85E-13,  -1.34E-08,   3.33E-11,   7.80E-11,   6.61E-11,   1.85E-03,   3.82E-11,   5.94E+06
      7,  -3.00E-02,  -7.59E-13,   3.30E-12,  -1.29E-12,  -1.36E-08,   4.14E-11,   7.57E-11,   9.44E-11,   1.35E-03,   3.82E-11,   5.94E+06
      8,  -2.50E-02,  -1.54E-12,   2.31E-12,  -1.05E-12,  -1.40E-08,   8.11E-11,   1.16E-10,   1.19E-10,   1.05E-03,   3.82E-11,   5.94E+06
      9,  -2.00E-02,  -1.05E-12,   2.01E-12,  -1.29E-12,  -1.40E-08,   2.65E-10,   3.23E-10,   1.40E-10,   9.00E-04,   3.82E-11,   5.94E+06
     10,  -1.50E-02,   1.07E-12,  -1.93E-12,   1.55E-12,  -1.37E-08,   6.49E-10,   7.16E-10,   1.81E-10,   8.00E-04,   3.82E-11,   5.94E+06
     11,  -1.00E-02,  -1.16E-12,  -1.68E-12,  -9.94E-13,  -1.32E-08,   1.15E-09,   1.24E-09,   2.12E-10,   7.50E-04,   3.82E-11,   5.94E+06
     12,  -5.00E-03,   1.27E-13,   2.52E-12,  -3.40E-13,  -1.26E-08,   1.86E-09,   1.93E-09,   2.78E-10,   7.00E-04,   3.82E-11,   5.94E+06
     13,   0.00E+00,  -5.38E-13,   1.20E-12,  -5.11E-13,  -1.19E-08,   2.79E-09,   2.84E-09,   2.91E-10,   6.50E-04,   3.82E-11,   5.94E+06
     14,   5.00E-03,  -1.13E-12,   4.83E-12,  -2.06E-13,  -1.12E-08,   3.79E-09,   3.87E-09,   3.34E-10,   6.00E-04,   3.82E-11,   5.94E+06
     15,   1.00E-02,  -7.43E-14,   1.74E-12,   2.33E-13,  -1.03E-08,   4.94E-09,   4.98E-09,   3.47E-10,   6.00E-04,   3.82E-11,   5.94E+06
     16,   1.50E-02,   9.54E-13,   1.06E-12,   1.01E-12,  -9.41E-09,   5.87E-09,   5.92E-09,   3.73E-10,   5.50E-04,   3.82E-11,   5.94E+06
     17,   2.00E-02,   1.93E-12,   1.47E-12,   1.95E-12,  -8.49E-09,   7.01E-09,   7.09E-09,   3.80E-10,   5.50E-04,   3.82E-11,   5.94E+06
     18,   2.50E-02,   1.25E-12,   4.02E-12,   7.03E-13,  -7.55E-09,   8.08E-09,   8.21E-09,   3.74E-10,   5.50E-04,   3.82E-11,   5.94E+06
     19,   3.00E-02,  -8.58E-14,   6.04E-12,  -1.32E-13,  -6.80E-09,   9.14E-09,   9.26E-09,   3.77E-10,   5.00E-04,   3.82E-11,   5.94E+06
     20,   3.50E-02,   3.75E-12,  -6.97E-12,   3.60E-12,  -5.98E-09,   1.01E-08,   1.02E-08,   3.87E-10,   5.00E-04,   3.82E-11,   5.94E+06
     21,   4.00E-02,   2.82E-13,   3.84E-12,   8.40E-13,  -5.20E-09,   1.11E-08,   1.12E-08,   3.91E-10,   5.00E-04,   3.82E-11,   5.94E+06

