Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   1.61E-12,   2.50E-12,   2.04E-12,   4.33E-12,   1.02E-12,   3.06E-11,   2.56E-11,   1.70E-02,   2.53E-11,   5.46E+06
      2,  -5.50E-02,  -2.63E-12,   3.06E-12,  -2.42E-12,   8.50E-13,   4.70E-12,   3.20E-11,   2.58E-11,   1.57E-02,   2.53E-11,   5.46E+06
      3,  -5.00E-02,   5.07E-13,   7.38E-13,   5.00E-14,  -5.60E-12,   9.07E-12,   3.39E-11,   3.57E-11,   7.05E-03,   2.53E-11,   5.46E+06
      4,  -4.50E-02,   1.14E-12,   5.22E-13,   8.75E-13,  -1.84E-11,   2.84E-11,   5.34E-11,   4.22E-11,   3.60E-03,   2.53E-11,   5.46E+06
      5,  -4.00E-02,   2.86E-13,   2.81E-12,  -4.25E-14,  -7.65E-11,   4.33E-11,   8.67E-11,   5.04E-11,   2.95E-03,   2.53E-11,   5.46E+06
      6,  -3.50E-02,  -1.13E-12,   7.32E-13,  -1.08E-12,  -1.01E-08,   1.12E-10,   1.69E-10,   8.78E-11,   3.25E-03,   2.53E-11,   5.46E+06
      7,  -3.00E-02,  -8.39E-13,  -3.45E-13,  -9.64E-13,  -1.03E-08,   1.55E-10,   2.01E-10,   1.11E-10,   1.60E-03,   2.53E-11,   5.46E+06
      8,  -2.50E-02,  -1.54E-12,   2.69E-12,  -1.56E-12,  -1.11E-08,   2.09E-10,   2.50E-10,   1.48E-10,   1.10E-03,   2.53E-11,   5.46E+06
      9,  -2.00E-02,   2.97E-13,   1.58E-12,   1.61E-13,  -1.16E-08,   2.77E-10,   3.10E-10,   1.66E-10,   9.00E-04,   2.53E-11,   5.46E+06
     10,  -1.50E-02,   1.19E-12,   7.82E-13,   8.25E-13,  -1.13E-08,   3.46E-10,   4.03E-10,   1.93E-10,   7.50E-04,   2.53E-11,   5.46E+06
     11,  -1.00E-02,  -1.30E-12,  -1.24E-12,  -8.44E-13,  -1.07E-08,   4.42E-10,   5.05E-10,   2.01E-10,   7.00E-04,   2.53E-11,   5.46E+06
     12,  -5.00E-03,  -2.30E-12,   6.73E-13,  -2.12E-12,  -1.00E-08,   6.50E-10,   6.83E-10,   2.16E-10,   6.00E-04,   2.53E-11,   5.46E+06
     13,   0.00E+00,   1.33E-13,   5.95E-13,   2.86E-13,  -9.17E-09,   1.01E-09,   1.05E-09,   2.37E-10,   6.00E-04,   2.53E-11,   5.46E+06
     14,   5.00E-03,   2.21E-12,   1.63E-12,   2.51E-12,  -8.50E-09,   1.59E-09,   1.63E-09,   2.59E-10,   5.50E-04,   2.53E-11,   5.46E+06
     15,   1.00E-02,   2.52E-12,   6.81E-12,   2.73E-12,  -7.75E-09,   2.35E-09,   2.41E-09,   3.19E-10,   5.00E-04,   2.53E-11,   5.46E+06
     16,   1.50E-02,   5.53E-13,  -2.31E-12,   5.84E-13,  -6.98E-09,   3.27E-09,   3.33E-09,   3.23E-10,   5.00E-04,   2.53E-11,   5.46E+06
     17,   2.00E-02,   9.80E-13,   3.65E-12,   1.48E-12,  -6.30E-09,   4.28E-09,   4.34E-09,   3.56E-10,   5.00E-04,   2.53E-11,   5.46E+06
     18,   2.50E-02,  -3.71E-13,   6.39E-14,   2.88E-13,  -5.62E-09,   5.07E-09,   5.14E-09,   3.75E-10,   4.50E-04,   2.53E-11,   5.46E+06
     19,   3.00E-02,  -3.17E-13,   3.07E-12,  -7.75E-14,  -4.94E-09,   5.95E-09,   6.05E-09,   4.18E-10,   4.50E-04,   2.53E-11,   5.46E+06
     20,   3.50E-02,   1.11E-12,  -1.85E-12,   1.20E-12,  -4.29E-09,   6.77E-09,   6.84E-09,   4.34E-10,   4.50E-04,   2.53E-11,   5.46E+06
     21,   4.00E-02,  -2.31E-12,  -6.28E-12,  -2.08E-12,  -3.72E-09,   7.48E-09,   7.55E-09,   4.63E-10,   4.50E-04,   2.53E-11,   5.46E+06

