Series_1_3
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   8.87E-13,  -2.14E-12,   6.06E-13,  -8.55E-12,   1.39E-11,   4.89E-11,   3.14E-11,   3.00E-04,   4.78E-11,   2.13E+07
      2,  -5.50E-02,  -2.75E-13,   2.25E-12,   4.74E-13,  -4.92E-12,   3.77E-12,   4.10E-11,   2.28E-11,   1.56E-02,   4.78E-11,   2.13E+07
      3,  -5.00E-02,   2.59E-12,   4.24E-12,   2.66E-12,  -1.22E-11,   5.65E-13,   3.97E-11,   3.54E-11,   1.06E-02,   4.78E-11,   2.13E+07
      4,  -4.50E-02,   3.60E-12,  -5.62E-12,   2.12E-12,  -2.90E-11,  -6.80E-12,   3.24E-11,   3.55E-11,   7.95E-03,   4.78E-11,   2.13E+07
      5,  -4.00E-02,   5.35E-12,  -3.85E-12,   4.37E-12,  -7.71E-09,   3.81E-11,   2.29E-10,   4.42E-11,   4.75E-03,   4.78E-11,   2.13E+07
      6,  -3.50E-02,   1.77E-12,  -1.78E-11,  -1.19E-13,  -7.38E-09,   6.61E-11,   2.66E-10,   3.78E-11,   2.20E-03,   4.78E-11,   2.13E+07
      7,  -3.00E-02,   9.81E-13,   2.74E-12,   8.20E-13,  -6.72E-09,   1.24E-10,   4.21E-10,   7.71E-11,   1.60E-03,   4.78E-11,   2.13E+07
      8,  -2.50E-02,  -1.37E-12,   3.54E-12,  -9.35E-13,  -6.46E-09,   1.76E-10,   5.91E-10,   1.43E-10,   1.35E-03,   4.78E-11,   2.13E+07
      9,  -2.00E-02,   2.72E-13,   7.39E-12,  -1.04E-12,  -6.41E-09,   2.60E-10,   8.17E-10,   1.37E-10,   1.15E-03,   4.78E-11,   2.13E+07
     10,  -1.50E-02,  -2.77E-12,   2.66E-12,  -1.89E-12,  -6.33E-09,   4.11E-10,   9.94E-10,   1.94E-10,   1.05E-03,   4.78E-11,   2.13E+07
     11,  -1.00E-02,   1.32E-12,   7.88E-12,   1.82E-12,  -6.20E-09,   6.45E-10,   1.33E-09,   2.58E-10,   9.50E-04,   4.78E-11,   2.13E+07
     12,  -5.00E-03,   7.55E-13,  -8.49E-12,  -9.08E-13,  -6.02E-09,   9.27E-10,   1.59E-09,   3.05E-10,   9.00E-04,   4.78E-11,   2.13E+07
     13,   0.00E+00,  -4.82E-12,  -4.94E-12,  -5.14E-12,  -5.77E-09,   1.43E-09,   1.95E-09,   4.25E-10,   8.50E-04,   4.78E-11,   2.13E+07
     14,   5.00E-03,   1.43E-12,  -1.06E-11,  -2.71E-13,  -5.50E-09,   1.94E-09,   2.40E-09,   5.35E-10,   8.00E-04,   4.78E-11,   2.13E+07
     15,   1.00E-02,  -3.96E-12,  -5.85E-12,  -3.77E-12,  -5.24E-09,   2.49E-09,   2.80E-09,   7.00E-10,   7.50E-04,   4.78E-11,   2.13E+07
     16,   1.50E-02,  -5.02E-12,   2.77E-12,  -5.14E-12,  -4.90E-09,   3.00E-09,   3.27E-09,   8.14E-10,   7.50E-04,   4.78E-11,   2.13E+07
     17,   2.00E-02,   1.37E-12,   1.27E-11,   2.26E-12,  -4.68E-09,   3.50E-09,   3.74E-09,   9.14E-10,   7.00E-04,   4.78E-11,   2.13E+07
     18,   2.50E-02,   3.29E-12,  -2.06E-12,   3.71E-12,  -4.43E-09,   4.11E-09,   4.21E-09,   1.00E-09,   7.00E-04,   4.78E-11,   2.13E+07
     19,   3.00E-02,  -1.01E-12,   1.93E-11,  -1.87E-12,  -4.16E-09,   4.70E-09,   4.75E-09,   1.08E-09,   6.50E-04,   4.78E-11,   2.13E+07
     20,   3.50E-02,  -3.56E-12,   7.43E-12,  -2.02E-12,  -3.87E-09,   5.21E-09,   5.25E-09,   1.19E-09,   6.50E-04,   4.78E-11,   2.13E+07
     21,   4.00E-02,  -3.40E-12,   3.92E-12,  -3.29E-12,  -3.65E-09,   5.80E-09,   5.84E-09,   1.34E-09,   6.50E-04,   4.78E-11,   2.13E+07

