Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -3.98E-12,  -1.99E-12,  -3.34E-12,  -8.43E-12,  -6.72E-12,   3.55E-11,   2.61E-11,   1.47E-02,   4.44E-11,   7.26E+06
      2,  -5.50E-02,   2.33E-12,   1.41E-13,   1.31E-12,  -7.25E-12,  -4.56E-12,   3.82E-11,   3.38E-11,   8.10E-03,   4.44E-11,   7.26E+06
      3,  -5.00E-02,  -4.06E-13,   1.42E-12,  -8.22E-13,  -1.49E-11,   1.06E-12,   4.17E-11,   4.17E-11,   1.90E-02,   4.44E-11,   7.26E+06
      4,  -4.50E-02,  -9.80E-13,   3.22E-12,  -5.45E-13,  -4.07E-11,   6.98E-12,   4.69E-11,   4.75E-11,   2.40E-03,   4.44E-11,   7.26E+06
      5,  -4.00E-02,   5.44E-13,  -1.01E-11,   1.15E-13,  -1.39E-08,   4.64E-11,   1.17E-10,   5.35E-11,   7.30E-03,   4.44E-11,   7.26E+06
      6,  -3.50E-02,   2.36E-12,  -3.69E-13,   2.42E-12,  -1.32E-08,   4.91E-11,   1.29E-10,   8.03E-11,   2.70E-03,   4.44E-11,   7.26E+06
      7,  -3.00E-02,  -2.28E-13,   3.44E-12,  -4.70E-13,  -1.24E-08,   7.18E-11,   1.21E-10,   8.87E-11,   1.75E-03,   4.44E-11,   7.26E+06
      8,  -2.50E-02,   7.52E-14,  -4.58E-12,   4.11E-13,  -1.27E-08,   1.56E-10,   1.91E-10,   1.22E-10,   1.30E-03,   4.44E-11,   7.26E+06
      9,  -2.00E-02,  -3.60E-13,   2.20E-12,  -9.19E-13,  -1.29E-08,   2.91E-10,   3.62E-10,   1.20E-10,   1.05E-03,   4.44E-11,   7.26E+06
     10,  -1.50E-02,   1.52E-12,  -1.24E-12,   2.04E-12,  -1.28E-08,   7.00E-10,   7.43E-10,   1.67E-10,   9.00E-04,   4.44E-11,   7.26E+06
     11,  -1.00E-02,   3.62E-12,   9.19E-13,   2.43E-12,  -1.25E-08,   1.30E-09,   1.34E-09,   2.00E-10,   8.00E-04,   4.44E-11,   7.26E+06
     12,  -5.00E-03,   2.62E-12,  -1.45E-12,   2.25E-12,  -1.18E-08,   2.32E-09,   2.38E-09,   2.55E-10,   7.50E-04,   4.44E-11,   7.26E+06
     13,   0.00E+00,  -1.23E-12,  -3.95E-12,  -1.55E-12,  -1.11E-08,   3.52E-09,   3.59E-09,   2.79E-10,   7.00E-04,   4.44E-11,   7.26E+06
     14,   5.00E-03,   1.21E-12,  -6.35E-12,   3.00E-14,  -1.02E-08,   5.06E-09,   5.13E-09,   3.20E-10,   7.00E-04,   4.44E-11,   7.26E+06
     15,   1.00E-02,   2.93E-13,   8.83E-13,   7.68E-13,  -9.39E-09,   6.50E-09,   6.59E-09,   3.68E-10,   6.50E-04,   4.44E-11,   7.26E+06
     16,   1.50E-02,  -7.85E-13,  -6.65E-12,  -1.27E-13,  -8.52E-09,   8.18E-09,   8.24E-09,   4.07E-10,   6.50E-04,   4.44E-11,   7.26E+06
     17,   2.00E-02,  -8.43E-14,   4.26E-12,   2.48E-13,  -7.68E-09,   9.81E-09,   9.88E-09,   4.11E-10,   6.00E-04,   4.44E-11,   7.26E+06
     18,   2.50E-02,  -1.25E-12,   2.70E-12,  -2.96E-13,  -6.88E-09,   1.15E-08,   1.16E-08,   4.11E-10,   6.00E-04,   4.44E-11,   7.26E+06
     19,   3.00E-02,   2.35E-12,   3.07E-12,   1.90E-12,  -6.08E-09,   1.32E-08,   1.32E-08,   4.36E-10,   6.00E-04,   4.44E-11,   7.26E+06
     20,   3.50E-02,  -8.61E-13,   4.40E-12,  -1.88E-13,  -5.35E-09,   1.44E-08,   1.45E-08,   4.35E-10,   5.50E-04,   4.44E-11,   7.26E+06
     21,   4.00E-02,  -2.36E-12,  -2.39E-12,  -2.18E-12,  -4.61E-09,   1.52E-08,   1.52E-08,   4.42E-10,   5.50E-04,   4.44E-11,   7.26E+06

