Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,  -3.21E-14,  -1.92E-12,   1.75E-13,  -6.92E-12,   2.14E-12,   3.09E-11,   2.91E-11,   1.75E-02,   4.10E-11,   8.75E+06
      2,  -5.50E-02,  -8.91E-13,  -2.37E-12,  -1.15E-12,  -3.64E-12,   5.34E-12,   3.05E-11,   3.43E-11,   1.17E-02,   4.10E-11,   8.75E+06
      3,  -5.00E-02,   2.40E-13,   1.99E-12,  -1.00E-12,  -1.62E-11,   1.54E-11,   5.28E-11,   4.21E-11,   4.85E-03,   4.10E-11,   8.75E+06
      4,  -4.50E-02,   7.44E-13,   1.50E-12,   7.64E-13,  -5.65E-11,   1.43E-11,   4.60E-11,   4.60E-11,   7.45E-03,   4.10E-11,   8.75E+06
      5,  -4.00E-02,   5.73E-13,   2.04E-12,  -6.87E-13,  -4.92E-10,  -2.08E-11,   5.25E-11,   6.62E-11,   5.80E-03,   4.10E-11,   8.75E+06
      6,  -3.50E-02,  -1.40E-12,  -3.99E-12,  -1.69E-12,  -1.28E-08,   9.32E-11,   1.38E-10,   1.10E-10,   1.75E-03,   4.10E-11,   8.75E+06
      7,  -3.00E-02,   2.25E-12,   7.00E-12,   1.74E-12,  -1.47E-08,   1.20E-10,   1.72E-10,   1.41E-10,   1.15E-03,   4.10E-11,   8.75E+06
      8,  -2.50E-02,   2.76E-13,   1.18E-12,   5.60E-13,  -1.60E-08,   1.36E-10,   1.80E-10,   1.86E-10,   8.50E-04,   4.10E-11,   8.75E+06
      9,  -2.00E-02,   1.16E-12,  -2.01E-12,   1.25E-12,  -1.58E-08,   2.38E-10,   3.04E-10,   2.09E-10,   7.50E-04,   4.10E-11,   8.75E+06
     10,  -1.50E-02,   7.57E-13,  -8.97E-13,   1.26E-12,  -1.58E-08,   3.10E-10,   3.59E-10,   2.28E-10,   7.00E-04,   4.10E-11,   8.75E+06
     11,  -1.00E-02,  -1.83E-13,   1.10E-11,   5.93E-13,  -1.53E-08,   5.92E-10,   6.42E-10,   2.87E-10,   7.00E-04,   4.10E-11,   8.75E+06
     12,  -5.00E-03,   1.20E-14,  -2.85E-12,   5.45E-13,  -1.46E-08,   1.16E-09,   1.24E-09,   3.35E-10,   6.50E-04,   4.10E-11,   8.75E+06
     13,   0.00E+00,   6.68E-13,  -4.67E-12,   2.88E-14,  -1.38E-08,   2.18E-09,   2.27E-09,   4.49E-10,   6.50E-04,   4.10E-11,   8.75E+06
     14,   5.00E-03,   2.21E-12,  -5.53E-13,   1.76E-12,  -1.29E-08,   3.79E-09,   3.89E-09,   5.95E-10,   6.50E-04,   4.10E-11,   8.75E+06
     15,   1.00E-02,   1.54E-13,  -9.49E-13,  -1.39E-13,  -1.18E-08,   5.40E-09,   5.54E-09,   7.07E-10,   6.50E-04,   4.10E-11,   8.75E+06
     16,   1.50E-02,   8.13E-13,  -3.74E-12,   1.37E-12,  -1.06E-08,   7.04E-09,   7.12E-09,   8.23E-10,   6.50E-04,   4.10E-11,   8.75E+06
     17,   2.00E-02,  -1.20E-13,   4.94E-12,  -5.34E-13,  -9.32E-09,   8.07E-09,   8.15E-09,   9.62E-10,   6.50E-04,   4.10E-11,   8.75E+06
     18,   2.50E-02,   6.22E-13,   5.10E-12,  -2.20E-13,  -8.18E-09,   8.93E-09,   9.01E-09,   1.03E-09,   6.00E-04,   4.10E-11,   8.75E+06
     19,   3.00E-02,  -4.23E-12,   3.64E-13,  -3.82E-12,  -7.04E-09,   1.06E-08,   1.07E-08,   1.09E-09,   6.00E-04,   4.10E-11,   8.75E+06
     20,   3.50E-02,  -2.29E-12,  -4.20E-13,  -1.87E-12,  -6.10E-09,   1.21E-08,   1.24E-08,   1.14E-09,   6.00E-04,   4.10E-11,   8.75E+06
     21,   4.00E-02,  -1.29E-12,  -5.48E-13,  -1.73E-12,  -4.85E-09,   1.31E-08,   1.32E-08,   1.30E-09,   6.00E-04,   4.10E-11,   8.75E+06

