Series_1_2
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   4.71E-13,   1.73E-12,   8.30E-13,   1.42E-12,   4.07E-12,   4.15E-11,   3.53E-11,   2.00E-04,   3.85E-11,   9.93E+06
      2,  -5.50E-02,   2.85E-13,   1.92E-12,   3.46E-13,   9.73E-13,   2.96E-12,   3.62E-11,   2.68E-11,   1.10E-02,   3.85E-11,   9.93E+06
      3,  -5.00E-02,  -9.56E-13,   2.48E-12,  -9.66E-13,  -5.76E-12,   1.43E-11,   4.12E-11,   3.30E-11,   4.30E-03,   3.85E-11,   9.93E+06
      4,  -4.50E-02,  -6.17E-13,   2.01E-12,  -4.47E-13,  -4.05E-11,   3.11E-11,   6.01E-11,   5.51E-11,   3.45E-03,   3.85E-11,   9.93E+06
      5,  -4.00E-02,   1.24E-12,   1.82E-12,   7.93E-13,  -1.65E-10,   4.30E-11,   7.10E-11,   7.35E-11,   3.80E-03,   3.85E-11,   9.93E+06
      6,  -3.50E-02,   3.46E-13,   5.20E-12,   4.60E-13,  -1.15E-08,   1.39E-10,   2.77E-10,   1.01E-10,   2.50E-03,   3.85E-11,   9.93E+06
      7,  -3.00E-02,   1.09E-12,  -3.55E-13,   9.80E-13,  -1.09E-08,   2.27E-10,   3.27E-10,   1.51E-10,   1.50E-03,   3.85E-11,   9.93E+06
      8,  -2.50E-02,  -1.13E-12,   4.14E-12,  -1.53E-12,  -1.10E-08,   2.89E-10,   4.20E-10,   2.09E-10,   1.20E-03,   3.85E-11,   9.93E+06
      9,  -2.00E-02,  -1.03E-12,   4.04E-12,  -1.62E-12,  -1.12E-08,   3.99E-10,   4.91E-10,   2.42E-10,   1.00E-03,   3.85E-11,   9.93E+06
     10,  -1.50E-02,  -1.13E-12,   2.08E-13,  -8.44E-13,  -1.12E-08,   4.65E-10,   6.80E-10,   2.83E-10,   9.00E-04,   3.85E-11,   9.93E+06
     11,  -1.00E-02,  -1.23E-13,  -3.89E-13,  -1.28E-12,  -1.08E-08,   6.08E-10,   8.41E-10,   3.18E-10,   8.50E-04,   3.85E-11,   9.93E+06
     12,  -5.00E-03,   5.32E-13,   2.15E-12,  -1.05E-13,  -1.03E-08,   8.19E-10,   1.16E-09,   3.41E-10,   7.50E-04,   3.85E-11,   9.93E+06
     13,   0.00E+00,   1.10E-12,   5.13E-12,   6.88E-13,  -9.75E-09,   1.15E-09,   1.49E-09,   3.71E-10,   7.00E-04,   3.85E-11,   9.93E+06
     14,   5.00E-03,   9.39E-13,   2.25E-12,   3.51E-13,  -9.15E-09,   1.64E-09,   1.85E-09,   3.96E-10,   7.00E-04,   3.85E-11,   9.93E+06
     15,   1.00E-02,  -7.86E-13,   5.15E-12,  -7.95E-13,  -8.52E-09,   2.27E-09,   2.33E-09,   4.47E-10,   6.50E-04,   3.85E-11,   9.93E+06
     16,   1.50E-02,  -2.98E-13,  -1.14E-12,   3.05E-13,  -7.98E-09,   3.01E-09,   3.06E-09,   4.94E-10,   6.00E-04,   3.85E-11,   9.93E+06
     17,   2.00E-02,  -1.91E-12,   7.68E-12,  -1.69E-12,  -7.42E-09,   3.92E-09,   3.97E-09,   5.50E-10,   6.00E-04,   3.85E-11,   9.93E+06
     18,   2.50E-02,  -2.68E-12,   4.52E-12,  -2.37E-12,  -6.86E-09,   4.76E-09,   4.85E-09,   6.56E-10,   5.50E-04,   3.85E-11,   9.93E+06
     19,   3.00E-02,  -1.05E-12,   1.09E-12,  -1.62E-14,  -6.27E-09,   5.73E-09,   5.79E-09,   7.62E-10,   5.50E-04,   3.85E-11,   9.93E+06
     20,   3.50E-02,  -1.78E-13,   7.51E-12,  -3.81E-13,  -5.69E-09,   6.68E-09,   6.75E-09,   8.57E-10,   5.50E-04,   3.85E-11,   9.93E+06
     21,   4.00E-02,  -1.11E-12,   7.98E-12,  -8.07E-13,  -5.19E-09,   7.60E-09,   7.67E-09,   9.69E-10,   5.00E-04,   3.85E-11,   9.93E+06

