Series_1_6
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   1.61E-12,   9.38E-12,   1.73E-12,  -1.57E-11,   2.29E-12,   3.18E-11,   2.87E-11,   6.50E-03,   3.62E-11,   3.31E+07
      2,  -5.50E-02,   1.18E-12,  -1.97E-12,   2.56E-12,   1.03E-13,  -1.25E-12,   3.51E-11,   2.89E-11,   9.40E-03,   3.62E-11,   3.31E+07
      3,  -5.00E-02,  -3.31E-13,   1.73E-12,  -2.67E-13,  -1.22E-12,   2.62E-11,   5.74E-11,   4.67E-11,   2.85E-03,   3.62E-11,   3.31E+07
      4,  -4.50E-02,  -4.15E-12,   3.90E-12,  -4.61E-12,  -1.40E-11,   5.74E-11,   1.71E-10,   1.00E-10,   3.50E-04,   3.62E-11,   3.31E+07
      5,  -4.00E-02,  -7.19E-13,  -2.42E-12,  -1.70E-12,  -9.58E-11,   7.81E-11,   1.28E-10,   5.20E-11,   4.05E-03,   3.62E-11,   3.31E+07
      6,  -3.50E-02,  -1.53E-12,   1.43E-12,   3.46E-13,  -3.79E-09,   1.89E-10,   2.52E-10,   1.03E-10,   3.00E-03,   3.62E-11,   3.31E+07
      7,  -3.00E-02,  -7.79E-12,  -8.89E-12,  -8.66E-12,  -3.74E-09,   2.53E-10,   3.58E-10,   1.47E-10,   2.00E-03,   3.62E-11,   3.31E+07
      8,  -2.50E-02,  -6.09E-13,   8.66E-12,  -1.48E-12,  -3.45E-09,   3.53E-10,   4.94E-10,   1.98E-10,   1.60E-03,   3.62E-11,   3.31E+07
      9,  -2.00E-02,   1.37E-12,  -1.18E-11,   9.62E-13,  -3.38E-09,   4.25E-10,   6.02E-10,   2.42E-10,   1.35E-03,   3.62E-11,   3.31E+07
     10,  -1.50E-02,  -7.57E-12,  -1.31E-12,  -7.24E-12,  -3.39E-09,   5.43E-10,   7.58E-10,   2.85E-10,   1.20E-03,   3.62E-11,   3.31E+07
     11,  -1.00E-02,   2.10E-13,   1.18E-11,  -5.01E-13,  -3.37E-09,   6.58E-10,   9.09E-10,   3.30E-10,   1.05E-03,   3.62E-11,   3.31E+07
     12,  -5.00E-03,   4.19E-12,  -2.81E-12,   4.33E-12,  -3.37E-09,   8.15E-10,   1.11E-09,   3.87E-10,   9.50E-04,   3.62E-11,   3.31E+07
     13,   0.00E+00,   4.30E-12,   7.83E-12,   2.45E-12,  -3.31E-09,   9.53E-10,   1.31E-09,   4.15E-10,   8.50E-04,   3.62E-11,   3.31E+07
     14,   5.00E-03,  -1.10E-12,  -1.60E-12,   4.36E-13,  -3.28E-09,   1.25E-09,   1.57E-09,   5.01E-10,   8.00E-04,   3.62E-11,   3.31E+07
     15,   1.00E-02,   5.75E-12,   6.14E-12,   5.22E-12,  -3.20E-09,   1.49E-09,   1.83E-09,   5.29E-10,   7.50E-04,   3.62E-11,   3.31E+07
     16,   1.50E-02,   2.59E-12,   3.88E-12,   2.68E-12,  -2.99E-09,   1.77E-09,   2.05E-09,   5.87E-10,   7.00E-04,   3.62E-11,   3.31E+07
     17,   2.00E-02,  -2.52E-14,  -3.67E-12,  -1.49E-13,  -2.93E-09,   2.14E-09,   2.38E-09,   6.89E-10,   6.50E-04,   3.62E-11,   3.31E+07
     18,   2.50E-02,   1.22E-13,  -8.16E-13,  -3.16E-13,  -2.75E-09,   2.49E-09,   2.67E-09,   7.39E-10,   6.50E-04,   3.62E-11,   3.31E+07
     19,   3.00E-02,   5.01E-12,   7.09E-13,   3.52E-12,  -2.56E-09,   2.81E-09,   2.95E-09,   8.18E-10,   6.00E-04,   3.62E-11,   3.31E+07
     20,   3.50E-02,  -5.97E-12,  -7.41E-12,  -6.83E-12,  -2.43E-09,   3.14E-09,   3.22E-09,   9.17E-10,   5.50E-04,   3.62E-11,   3.31E+07
     21,   4.00E-02,   1.13E-12,   7.42E-12,   1.74E-12,  -2.24E-09,   3.54E-09,   3.59E-09,   1.00E-09,   5.50E-04,   3.62E-11,   3.31E+07

